Phase fields,     scores,     Norm. score,
Ag Hf In        ,  7.806,      0.0,
Hf In Zr        ,  7.865,    0.013,
Hf In Ti        ,  7.874,    0.015,
Hf In V         ,  7.903,    0.021,
Hf In Mn        ,  8.048,    0.053,
Hf In Nb        ,  8.083,     0.06,
Hf In Sc        ,  8.196,    0.085,
Hf In Mo        ,  8.299,    0.107,
Cr Hf In        ,  8.326,    0.113,
Hf In Ta        ,   8.81,    0.219,
Hf In Y         ,   8.85,    0.227,
Co Hf In        ,  8.908,     0.24,
Hf In W         ,  9.146,    0.291,
Fe Hf In        ,  9.783,     0.43,
Hf In Ir        , 10.558,    0.599,
Hf In Os        , 12.402,      1.0,
