phases,cgcnn,mat2vec,pareto_cgcnn_mat2vec,anion radii diff %,distance from LSSI,leaf,Predicted_Order?
Al Li O S       ,0.138,0.0,1,34.9,2.25,0.148,True
Li O P S        ,0.0,0.056,1,34.9,1.5,0.218,True
Li O S Si       ,0.078,0.034,1,34.9,0.5,0.239,False
In Li O S       ,0.135,0.043,2,34.9,1.75,0.038,False
Cl Li O Sb      ,0.024,0.168,2,32.5,2.25,0.095,True
Li O S Sb       ,0.027,0.092,2,34.9,2.0,0.153,True
Li O P Se       ,0.001,0.217,2,46.0,1.75,0.246,True
Li O S Sn       ,0.074,0.129,3,34.9,1.0,0.073,True
Cl Li O Si      ,0.075,0.111,3,32.5,0.75,0.115,True
Al Cl Li O      ,0.136,0.078,3,32.5,2.5,0.132,True
Li O S Zn       ,0.204,0.051,3,34.9,3.25,0.138,True
Al Li N O       ,0.217,0.047,3,4.8,4.25,0.145,True
Li O P Te       ,0.01,0.226,3,64.3,2.0,0.236,True
Cl Li O Sn      ,0.072,0.205,3,32.5,1.25,0.937,True
Cl In Li O      ,0.133,0.121,4,32.5,2.0,0.0,True
In Li N O       ,0.214,0.089,4,4.8,3.75,0.035,True
F Li O P        ,0.053,0.24,4,5.9,2.0,0.059,True
Ce Li O S       ,0.073,0.227,4,34.9,14.0,0.078,True
Li N O Sb       ,0.112,0.137,4,4.8,2.5,0.15,True
Li O Sb Se      ,0.028,0.252,4,46.0,2.25,0.182,True
Li O Se Si      ,0.079,0.196,4,46.0,0.75,0.266,True
Li O S Ti       ,0.331,0.069,4,34.9,9.0,0.304,True
Ge Li O S       ,0.08,0.226,5,34.9,0.75,0.126,True
Li N O Zn       ,0.28,0.097,5,4.8,5.25,0.135,True
Br Li O Sb      ,0.029,0.323,5,44.4,2.0,0.158,True
Cl Li O Zn      ,0.202,0.128,5,32.5,3.5,0.166,True
Li O Sb Te      ,0.037,0.261,5,64.3,2.5,0.172,True
Li O Si Te      ,0.087,0.206,5,64.3,1.0,0.256,True
Li Mo O S       ,0.136,0.143,5,34.9,7.75,0.443,True
Li O S W        ,0.114,0.193,5,34.9,7.5,0.953,True
In Li O Se      ,0.136,0.205,6,46.0,2.0,0.071,True
F Li O Sb       ,0.079,0.274,6,5.9,2.5,0.079,True
Br Cl Li P      ,0.029,0.466,6,9.0,2.5,0.099,True
Cl Li S Sb      ,0.054,0.279,6,1.8,2.0,0.146,True
Ba Li O S       ,0.296,0.138,6,34.9,18.25,0.16,True
Al Li O Se      ,0.14,0.164,6,46.0,2.5,0.177,True
Li N P S        ,0.115,0.215,6,28.8,3.25,0.203,True
Li P S Se       ,0.031,0.327,6,8.2,2.0,0.234,False
K Li O S        ,0.505,0.099,6,34.9,19.25,0.235,True
Br Li O Si      ,0.08,0.268,6,44.4,0.5,0.243,True
Li Mg O S       ,0.145,0.154,6,34.9,3.5,0.289,True
Cl Li S Si      ,0.104,0.224,6,1.8,0.5,0.3,False
Cl Li Mo O      ,0.133,0.218,7,32.5,8.0,0.019,True
Ce Cl Li O      ,0.07,0.301,7,32.5,14.25,0.027,True
In Li O Te      ,0.144,0.215,7,64.3,2.25,0.059,True
Cl Li P Te      ,0.037,0.407,7,24.0,2.0,0.074,False
Li O Se Sn      ,0.076,0.287,7,46.0,1.25,0.105,True
Ga Li O S       ,0.127,0.256,7,34.9,2.0,0.12,True
Cl Li O W       ,0.111,0.267,7,32.5,7.75,0.143,True
Al Li O Te      ,0.147,0.174,7,64.3,2.75,0.166,False
Gd Li O S       ,0.063,0.329,7,34.9,15.25,0.183,True
Cl Li O Ti      ,0.328,0.146,7,32.5,9.25,0.195,True
F Li O Si       ,0.129,0.22,7,5.9,1.0,0.195,True
Li O S Zr       ,0.32,0.148,7,34.9,9.5,0.222,True
Li P S Te       ,0.04,0.336,7,21.8,2.25,0.224,False
Br Li P Se      ,0.033,0.543,7,1.1,1.5,0.238,False
Ca Li O S       ,0.2,0.157,7,34.9,17.75,0.246,True
Li O S Y        ,0.558,0.108,7,34.9,16.5,0.3,True
Br In Li O      ,0.137,0.277,8,44.4,1.75,0.044,True
Li N O Sn       ,0.156,0.174,8,4.8,3.0,0.07,True
Li O Sn Te      ,0.084,0.297,8,64.3,1.5,0.093,True
