vectors,scores,scaled
Li Si P S I,10.309,0.0
Li Mg Si S I,10.383,0.015
Li Mg P S I,10.395,0.017
Li Al Si S I,10.458,0.03
Li Al P S I,10.471,0.032
Li Si S Zn I,10.511,0.04
Li P S Zn I,10.523,0.043
Li Mg Al S I,10.544,0.047
Li Mg S Zn I,10.596,0.057
Li Al S Zn I,10.67,0.072
Li Si S Sn I,10.841,0.106
Li P S Sn I,10.853,0.109
Li Mg S Sn I,10.924,0.123
Li B Si S I,10.945,0.127
Li B P S I,10.956,0.129
Li Al S Sn I,10.995,0.137
Li B Mg S I,11.026,0.143
Li S Zn Sn I,11.045,0.147
Li Si S Ca I,11.047,0.147
Li P S Ca I,11.058,0.15
Li B Al S I,11.097,0.157
Li Mg S Ca I,11.127,0.163
Li B S Zn I,11.147,0.167
Li Al S Ca I,11.197,0.177
Li S Ca Zn I,11.247,0.187
Li Si S Zr I,11.262,0.19
Li P S Zr I,11.273,0.193
Li Mg S Zr I,11.341,0.206
Li Al S Zr I,11.41,0.22
Li B S Sn I,11.459,0.23
Li S Zn Zr I,11.459,0.23
Li S Ca Sn I,11.556,0.249
Li B S Ca I,11.653,0.268
Li Si S Y I,11.662,0.27
Li P S Y I,11.673,0.272
Li Si S Sr I,11.694,0.277
Li P S Sr I,11.705,0.279
Li Mg S Y I,11.739,0.285
Li S Zr Sn I,11.762,0.29
Li Mg S Sr I,11.77,0.292
Li Al S Y I,11.805,0.299
Li Al S Sr I,11.837,0.305
Li S Zn Y I,11.852,0.308
Li B S Zr I,11.858,0.309
Li S Zn Sr I,11.883,0.314
Li S Ca Zr I,11.952,0.328
Li Si S I La,12.055,0.349
Li P S I La,12.066,0.351
Li Mg S I La,12.129,0.363
Li S Y Sn I,12.146,0.367
Li S Sr Sn I,12.177,0.373
Li Al S I La,12.194,0.376
Li S Zn I La,12.239,0.385
Li B S Y I,12.238,0.385
Li B S Sr I,12.269,0.391
Li S Ca Y I,12.329,0.403
Li S Ca Sr I,12.36,0.409
Li Si S I Ba,12.506,0.438
Li P S I Ba,12.516,0.441
Li S Sn I La,12.524,0.442
Li S Y Zr I,12.523,0.442
Li S Sr Zr I,12.553,0.448
Li Mg S I Ba,12.577,0.453
Li B S I La,12.613,0.46
Li Al S I Ba,12.639,0.465
Li S Zn I Ba,12.683,0.474
Li S Ca I La,12.702,0.478
Li Si S I Ta,12.824,0.502
Li P S I Ta,12.834,0.504
Li S Zr I La,12.89,0.515
Li Mg S I Ta,12.894,0.516
Li S Sr Y I,12.913,0.52
Li Al S I Ta,12.954,0.528
Li S Sn I Ba,12.958,0.529
Li S Zn I Ta,12.997,0.537
Li B S I Ba,13.044,0.546
Li S Ca I Ba,13.13,0.563
Li S Y I La,13.241,0.585
Li S Sn I Ta,13.265,0.59
Li S Sr I La,13.269,0.591
Li Si S K I,13.275,0.592
Li P S K I,13.285,0.594
Li S Zr I Ba,13.312,0.599
Li Mg S K I,13.342,0.606
Li B S I Ta,13.35,0.607
Li Al S K I,13.401,0.617
Li S Ca I Ta,13.434,0.624
Li S K Zn I,13.442,0.625
Li S Zr I Ta,13.611,0.659
Li S Y I Ba,13.652,0.667
Li S Sr I Ba,13.679,0.673
Li S K Sn I,13.702,0.677
Li B S K I,13.784,0.694
Li S K Ca I,13.865,0.71
Li S Y I Ta,13.944,0.726
Li S Sr I Ta,13.971,0.731
Li S I Ba La,13.989,0.735
Li S K Zr I,14.037,0.744
Li S I La Ta,14.275,0.792
Li S K Y I,14.36,0.809
Li S K Sr I,14.386,0.814
Li S I Ba Ta,14.657,0.868
Li S K I La,14.681,0.873
Li S K I Ba,15.054,0.947
Li S K I Ta,15.319,1.0
