element,Pettifor,Number,AtomicVolume,AtomicWeight,BCCbandgap,BCCefflatcnt,BCCenergydiff,BCCenergy_pa,BCCfermi,BCCmagmom,BCCvolume_padiff,BCCvolume_pa,Column,CovalentRadius,Electronegativity,FirstIonizationEnergy,GSbandgap,GSefflatcnt,GSenergy_pa,GSestBCClatcnt,GSestFCClatcnt,GSmagmom,GSvolume_pa,ICSDVolume,MendeleevNumber,NdUnfilled,NdValence,NfUnfilled,NfValence,NpUnfilled,NpValence,NsUnfilled,NsValence,NUnfilled,NValance,Polarizability,Row
Li,12.0,3.0,21.5440580798753,6.941,0.0,6.41636437173361,0.00435213000000001,-1.86553478,0.22720863,0.0,-0.083333333299997,16.51,1.0,128.0,0.98,5.391719,0.0,6.42714167693916,-1.86988691,3.213570838,4.048845545,0.0,16.5933333333,21.63,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,24.335,2.0
Be,77.0,4.0,8.09817645544979,9.012182,0.0,4.99733190984556,0.0997667849999999,-3.65527191,8.09610906,0.0,-0.0899999999999999,7.8,2.0,96.0,1.57,9.3227,0.0,5.01647896242661,-3.755038695,2.508239481,3.160183721,0.0,7.89,8.11,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,5.6,2.0
B,86.0,5.0,7.29776726528474,10.811,0.0,4.60666959406459,1.71126689417,-4.96643126,10.25960696,0.0,-1.0625,6.11,13.0,84.0,2.04,8.29802,1.524,4.85955885737154,-6.67769815417,2.429779429,3.061330249,0.0,7.1725,7.75,72.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,2.0,5.0,3.0,3.03,2.0
C,87.0,6.0,8.82508971529172,12.0107,0.0,4.72666300187,4.337951565,-4.87176209,8.67608379,0.0,0.96,6.6,14.0,76.0,2.55,11.2603,4.496,4.4853846818164,-9.209713655,2.242692341,2.825615289,0.0,5.64,5.67,77.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,2.0,4.0,4.0,1.67,2.0
N,88.0,7.0,18592.4989666188,14.0067,0.0,4.81568940208729,4.1542566,-4.05718461,6.27497729,0.0,-7.78875,6.98,15.0,71.0,3.04,14.5341,6.437,6.18236403379651,-8.21144121,3.091182017,3.894645292,0.0,14.76875,22.68,82.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,2.0,3.0,5.0,1.1,2.0
O,97.0,8.0,18592.1971664894,15.9994,0.0,4.8948717693078,2.297040295,-2.45975161,3.0735335,0.0,-1.775,7.33,16.0,66.0,3.44,13.61805,0.0,5.26178757307705,-4.756791905,2.630893787,3.314718462,0.0,9.105,17.36,87.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,2.0,2.0,6.0,0.802,2.0
F,102.0,9.0,18601.6085673286,18.9984032,0.0,5.12840741082425,0.8701138275,-0.82794713,-1.58696247,0.0,-1.2775,8.43,17.0,57.0,3.98,17.4228,1.97,5.37537945761687,-1.6980609575,2.687689729,3.386276865,0.0,9.7075,16.42,93.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,2.0,1.0,7.0,0.557,2.0
Ne,2.0,10.0,37232.1856895088,20.1791,0.0,6.70264987630741,-1.135251585,-1.041215915,-0.135856645,0.0,6.18,18.82,18.0,58.0,0.0,21.56454,13.088,5.86978713699423,0.09403567,2.934893568,3.697734186,0.0,12.64,23.09,99.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,0.0,8.0,0.39432,2.0
Na,11.0,11.0,39.4383288822527,22.98976928,0.0,7.76039534599691,0.00575668333000001,-1.2544847,1.31524918,0.0,-0.0333333332999999,29.21,1.0,166.0,0.93,5.139076,0.0,7.76334617914118,-1.26024138333,3.88167309,4.890601634,0.0,29.2433333333,39.76,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,24.11,3.0
Mg,73.0,12.0,23.2222930956267,24.305,0.0,7.15361122939302,0.0286014800000001,-1.51367083,4.0864554,0.0,-0.0100000000000016,22.88,2.0,141.0,1.31,7.646235,0.0,7.15465327037344,-1.54227231,3.577326635,4.50714913,0.0,22.89,23.48,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,10.7666666667,3.0
Al,78.0,13.0,16.5944245175099,26.9815386,0.0,6.46904413001313,0.0952359899999999,-3.65018713,7.76407342,0.0,0.440000000000001,16.92,13.0,121.0,1.61,5.985768,0.0,6.41247566510125,-3.74542312,3.206237833,4.039606536,0.0,16.48,16.61,73.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,2.0,5.0,3.0,6.8,3.0
