element,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
H,7.6660113,9.924782,0.0,0.0,0.0,10.352706,0.0,0.0,0.0,0.0,0.0,18.445984,13.2825775,0.0,0.0,0.0,46.21149,1.0859731,0.0,0.0,0.0,0.0,22.64776,0.0,9.93527,0.0,0.0,0.0,7.2110705,5.4970026,0.0,38.536682,0.0,0.0,9.1958,0.0,0.0,0.0,2.5951846,25.273449,0.0,0.0,0.0,10.55607,22.822926,0.0,0.0,0.66639966,0.0,0.040542983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
He,0.0,0.81927603,0.0,7.062851,4.822449,0.0,5.5264587,4.6926017,5.8468523,6.482943,0.0,0.0,0.0,8.127186,5.362666,0.0,0.0,7.0011945,0.0,24.426779,0.13648038,6.2009788,0.0,0.0,0.0,10.441544,6.980874,26.146654,0.0,0.0,9.727602,0.0,1.5394908,8.085334,0.0,0.0,0.0,3.9485664,0.0,0.0,4.577383,6.275949,2.0857801,0.0,0.0,7.712447,0.0,4.7648463,0.0,0.0,0.38700366,0.0,3.0849206,0.0,6.6920743,6.0140486,0.0,0.53486586,9.013466
Li,6.507262,15.301344,0.0,0.0,0.0,5.002807,0.0,0.0,0.0,0.0,6.299511,0.0,0.0,0.0,0.0,6.839581,22.419306,0.0,15.595039,0.0,0.0,0.0,8.657384,16.481216,12.853007,0.0,0.0,0.0,5.3316693,5.906049,0.0,7.400747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.678724,0.0,0.0,0.0,20.91095,8.422561,0.0,0.0,0.0,11.484843,33.16968,0.0,6.296158,0.0,7.4029403,0.0,0.0,0.0,0.0,0.0
Be,0.0,43.98596,1.7272503,0.0,10.757309,0.0,0.0,0.0,0.0,0.0,0.0,8.69666,0.0,0.0,0.0,0.0,15.238949,0.0,0.0,12.540372,3.662093,0.0,0.0,0.0,0.0,0.0,0.0,13.830517,0.0,0.0,0.0,39.023697,0.0,0.0,0.0,0.50136906,0.419621,0.0,8.804716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1369836,8.594247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0257661,0.0,0.0
B,0.3357921,39.390987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009311712,13.198363,2.808215,0.0,0.0,0.0,44.595108,0.0,6.297072,0.0,0.0,0.0,6.3823223,2.683236,7.26549,0.0,0.0,0.0,0.0,0.0,0.0,41.979458,0.0,0.0,0.0,0.0,0.0,0.0,4.854755,13.172907,0.0,0.0,0.0,13.382477,3.3891459,0.0,0.0,0.0,0.0,19.934536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C,5.5280085,15.3942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.636517,1.6276193,9.077697,0.0,0.0,1.2882504,50.03826,0.04099476,13.828822,0.0,0.0,0.0,23.94031,0.0,11.142886,0.0,0.0,0.0,6.3568625,8.078697,0.0,25.724787,0.0,0.0,0.0,0.0,0.0,0.0,0.8804276,29.709656,0.0,0.0,0.0,26.916098,17.918806,0.0,0.0,0.0,0.0,23.501247,0.0,0.0,0.0,0.26979032,0.0,0.0,0.0,0.0,0.0
N,8.660734,17.218908,0.0,0.0,0.0,2.6859398,0.0,0.0,0.0,0.0,5.4674106,2.8534427,6.085046,0.0,0.0,1.8430028,43.214455,0.0,12.551854,0.0,0.0,0.0,20.736105,2.575291,12.76421,0.0,0.0,0.0,6.76029,6.267054,0.0,23.067442,0.0,0.0,0.11331107,0.0,0.0,0.0,0.19420654,32.258667,0.0,0.0,0.0,27.669502,16.386417,0.0,0.0,0.0,0.0,29.581438,0.0,0.0,0.0,2.390101,0.0,0.0,0.0,0.0,0.0
O,6.7651334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9047747,0.0,5.2344837,0.0,0.0,25.960747,22.242193,3.2602317,18.938492,0.0,0.0,0.0,32.403355,0.0,11.448718,0.0,0.0,0.0,12.31513,10.870299,0.0,8.15748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.502445,0.0,0.0,0.0,43.59133,17.137224,0.0,0.0,0.0,0.0,36.300797,0.0,10.105432,0.0,3.2273102,0.0,0.0,0.0,0.0,0.0
F,6.928799,19.309975,0.0,0.0,0.0,2.1125124,0.0,0.0,0.0,0.0,3.7869,8.661433,8.569023,0.0,0.0,0.0,48.169296,0.0,9.400475,0.0,0.0,0.0,20.247398,0.0,11.564987,0.0,0.0,0.0,5.2667007,4.5690913,0.0,31.494627,0.0,0.0,1.2900739,0.0,0.0,0.0,1.7192128,28.392052,0.0,0.0,0.0,22.16976,17.224508,0.0,0.0,0.0,0.0,21.597006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ne,0.0,1.5101373,0.061161373,1.489442,1.5810668,0.0,1.0508171,0.7091815,1.068213,1.2046938,0.0,0.15516675,0.3481569,1.0059701,0.8409886,0.0,0.0,1.3426777,0.0,8.680343,0.0,0.8245477,0.0,0.0,0.0,1.9295266,1.0275434,7.2501626,0.0,0.0,1.4777337,0.66537935,0.0,1.1055214,0.05457817,0.0,0.0,0.028235115,0.0,0.0,0.9964136,0.9847917,0.0,0.0,0.0,1.4929718,0.0,1.5445763,0.0,0.0,0.0,0.0,0.2571909,0.0,0.95273286,1.2067822,0.0,0.0,0.70923185
