element,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
H,0.3830628239704996,0.03298324801483668,0.03255539260105013,0.03216196126597387,0.03206368001843285,0.029674049722349393,0.034051836351685565,0.025677655001217204,0.03658874017799939,0.08401759729673146,0.034470017206845734,0.08279357971197264,0.08990418955307647,0.050835793397555736,0.09852150641536571,0.066272917892415,0.1047934737796104,0.11056853787584675,0.08450728428094134,0.06861358238890099,0.06405556796205977,0.08766505835586239,0.005924182137800103,0.07892140892896984,0.04934219085289157,0.04563710760294142,0.04717452462856209,0.04065702038052706,0.038999928781963386,0.040158246475960044,0.03519707390499325,0.03435357500225153,0.03530494632521827,0.06332289971213804,0.030913894889332705,0.030897088864358543,0.03183098492754018
He,0.00305952380952381,0.0005,0.0005,0.0005,0.006023809523809524,0.04807142857142856,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.14111904761904762,0.09963095238095236,0.05578571428571429,0.011023809523809524,0.007261904761904763,0.07852380952380954,0.04980952380952381,0.0005,0.0005,0.0005,0.0013095238095238097,0.012690476190476186,0.018880952380952377,0.0005,0.0005,0.0005,0.731142857142857,0.08488095238095239,0.1029642857142857,0.38816666666666666
Li,0.11029234657242809,0.05640570839258182,0.0808987145733279,0.08354418390189304,0.07695047305953823,0.07507692497219137,0.09007570712545579,0.10026995015979448,0.0728395962098896,0.14355494037478322,0.21950803919635797,0.1367163050670834,0.18719383825868666,0.17031966364903084,0.0692302152702476,0.09181761161248192,0.10295307770284168,0.11666975234769535,0.19707088149576538,0.136521111689917,0.06336146113449695,0.07352034789586821,0.057003952722204015,0.11808656567220517,0.028477909808946624,0.040656693933293776,0.0480114393118112,0.03547823010967747,0.05406029749250254,0.06168990665521467,0.02282348261928623,0.0327985625184798,0.04265216396581634,0.13975024286538446,0.03285434412265846,0.050622865248426616,0.06819798104945847
Be,0.020810173239955765,0.010089084961297463,0.037839637854773275,0.04691347217102841,0.007710145595281963,0.010224566900110617,0.07523481846664205,0.08891989955768531,0.028199479358643507,0.09133641264283088,0.44176310818282266,0.0514506081828234,0.1707886795060823,0.1705098368964251,0.03380031330630298,0.04799693604865448,0.0580414670106892,0.09247228621452289,0.051325032252119374,0.04469475672687061,0.050426833763361524,0.045476962771839276,0.03231630114264653,0.06800027644673785,0.0415418125691117,0.0462301188720973,0.10874972355326233,0.05805144213048271,0.05766202082565412,0.1638799069295989,0.01560217010689273,0.02490881865093997,0.03869360486546264,0.21294835053446415,0.01963854589015853,0.035949110762993,0.1315764375230377
B,0.09794221782306754,0.030898882542566116,0.09273634278790381,0.13649557199829115,0.034276048765710915,0.01329417003815067,0.2584597008574875,0.1548730861873695,0.04977222654925644,0.0659624359057529,0.2080875558007548,0.05532008358393732,0.10118655120687776,0.09834948760663849,0.07366866611857067,0.06667193122894646,0.0745035896381829,0.18028560250391182,0.09636616292738191,0.115409591960361,0.08830159271037989,0.10286284733490074,0.01618857589984422,0.0991027725492695,0.0416790672349485,0.05279797602820897,0.0778979522295017,0.04017908887013604,0.044701620114952136,0.06273733259773277,0.035111585282301426,0.033593271096109246,0.051050280175674465,0.08873389620878859,0.028979765690919312,0.028262436626929767,0.04202497241513313
C,0.17911396245750347,0.06966618036574668,0.15663220843687847,0.19684954558385123,0.07373148256955474,0.12352544237131287,0.2998706529633063,0.3236983114801706,0.09368624835779038,0.09976467716122267,0.24432249448287327,0.09045713481602079,0.13675174151746536,0.10869276259663878,0.07773863078185606,0.07718218951752819,0.10414232204678264,0.1013405818219568,0.10090258430849673,0.0807909421115913,0.0784737185980496,0.10565355377671166,0.013570279394861615,0.0908032643463804,0.06665220650965731,0.060549604456967436,0.058918700983098024,0.04917456949735367,0.048282104674360136,0.04715447095237747,0.04499951115299311,0.041936649658860306,0.040700530681020516,0.08576815725833196,0.04065514311700624,0.03789764883393096,0.0372473371939668
N,0.1843774046114587,0.06532427041627949,0.17944594327337396,0.2488037528339432,0.09811594954415613,0.0940306413101111,0.24085778061841798,0.20578095364431556,0.08544648352708091,0.10532369639669686,0.18557139670060588,0.1094460071873004,0.13811967946553613,0.11840755390477686,0.06820836187351824,0.07486667671602452,0.09941534055279058,0.10276170469344952,0.10058098620423031,0.07380599705754201,0.06765203921662737,0.08962583811682491,0.016687429453475563,0.08298255993439241,0.04273715450291433,0.04869908229221502,0.05353828204138274,0.03703047248082237,0.0436933782740781,0.0481196830833009,0.03177744440692374,0.036487236505712485,0.04111835294968495,0.08589388235009873,0.03089050214654104,0.0370992607688933,0.04298036394770716
O,0.17848909994310452,0.05859211853184271,0.12706555795627478,0.23343648420584825,0.24637163238181506,0.12041744806823344,0.1249867181843752,0.11673852778391747,0.10283114151696053,0.08778456967996899,0.09737791367002278,0.10415514475354402,0.11242260361355873,0.0972360173596004,0.054856682579425525,0.05382878910993788,0.07403449738605897,0.08074091991641326,0.06726571319119569,0.05497980563154969,0.05979819028793459,0.0753422177650919,0.005120205079899816,0.08602560539525624,0.05420027095346511,0.04112511431128323,0.06007858983927432,0.052944587879694666,0.042940585096657644,0.06359609389303783,0.042447599456047896,0.03705744535661914,0.05571435314882991,0.11238525355307002,0.03787302647264408,0.03496638172092389,0.0542110543267934
F,0.21531899804969784,0.04826599357296805,0.07083792633230744,0.11190872669805618,0.1524775542941129,0.08984235019898884,0.06763244116045289,0.06421425494579233,0.06148810524256831,0.0609240926316411,0.059824000665952906,0.06493488538643517,0.07179278254342789,0.0637782754847972,0.05880175184063035,0.060251132393587405,0.06905764240146213,0.08882716264712655,0.06881161568913009,0.06218894059756071,0.06147481646502421,0.07258098530134077,0.0055740112367272145,0.07976723563828395,0.04842349141917429,0.0429813743056287,0.06426801391112676,0.05284851824249992,0.0448882603685989,0.07262513279527663,0.04366095316620577,0.0386818727173712,0.06563288513273763,0.1317733257223761,0.040862364628090585,0.03749575451503658,0.06842146315293873
Ne,0.10674814814814816,0.05033703703703704,0.06695925925925926,0.05495555555555555,0.023440740740740755,0.0050999999999999995,0.03248888888888888,0.05763703703703703,0.14057407407407405,0.14557407407407408,0.059985185185185204,0.13624444444444445,0.11512222222222222,0.08691851851851853,0.06316296296296298,0.06422222222222222,0.06931481481481484,0.042361111111111086,0.03763333333333332,0.03116851851851852,0.033048148148148125,0.03553333333333333,0.014598148148148148,0.10277407407407407,0.021485185185185184,0.019777777777777773,0.016492592592592586,0.020018518518518515,0.03222962962962962,0.027485185185185182,0.015540740740740733,0.022200000000000004,0.02226296296296297,0.3523666666666666,0.02233148148148147,0.07120555555555555,0.2152407407407408
