phases,pareto_cgcnn_mat2vec,anion radii diff %,distance from LSSI,Predicted_Order?
Al Li O S       ,1,34.9,2.25,True
Li O P S        ,1,34.9,1.5,True
Li O S Si       ,1,34.9,0.5,False
In Li O S       ,2,34.9,1.75,False
Cl Li O Sb      ,2,32.5,2.25,True
Li O S Sb       ,2,34.9,2.0,True
Li O P Se       ,2,46.0,1.75,True
Li O S Sn       ,3,34.9,1.0,True
Cl Li O Si      ,3,32.5,0.75,True
Al Cl Li O      ,3,32.5,2.5,True
Li O S Zn       ,3,34.9,3.25,True
Al Li N O       ,3,4.8,4.25,True
Li O P Te       ,3,64.3,2.0,True
Cl Li O Sn      ,3,32.5,1.25,True
Cl In Li O      ,4,32.5,2.0,True
In Li N O       ,4,4.8,3.75,True
F Li O P        ,4,5.9,2.0,True
Ce Li O S       ,4,34.9,14.0,True
Li N O Sb       ,4,4.8,2.5,True
Li O Sb Se      ,4,46.0,2.25,True
Li O Se Si      ,4,46.0,0.75,True
Li O S Ti       ,4,34.9,9.0,True
Ge Li O S       ,5,34.9,0.75,True
Li N O Zn       ,5,4.8,5.25,True
Br Li O Sb      ,5,44.4,2.0,True
Cl Li O Zn      ,5,32.5,3.5,True
Li O Sb Te      ,5,64.3,2.5,True
Li O Si Te      ,5,64.3,1.0,True
Li Mo O S       ,5,34.9,7.75,True
Li O S W        ,5,34.9,7.5,True
In Li O Se      ,6,46.0,2.0,True
F Li O Sb       ,6,5.9,2.5,True
Br Cl Li P      ,6,9.0,2.5,True
Cl Li S Sb      ,6,1.8,2.0,True
Ba Li O S       ,6,34.9,18.25,True
Al Li O Se      ,6,46.0,2.5,True
Li N P S        ,6,28.8,3.25,True
Li P S Se       ,6,8.2,2.0,False
K Li O S        ,6,34.9,19.25,True
Br Li O Si      ,6,44.4,0.5,True
Li Mg O S       ,6,34.9,3.5,True
Cl Li S Si      ,6,1.8,0.5,False
Cl Li Mo O      ,7,32.5,8.0,True
Ce Cl Li O      ,7,32.5,14.25,True
In Li O Te      ,7,64.3,2.25,True
Cl Li P Te      ,7,24.0,2.0,False
Li O Se Sn      ,7,46.0,1.25,True
Ga Li O S       ,7,34.9,2.0,True
Cl Li O W       ,7,32.5,7.75,True
Al Li O Te      ,7,64.3,2.75,False
Gd Li O S       ,7,34.9,15.25,True
Cl Li O Ti      ,7,32.5,9.25,True
F Li O Si       ,7,5.9,1.0,True
Li O S Zr       ,7,34.9,9.5,True
Li P S Te       ,7,21.8,2.25,False
Br Li P Se      ,7,1.1,1.5,False
Ca Li O S       ,7,34.9,17.75,True
Li O S Y        ,7,34.9,16.5,True
Br In Li O      ,8,44.4,1.75,True
Li N O Sn       ,8,4.8,3.0,True
Li O Sn Te      ,8,64.3,1.5,True
Cl Li Mg O      ,8,32.5,3.75,True
Li N S Sb       ,8,28.8,2.75,True
Li O S V        ,8,34.9,8.25,True
Al Br Li O      ,8,44.4,2.25,True
Cl Li N P       ,8,26.5,3.0,True
B Li O S        ,8,34.9,0.75,True
Li S Sb Se      ,8,8.2,2.5,False
K Li N O        ,8,4.8,21.25,True
Li P Se Te      ,8,12.5,2.5,False
Cl Li Sb Se     ,8,10.2,2.25,False
Cl Ge Li O      ,8,32.5,1.0,True
Ce Li N O       ,9,4.8,16.0,True
Br Li O Sn      ,9,44.4,1.0,True
Cl Gd Li O      ,9,32.5,15.5,True
Al Cl Li S      ,9,1.8,2.25,True
Br Cl Li Sb     ,9,9.0,3.0,True
Al Li N S       ,9,28.8,4.5,True
Cl Li S Sn      ,9,1.8,1.0,True
Br Li S Sb      ,9,7.1,1.75,False
Cl Li O V       ,9,32.5,8.5,True
Li S Sb Te      ,9,21.8,2.75,False
Al F Li O       ,9,5.9,2.75,True
Br Li P Te      ,9,13.7,1.75,False
Li Nb O S       ,9,34.9,8.5,True
Li S Se Si      ,9,8.2,1.0,False
Li N O Y        ,9,4.8,18.5,True
F Li P S        ,9,42.9,1.75,True
Li Mo O Se      ,9,46.0,8.0,True
Cl Li Se Si     ,10,10.2,0.75,True
Cl In Li S      ,10,1.8,1.75,True
Cl Li Nb O      ,10,32.5,8.75,True
Cl Li Sb Te     ,10,24.0,2.5,False
Cl K Li O       ,10,32.5,19.5,True
Ge Li O Se      ,10,46.0,1.0,True
Ba Li N O       ,10,4.8,20.25,True
Br Li Sb Se     ,10,1.1,2.0,False
Ce Li O Se      ,10,46.0,14.25,True
Li N S Si       ,10,28.8,2.75,False
Br Li S Si      ,10,7.1,0.25,True
Li S Si Te      ,10,21.8,1.25,False
F Li O Sn       ,10,5.9,1.5,True
Li Mo N O       ,10,4.8,9.75,True
F In Li O       ,10,5.9,2.25,True
Li O Se W       ,10,46.0,7.75,True
Br Ce Li O      ,11,44.4,14.0,True
Cl F Li P       ,11,40.3,3.0,True
Ce Li O Te      ,11,64.3,14.5,True
Ge Li O Te      ,11,64.3,1.25,True
Al Li S Se      ,11,8.2,2.75,False
Li O Se Zn      ,11,46.0,3.5,False
Gd Li O Se      ,11,46.0,15.5,True
Cl Li O Y       ,11,32.5,16.75,True
F Li S Sb       ,11,42.9,2.25,True
Li N O Zr       ,11,4.8,11.5,True
Ca Cl Li O      ,11,32.5,18.0,True
Li N P Se       ,11,39.4,3.5,True
Cl Ga Li O      ,11,32.5,2.25,True
Li Mg N O       ,11,4.8,5.5,False
Cl Li N Sb      ,11,26.5,2.5,True
Li Mo O Te      ,11,64.3,8.25,True
Cl Li N Si      ,11,26.5,2.5,True
Li N O W        ,11,4.8,9.5,True
Li O Te W       ,11,64.3,8.0,True
I Li O P        ,11,63.5,1.25,True
Ce Cl Li S      ,12,1.8,14.0,True
In Li N S       ,12,28.8,4.0,True
Cl Li Si Te     ,12,24.0,1.0,True
Li S Se Sn      ,12,8.2,1.5,False
Br Ge Li O      ,12,44.4,0.75,True
Al Li S Te      ,12,21.8,3.0,False
Li O Te Zn      ,12,64.3,3.75,False
Br Gd Li O      ,12,44.4,15.25,True
Gd Li O Te      ,12,64.3,15.75,True
Li Sb Se Te     ,12,12.5,3.0,False
Li N P Te       ,12,56.8,3.75,False
Ca Li N O       ,12,4.8,19.75,True
Li Mg O Se      ,12,46.0,3.75,True
Br Li Mo O      ,12,44.4,7.75,True
Li N S Sn       ,13,28.8,3.25,True
In Li S Se      ,13,8.2,2.25,False
Li S Sn Te      ,13,21.8,1.75,False
Cl Li Se Sn     ,13,10.2,1.25,True
Cl Li S W       ,13,1.8,7.5,True
Al Cl Li N      ,13,26.5,4.25,True
Li O S Ta       ,13,34.9,8.75,True
Cl F Li Sb      ,13,40.3,3.5,True
Cl Li S Zn      ,13,1.8,3.25,True
Gd Li N O       ,13,4.8,17.25,True
Ce F Li O       ,13,5.9,14.5,True
F Li P Se       ,13,54.6,2.0,True
Br Li Sb Te     ,13,13.7,2.25,False
F Ge Li O       ,13,5.9,1.25,True
B Li N O        ,13,4.8,2.75,True
Li O Se V       ,13,46.0,8.5,True
Cl Ge Li S      ,13,1.8,0.75,True
Al I Li O       ,13,63.5,2.0,True
Li Mg O Te      ,13,64.3,4.0,False
In Li S Te      ,14,21.8,2.5,False
Br Li S Sn      ,14,7.1,0.75,True
Li N S Zn       ,14,28.8,5.5,True
F Li S Si       ,14,42.9,0.75,True
Cl Li Mo S      ,14,1.8,7.75,True
Br Li O Zn      ,14,44.4,3.25,True
Ba Cl Li O      ,14,32.5,18.5,True
Ga Li O Se      ,14,46.0,2.25,True
F Li O Zn       ,14,5.9,3.75,True
Li N Sb Se      ,14,39.4,3.0,True
Br F Li P       ,14,52.9,2.75,True
I Li O Sb       ,14,63.5,1.75,True
Cl Gd Li S      ,14,1.8,15.25,True
Ca Li O Se      ,14,46.0,18.0,True
Br Cl Li Si     ,14,9.0,1.5,True
I Li O Si       ,14,63.5,0.25,True
