phases,magpie,mat2vec,pareto_magpie_mat2vec,anion radii diff %,cation radii diff %,cation charge diff,distance from LSSI,distance from LSGSI,Predicted_Order?
Li Ge P Se S,0.0,0.487,1,8.2,40.0,1.0,5.8,1.6,False
Li Al Sb Cl O,0.036,0.065,1,32.5,23.0,0.0,6.1,3.0,True
Li Al P Cl O,0.038,0.031,1,32.5,22.7,2.0,6.1,2.6,True
Li Al S O F,0.081,0.002,1,42.9,,,6.3,4.2,True
Li Al S N O,0.111,0.0,1,34.9,,,6.0,2.2,True
Li Al Si S Cl,0.01,0.139,1,1.8,25.0,1.0,6.0,1.6,False
Li Si S Cl O,0.03,0.085,1,34.9,,,5.4,3.0,True
Li Sb P S Cl,0.002,0.307,1,1.8,50.9,2.0,6.1,2.6,False
Li Al Sb S Cl,0.005,0.197,1,1.8,23.0,0.0,6.0,2.8,True
Li Ge Te P S,0.002,0.478,2,21.8,40.0,1.0,6.0,1.8,False
Li Al Si S O,0.038,0.06,2,34.9,25.0,1.0,6.0,1.6,False
Li Al Sb S O,0.034,0.121,2,34.9,23.0,0.0,6.0,2.8,False
Li Al Zn Cl O,0.042,0.042,2,32.5,30.4,1.0,7.9,4.0,True
Li Sb S Cl O,0.026,0.145,2,34.9,,,6.6,4.2,True
Li Al Si O F,0.083,0.019,2,5.9,25.0,1.0,6.3,2.0,False
Li Zn S Cl O,0.033,0.122,2,34.9,,,6.5,4.8,True
Li Al Te S Cl,0.012,0.193,2,24.0,,,6.0,3.4,True
Li Si P S Cl,0.006,0.251,2,1.8,1.9,1.0,5.3,1.4,False
Li Al Se S Cl,0.011,0.203,2,10.2,,,6.0,3.6,False
Li Al Zn S Cl,0.013,0.175,2,1.8,30.4,1.0,7.8,3.8,False
Ba Li S Cl O,0.141,0.016,2,34.9,,,12.5,16.8,True
Li Sn S Cl O,0.035,0.16,3,34.9,,,5.6,3.0,True
Li P Se S Cl,0.007,0.312,3,10.2,,,6.1,3.4,False
Li Al Se S O,0.039,0.126,3,46.0,,,6.0,3.6,True
Li Al Se Cl O,0.041,0.071,3,46.0,,,6.1,3.8,True
Li Ti Al Cl O,0.096,0.029,3,32.5,26.2,1.0,10.2,8.6,False
Li Al Te Cl O,0.042,0.061,3,64.3,,,6.1,3.6,True
Li Zn P S Cl,0.009,0.286,3,1.8,60.0,3.0,6.4,3.2,True
Li Si Cl O F,0.075,0.045,3,40.3,,,6.4,4.2,True
Li P S Cl O,0.036,0.131,3,34.9,,,6.2,3.8,True
Li Al P S Cl,0.015,0.184,3,1.8,22.7,2.0,6.0,2.4,False
Li Sb P Cl O,0.033,0.206,4,32.5,50.9,2.0,6.2,2.8,True
Ba Li Si Cl O,0.142,0.033,4,32.5,175.9,2.0,12.5,14.6,True
Li Al Sn Cl O,0.045,0.081,4,32.5,23.0,1.0,6.5,2.2,True
Li Al Zn S O,0.041,0.098,4,34.9,30.4,1.0,7.8,3.8,False
Li P Cl O F,0.074,0.072,4,40.3,,,7.2,5.0,True
Li Si N Cl O,0.105,0.043,4,32.5,,,5.4,1.4,False
Li Si P Cl O,0.037,0.148,4,32.5,1.9,1.0,5.4,1.6,False
Li Ca S Cl O,0.079,0.048,4,34.9,,,12.3,16.4,False
K Li Al S O,0.182,0.029,4,34.9,125.2,2.0,14.4,16.6,True
Li Te P S Cl,0.009,0.303,4,24.0,,,6.1,3.2,False
Li Al Sn S Cl,0.015,0.212,4,1.8,23.0,1.0,6.4,2.0,False
Li Si B S Cl,0.027,0.249,5,1.8,31.7,1.0,5.3,0.8,False
Li Al Te S O,0.041,0.116,5,64.3,,,6.0,3.4,False
Li Al P S O,0.044,0.107,5,34.9,22.7,2.0,6.0,2.4,False
Li Al Te P Cl,0.02,0.253,5,24.0,22.7,2.0,6.4,2.8,False
Li Sn P S Cl,0.011,0.321,5,1.8,50.9,1.0,5.5,1.4,False
Ba Li S N O,0.206,0.031,5,34.9,,,12.4,15.0,True
Li Al In S O,0.132,0.044,5,34.9,39.3,0.0,7.0,2.6,False
Li Mg Al S O,0.072,0.097,5,34.9,27.4,1.0,7.9,4.0,False
Ba Li S O F,0.18,0.033,5,42.9,,,12.7,17.0,True
Li Al P N O,0.111,0.045,5,4.8,22.7,2.0,7.4,3.6,False
Li Al P Se S,0.015,0.29,5,8.2,22.7,2.0,6.4,2.8,False
Li Zn Cl O F,0.078,0.083,5,40.3,,,7.5,6.0,True
Li Al Zn O F,0.085,0.058,5,5.9,30.4,1.0,8.1,4.2,False
Li Al Sb O F,0.079,0.081,5,5.9,23.0,0.0,6.3,3.2,True
Li Al Te P S,0.017,0.28,5,21.8,22.7,2.0,6.6,3.0,False
Li Ca Si Cl O,0.08,0.065,5,32.5,111.1,2.0,12.3,14.2,True
Li Zn P Cl O,0.04,0.184,5,32.5,60.0,3.0,6.5,3.4,True
Li P Se Cl O,0.038,0.212,5,46.0,,,6.2,3.6,True
Li Al P Se Cl,0.018,0.263,5,10.2,22.7,2.0,6.2,2.6,False
Li Si S Br Cl,0.018,0.265,6,9.0,,,5.8,3.6,False
Li Al Sn S O,0.043,0.136,6,34.9,23.0,1.0,6.4,2.0,False
Li Al Se O F,0.084,0.087,6,54.6,,,6.3,4.0,True
Li Sb Cl O F,0.072,0.106,6,40.3,,,7.6,5.4,True
Li Ca P Cl O,0.079,0.092,6,32.5,107.3,3.0,12.3,15.0,False
Li Sb S Br Cl,0.014,0.321,6,9.0,,,7.0,4.8,False
Li P N Cl O,0.104,0.07,6,32.5,,,6.0,2.2,True
Li Al Zn N O,0.115,0.056,6,4.8,30.4,1.0,9.4,5.4,True
Li Ti Al O F,0.137,0.046,6,5.9,26.2,1.0,10.4,8.8,False
Li In S N O,0.127,0.051,6,34.9,,,5.8,1.8,True
Li Al Te O F,0.085,0.077,6,73.9,,,6.3,3.8,True
Li Te P Cl O,0.04,0.202,6,64.3,,,6.2,3.4,True
Li In Si S O,0.056,0.109,6,34.9,74.1,1.0,5.8,1.2,False
Li Ti Al N O,0.164,0.044,6,4.8,26.2,1.0,11.7,10.0,False
Li Zn S Br Cl,0.021,0.3,7,9.0,,,6.9,5.4,True
Li Sn P Cl O,0.042,0.221,7,32.5,50.9,1.0,5.6,1.6,True
Li Ge Sb S O,0.019,0.331,7,34.9,7.8,1.0,5.4,1.6,False
Li Al S Br O,0.081,0.112,7,44.4,,,5.9,3.8,True
Li Sb Br Cl O,0.044,0.195,7,44.4,,,7.2,5.0,True
Li Zr Al Cl O,0.107,0.077,7,32.5,27.4,1.0,10.4,9.0,False
Li Sb P S Br,0.018,0.403,7,7.1,50.9,2.0,5.9,2.4,False
Ba Li Si O F,0.181,0.05,7,5.9,175.9,2.0,12.7,14.8,True
Ba Li Si N O,0.207,0.048,7,4.8,175.9,2.0,14.0,16.0,True
Li Ca Zn Cl O,0.083,0.103,7,32.5,29.5,0.0,14.5,16.4,True
Li Si Ge S O,0.023,0.276,7,34.9,42.6,0.0,5.4,0.4,False
Li Al Sn O F,0.088,0.097,7,5.9,23.0,1.0,6.7,2.4,True
Li Si B Cl O,0.056,0.12,7,32.5,31.7,1.0,5.4,1.0,True
Ba Li P Cl O,0.142,0.061,7,32.5,170.9,3.0,12.5,15.4,True
Li Mg Si S Cl,0.036,0.266,7,1.8,59.3,2.0,6.5,2.6,False
K Li S Cl O,0.175,0.054,7,34.9,,,13.1,17.6,True
Li Ca S O F,0.12,0.065,7,42.9,,,12.5,16.6,False
Li Ca Al S O,0.092,0.09,7,34.9,68.9,1.0,13.6,15.4,False
Li Si Br Cl O,0.048,0.137,7,44.4,,,6.0,3.8,True
Li Al Te N O,0.114,0.075,7,64.3,,,6.4,2.6,True
Li Ti Al S O,0.095,0.086,7,34.9,26.2,1.0,10.1,8.4,False
Li P Br Cl O,0.047,0.163,7,44.4,,,6.8,4.6,True
Li Al P Se O,0.046,0.188,7,46.0,22.7,2.0,6.2,2.6,False
Li Zn B S Cl,0.029,0.284,8,1.8,114.6,1.0,6.4,2.6,True
Li Zn Br Cl O,0.05,0.174,8,44.4,,,7.1,5.6,True
Li Ti S Cl O,0.088,0.11,8,34.9,,,8.8,9.4,False
Li Si S Cl F,0.047,0.178,8,42.9,,,6.2,4.0,True
Li In Si N O,0.129,0.067,8,4.8,74.1,1.0,7.4,2.8,False
Li Sb N Cl O,0.101,0.104,8,32.5,,,6.0,2.6,True
Li Ca S N O,0.148,0.063,8,34.9,,,12.2,14.6,True
Li Si S Br O,0.046,0.191,8,44.4,,,5.2,2.8,True
Li Zn N Cl O,0.107,0.081,8,32.5,,,6.5,3.2,True
Li In Sb S O,0.052,0.168,8,34.9,13.3,0.0,5.8,2.4,True
Li Sb S Cl F,0.042,0.236,8,42.9,,,7.4,5.2,True
Li Sb P Br Cl,0.021,0.378,8,9.0,50.9,2.0,6.6,3.4,False
Li B Sb S Cl,0.022,0.305,8,1.8,102.4,0.0,5.5,2.0,False
Li Mg S Cl O,0.064,0.121,8,34.9,,,6.6,5.0,True
Ba Li Ti Cl O,0.193,0.06,8,32.5,75.0,2.0,19.3,21.4,False
