phase fields,pareto front,leaf,mat2vec
Cl K Mg N       ,1,0.0,0.41
Cl K Mg S       ,1,0.001,0.354
K Mg N S        ,1,0.037,0.313
Cl K Mg O       ,1,0.052,0.223
K Mg N O        ,1,0.088,0.181
K Mg O S        ,1,0.089,0.121
Cl Mg S Sn      ,1,0.091,0.388
Li Mg O S       ,1,0.095,0.364
Mg N S Sn       ,1,0.127,0.348
Cl Mg O Sn      ,1,0.141,0.259
Mg N O Sn       ,1,0.176,0.217
Mg O S Sn       ,1,0.177,0.158
F K Mg O        ,1,0.197,0.356
Cl Mg N Zn      ,1,0.267,0.356
Cl Mg S Zn      ,1,0.268,0.298
I K Mg O        ,1,0.279,0.402
F Mg O Sn       ,1,0.283,0.39
Al Cl Mg N      ,1,0.293,0.298
Al Cl Mg S      ,1,0.294,0.24
Mg N S Zn       ,1,0.302,0.257
Mg O S Ta       ,1,0.311,0.324
Cl Mg O Zn      ,1,0.316,0.166
Al Mg N S       ,1,0.327,0.198
Ba Cl Mg S      ,1,0.329,0.403
Al Cl Mg O      ,1,0.341,0.105
Mg N O Zn       ,1,0.349,0.123
Mg O S Zn       ,1,0.35,0.062
Ba Mg N S       ,1,0.362,0.363
Br Mg O Zn      ,1,0.369,0.356
Al Mg N O       ,1,0.374,0.062
Al Mg O S       ,1,0.375,0.0
Ba Cl Mg O      ,1,0.376,0.275
B Mg N S        ,1,0.383,0.389
Al Br Mg O      ,1,0.394,0.299
Ba Mg N O       ,1,0.408,0.233
Ba Mg O S       ,1,0.409,0.174
Cl Mg O Sr      ,1,0.416,0.404
B Mg N O        ,1,0.429,0.26
Al F Mg S       ,1,0.43,0.371
Mg N O Sr       ,1,0.448,0.363
Mg O S Sr       ,1,0.449,0.306
F Mg O Zn       ,1,0.451,0.3
Al F Mg O       ,1,0.476,0.242
Cl Mg N P       ,1,0.48,0.359
Cl Mg P S       ,1,0.481,0.301
Ba F Mg O       ,1,0.509,0.405
I Mg O Zn       ,1,0.528,0.347
Mg N S Zr       ,1,0.528,0.373
Cl Mg N Si      ,1,0.54,0.336
Cl Mg O Zr      ,1,0.541,0.284
Cl Mg S Si      ,1,0.541,0.278
Al I Mg O       ,1,0.552,0.29
Mg N O P        ,1,0.557,0.127
Mg O P S        ,1,0.558,0.066
Mg N S Si       ,1,0.572,0.237
Mg O S Zr       ,1,0.574,0.184
Br Mg O P       ,1,0.576,0.36
Cl La Mg O      ,1,0.58,0.38
Cl Mg O Si      ,1,0.585,0.146
Ca Mg N S       ,1,0.593,0.386
Ca Cl Mg O      ,1,0.606,0.298
La Mg N O       ,1,0.611,0.339
La Mg O S       ,1,0.612,0.281
Mg N O Si       ,1,0.616,0.103
Mg O S Si       ,1,0.617,0.041
Br Mg O Si      ,1,0.635,0.337
Ca Mg N O       ,1,0.637,0.256
Ca Mg O S       ,1,0.638,0.197
F Mg S Si       ,1,0.669,0.409
Cl Mg S Y       ,1,0.719,0.364
I Mg O P        ,1,0.728,0.351
Mg N S Y        ,1,0.749,0.324
Cl Mg O Y       ,1,0.761,0.234
I Mg O Si       ,1,0.784,0.328
Mg N O Y        ,1,0.791,0.193
Mg O S Y        ,1,0.792,0.133
F Mg O Y        ,1,0.883,0.366
Cl Li Mg N      ,2,0.006,0.637
Cl Li Mg S      ,2,0.007,0.584
Br Cl K Mg      ,2,0.022,0.628
Li Mg N S       ,2,0.043,0.545
Br K Mg N       ,2,0.058,0.59
Cl Li Mg O      ,2,0.058,0.46
Br K Mg S       ,2,0.059,0.536
Cl Mg N Sn      ,2,0.09,0.444
Li Mg N O       ,2,0.094,0.421
Br K Mg O       ,2,0.109,0.411
Cl F K Mg       ,2,0.112,0.575
Br Mg N Sn      ,2,0.146,0.623
Br Mg S Sn      ,2,0.147,0.569
F K Mg N        ,2,0.147,0.537
F K Mg S        ,2,0.148,0.482
Cl I K Mg       ,2,0.196,0.62
Br Mg O Sn      ,2,0.197,0.445
Cl F Mg Sn      ,2,0.199,0.608
F Li Mg O       ,2,0.203,0.585
Cl Mg N Ta      ,2,0.227,0.6
Cl Mg S Ta      ,2,0.228,0.545
I K Mg N        ,2,0.23,0.582
I K Mg S        ,2,0.231,0.527
F Mg N Sn       ,2,0.234,0.57
F Mg S Sn       ,2,0.235,0.515
Mg N S Ta       ,2,0.262,0.507
Cl Mg O Ta      ,2,0.276,0.421
I Li Mg O       ,2,0.285,0.63
Br Cl Mg Zn     ,2,0.287,0.576
Al Br Cl Mg     ,2,0.313,0.522
I Mg N Sn       ,2,0.315,0.614
