phase fields,pareto front,leaf,mat2vec
Cl K Mg N       ,1,11.01,27.756
Cl K Mg S       ,1,11.013,27.377
K Mg N S        ,1,11.126,27.105
Cl K Mg O       ,1,11.173,26.507
K Mg N O        ,1,11.284,26.226
K Mg O S        ,1,11.288,25.825
Cl Mg S Sn      ,1,11.295,27.608
Li Mg O S       ,1,11.307,27.447
Mg N S Sn       ,1,11.405,27.338
Cl Mg O Sn      ,1,11.451,26.745
Mg N O Sn       ,1,11.559,26.467
Mg O S Sn       ,1,11.563,26.069
F K Mg O        ,1,11.625,27.39
Cl Mg N Zn      ,1,11.844,27.391
Cl Mg S Zn      ,1,11.847,27.007
I K Mg O        ,1,11.881,27.702
F Mg O Sn       ,1,11.892,27.62
Al Cl Mg N      ,1,11.923,27.005
Al Cl Mg S      ,1,11.926,26.615
Mg N S Zn       ,1,11.952,26.731
Mg O S Ta       ,1,11.979,27.179
Cl Mg O Zn      ,1,11.996,26.124
Al Mg N S       ,1,12.031,26.335
Ba Cl Mg S      ,1,12.035,27.708
Al Cl Mg O      ,1,12.074,25.719
Mg N O Zn       ,1,12.099,25.839
Mg O S Zn       ,1,12.103,25.432
Ba Mg N S       ,1,12.138,27.44
Br Mg O Zn      ,1,12.161,27.396
Al Mg N O       ,1,12.177,25.43
Al Mg O S       ,1,12.18,25.015
Ba Cl Mg O      ,1,12.181,26.849
B Mg N S        ,1,12.205,27.614
Al Br Mg O      ,1,12.238,27.01
Ba Mg N O       ,1,12.283,26.571
Ba Mg O S       ,1,12.287,26.175
Cl Mg O Sr      ,1,12.307,27.711
B Mg N O        ,1,12.349,26.751
Al F Mg S       ,1,12.351,27.495
Mg N O Sr       ,1,12.408,27.442
Mg O S Sr       ,1,12.411,27.059
F Mg O Zn       ,1,12.418,27.02
Al F Mg O       ,1,12.494,26.628
Cl Mg N P       ,1,12.506,27.411
Cl Mg P S       ,1,12.509,27.028
Ba F Mg O       ,1,12.597,27.721
Mg N S Zr       ,1,12.657,27.505
I Mg O Zn       ,1,12.658,27.336
Cl Mg N Si      ,1,12.694,27.261
Cl Mg S Si      ,1,12.697,26.875
Cl Mg O Zr      ,1,12.698,26.915
Al I Mg O       ,1,12.732,26.949
Mg N O P        ,1,12.748,25.861
Mg O P S        ,1,12.752,25.454
Mg N S Si       ,1,12.795,26.598
Mg O S Zr       ,1,12.799,26.243
Br Mg O P       ,1,12.807,27.417
Cl La Mg O      ,1,12.819,27.55
Cl Mg O Si      ,1,12.836,25.988
Ca Mg N S       ,1,12.86,27.591
Ca Cl Mg O      ,1,12.901,27.003
La Mg N O       ,1,12.916,27.28
La Mg O S       ,1,12.919,26.894
Mg N O Si       ,1,12.933,25.701
Mg O S Si       ,1,12.936,25.291
Br Mg O Si      ,1,12.99,27.266
Ca Mg N O       ,1,12.997,26.728
Ca Mg O S       ,1,13.0,26.334
F Mg S Si       ,1,13.097,27.746
Cl Mg S Y       ,1,13.251,27.449
