phase fields,pareto front,magpie37,random200,megnet16,leaf36,mat2vec
Cl Mg P S       ,1,7.509,28.683,4.862,12.509,27.028
Cl Mg S Si      ,2,7.556,28.76,4.789,12.697,26.875
Cl Mg S Zn      ,3,7.751,29.229,5.894,11.847,27.007
Mg O S Sn       ,3,8.482,28.017,5.163,11.563,26.069
Cl Mg O Sn      ,3,8.563,27.714,5.206,11.451,26.745
K Mg O S        ,3,13.162,28.079,5.171,11.288,25.825
Cl K Mg O       ,3,13.215,27.776,5.215,11.173,26.507
Al Cl Mg S      ,4,7.897,29.105,5.38,11.926,26.615
Br Mg P S       ,5,7.943,29.23,4.742,12.667,28.259
Cl Mg S Sn      ,6,7.953,28.953,4.817,11.295,27.608
Br Mg S Si      ,7,7.987,29.306,4.667,12.853,28.113
Br Cl Mg P      ,8,8.029,28.94,4.789,12.565,28.884
Mg O P S        ,9,8.066,27.736,5.205,12.752,25.454
Br Cl Mg Si     ,10,8.074,29.016,4.715,12.753,28.741
Mg O S Si       ,11,8.11,27.816,5.137,12.936,25.291
Br Mg S Zn      ,12,8.172,29.766,5.795,12.014,28.239
Br Mg O Sn      ,12,8.946,28.28,5.094,11.623,27.989
Li Mg O S       ,12,10.513,28.182,5.512,11.307,27.447
Cl Li Mg O      ,12,10.579,27.881,5.553,11.192,28.09
Cl K Mg S       ,12,12.828,29.014,4.826,11.013,27.377
Br K Mg O       ,12,13.466,28.341,5.103,11.35,27.761
I K Mg O        ,12,13.66,28.096,5.073,11.881,27.702
Cl Mg O Si      ,13,8.195,27.511,5.181,12.836,25.988
Br Cl Mg Zn     ,14,8.257,29.481,5.834,11.906,28.864
I K Mg S        ,14,13.286,29.32,4.672,11.731,28.536
I Mg P S        ,15,8.267,28.992,4.709,13.145,28.201
Mg O S Zn       ,16,8.293,28.301,6.18,12.103,25.432
Al Br Mg S      ,17,8.31,29.644,5.272,12.092,27.865
I Mg S Si       ,18,8.31,29.069,4.634,13.324,28.054
Cl I Mg P       ,19,8.351,28.7,4.757,13.047,28.827
Br Mg S Sn      ,20,8.364,29.496,4.695,11.47,28.814
Cl Mg O Zn      ,21,8.376,28.001,6.217,11.996,26.124
