Phase fields,scores,Norm. score
Cl Cs O Re      , 14.886,    0.501
C I Mo O        , 14.947,    0.506
Bi Ce O S       ,  11.15,    0.212
Ba Cl Cu O      , 12.257,    0.298
C Cu N S        , 13.073,    0.361
F K O Ta        ,  9.991,    0.122
Cd Cl O P       , 11.512,     0.24
C N Pb S        , 11.086,    0.207
Cl Fe O P       , 13.062,     0.36
F Nb O Zr       , 12.598,    0.324
B Ca Cl O       ,  11.84,    0.265
Cu F O P        , 13.122,    0.364
O S Tl          ,  9.136,    0.056
Cl Cu O Sr      , 12.382,    0.307
Bi Cl In S      ,  9.985,    0.122
Cd I P S        , 12.054,    0.282
F O Se Xe       , 13.579,      0.4
F O Te U        , 16.822,    0.651
As Cl Cu O      , 11.443,    0.235
As Cl Co O      ,  11.51,     0.24
Cl Mn O         , 14.404,    0.464
F O Se Y        , 12.313,    0.302
C N Na S        , 11.205,    0.216
Ca Cl Cu O      , 12.972,    0.353
Br Ca Cu O      , 13.125,    0.365
Br C O Re       , 16.417,    0.619
Ba Br Cu O      , 12.418,     0.31
Cl N O Sb       ,  10.13,    0.133
B Cl Li O       ,  9.951,    0.119
Br Cu O Sr      , 12.542,     0.32
Cd I O V        , 11.553,    0.243
Br Cd O P       , 11.684,    0.253
As Br Cd O      , 10.276,    0.144
Br Cd O V       , 11.006,    0.201
Ag Br N O       ,  8.876,    0.036
Ag I O W        ,  18.25,    0.761
F Li O S        ,  9.586,    0.091
Br Cu P S       ,  12.74,    0.335
F K O P         , 10.906,    0.193
F O W Xe        , 20.504,    0.936
Bi Cl F O       , 10.428,    0.156
Bi Br Cu S      , 12.124,    0.287
Cl K O W        , 17.974,     0.74
As Cd I         , 10.532,    0.164
F O P Rb        , 10.897,    0.192
Ag N O Te       ,  9.007,    0.046
K N O Se        ,  9.461,    0.081
C F Hg O        ,  13.07,     0.36
F O P Sn        ,  11.19,    0.215
F K O U         , 16.477,    0.624
Bi Cl Cu S      , 11.958,    0.274
Cl O P Sr       ,  11.63,    0.249
F Na O P        , 11.262,    0.221
Ca O S Sb       , 11.795,    0.262
Br K Mo O       , 12.878,    0.346
Cl Mo Se        , 15.892,    0.579
Ce O S          , 11.529,    0.241
C Cl Mn O       , 13.628,    0.404
Ga La O S       , 11.641,     0.25
N O S           ,   9.56,    0.089
Cs F O Sb       , 10.325,    0.148
F O Rb Sb       , 10.251,    0.142
Ag O S Si       , 10.472,    0.159
Ca Cl O W       , 19.095,    0.827
Cd F O P        , 11.951,    0.274
C Cr O S        , 15.135,     0.52
Cl N S Sb       ,  9.953,    0.119
C F O Tl        , 11.346,    0.227
Cl F Sb         , 10.985,    0.199
Al Ca F O       , 12.094,    0.285
Cs F I O        , 10.322,    0.148
Ca Cl O P       , 12.256,    0.297
Cl Mn O P       , 13.253,    0.375
F Mn O P        , 13.636,    0.404
Cl Mg O P       ,  12.65,    0.328
F Li Nb O       , 11.078,    0.206
Br Cl Tl        ,  8.411,      0.0
As F N S        ,  9.597,    0.092
Cl F K Sb       ,  9.957,     0.12
F Na O Ta       , 10.379,    0.152
F Hg Ni S       , 13.219,    0.372
C Cs N Se       , 11.172,    0.214
K O S Sb        ,  9.876,    0.113
B F Mg O        , 12.661,    0.329
B Cl Cr O       , 14.367,    0.461
C Cl O Pb       , 11.133,    0.211
N O Si Sm       , 11.363,    0.228
F Nb O Se       , 11.656,    0.251
F Mg O Si       , 13.231,    0.373
Ag S Se Te      ,  9.138,    0.056
B Fe I O        , 13.301,    0.378
As Cs F O       ,  9.452,    0.081
Cl F O Sb       , 10.508,    0.162
Cl Cr Cs O      , 13.512,    0.395
Ag Cl N O       ,  8.649,    0.018
Cl K O Ru       , 10.112,    0.132
Ag I N O        ,  9.546,    0.088
F Nb O Tl       , 11.046,    0.204
Cl Cu O Se      , 11.843,    0.266
Ba Cl O Re      , 15.614,    0.557
Ba Cl O P       , 11.497,    0.239
As F K O        ,  9.381,    0.075
As F O Rb       ,  9.372,    0.074
Cl Cr O Rb      , 13.456,     0.39
Ca Cl O Si      , 12.448,    0.312
F K O V         , 10.176,    0.137
Cl Fe O Pb      , 11.861,    0.267
B Cl Mg O       , 12.248,    0.297
Br Cl Cs W      , 17.951,    0.738
Br Cl Cs Mo     ,  12.69,    0.331
Cl O Si Yb      , 12.002,    0.278
Ca F O P        , 12.669,    0.329
Bi Cl N S       ,  9.869,    0.113
F Ge Mg O       , 12.532,    0.319
F Na O S        ,  9.969,    0.121
F Nb O Rb       , 11.051,    0.204
Cs F Nb O       , 11.119,    0.209
F Nb O Sc       , 12.197,    0.293
F K O Sb        ,  10.26,    0.143
F Na O Sb       , 10.638,    0.172
F O Rb Ta       ,  9.982,    0.122
Cs F Mo O       , 13.171,    0.368
Ce N O Si       , 12.013,    0.279
La N O Si       , 12.464,    0.314
N O S U         , 16.475,    0.624
F Mo O Rb       , 13.114,    0.364
Ag Ge I S       , 10.091,     0.13
Ba F O P        , 11.936,    0.273
C N S Se        , 11.455,    0.235
C N Se          , 11.707,    0.255
Cl N Sb V       , 10.542,    0.165
As F O S        ,  9.784,    0.106
F Li O Ta       , 10.012,    0.124
Cl O Re         ,  19.16,    0.832
Cs F O V        , 10.241,    0.142
C Hg N S        , 12.629,    0.326
F O S Xe        , 13.362,    0.383
C N P S         , 12.363,    0.306
As Eu O Ta      , 10.129,    0.133
Cl I N V        ,  10.54,    0.165
C Fe O Se       , 13.751,    0.413
Cl O Sn         ,  9.213,    0.062
As F I S        , 10.292,    0.146
Hg I Na O       , 11.811,    0.263
Cl Cu N S       , 11.436,    0.234
Ce Cr O S       , 14.569,    0.476
Cr La O S       , 14.944,    0.505
Cl Fe N S       , 11.812,    0.263
B I Ni O        , 12.947,    0.351
La O Se         , 11.615,    0.248
Cl Cs O U       , 16.203,    0.603
O Rb Re S       , 14.922,    0.504
Cs F O U        , 16.518,    0.627
Br Cl Cu Rb     , 11.152,    0.212
B Mg O S        , 12.352,    0.305
F K O Xe        ,  13.07,     0.36
Fe I N O        , 12.625,    0.326
Co I N O        , 12.336,    0.304
Ca Cl Cr O      , 14.927,    0.504
Cl Mo O P       , 14.037,    0.435
Cl K O Os       ,  13.03,    0.357
Na O S          ,  9.573,     0.09
C I O Re        , 16.788,    0.648
Cl F I Sb       , 10.982,    0.199
Ag La O S       , 10.451,    0.158
As La O S       , 10.944,    0.196
Cr F K O        ,  13.84,     0.42
F Fe O Sr       , 13.128,    0.365
F K Nb O        , 11.059,    0.205
Cl O Pb V       ,  9.924,    0.117
Cl F N P        , 10.975,    0.198
Br F N P        , 11.155,    0.212
Cl O S Zr       , 10.843,    0.188
B Cl N          ,  10.13,    0.133
F N P S         , 11.092,    0.207
Cu S Se Ta      , 12.151,    0.289
B Br Eu O       , 10.796,    0.185
Cl Cu Hg Se     ,  13.07,     0.36
Cl O P Sn       , 10.719,    0.179
Cl Hg O         , 12.534,    0.319
Ag C N S        , 10.553,    0.166
B Ba F O        , 11.509,     0.24
F K O S         ,  9.564,    0.089
Br Cl O W       , 18.226,    0.759
Cs F O P        , 10.966,    0.198
As I K O        ,  9.697,    0.099
As Br K O       ,  9.038,    0.049
B Br Ca O       , 12.007,    0.278
Cs F O Ta       , 10.058,    0.127
Ag C N O        ,  10.72,    0.179
Br Cs O U       , 16.325,    0.612
F Fe O P        , 13.451,     0.39
K N O Os        , 13.126,    0.365
F O P Pb        , 11.144,    0.211
Cs O P S        , 10.608,     0.17
Cl O Pr W       , 18.367,     0.77
Cl Cs O Os      , 13.081,    0.361
B F N S         , 10.631,    0.172
C Fe O S        , 13.537,    0.397
C N S Zn        , 11.692,    0.254
Al Cl K O       ,  9.715,    0.101
Ag N O S        ,  8.797,     0.03
As N O Th       , 10.533,    0.164
N O P Th        , 11.911,    0.271
F Na Nb O       , 11.411,    0.232
F O U Zr        , 17.547,    0.707
C N O S         , 11.354,    0.228
I S Sb Sn       , 10.678,    0.175
Cs F O Ti       , 11.824,    0.264
F Na O V        , 10.557,    0.166
F N O Xe        , 13.359,    0.383
F Hg S Si       , 12.726,    0.334
C Cl O Ru       , 12.145,    0.289
C I O Ru        , 12.799,    0.339
Br P S          , 10.807,    0.185
C K N Se        , 11.113,    0.209
C K N O         , 11.009,    0.201
Cl O P Sb       , 11.408,    0.232
Cl Nb O P       , 12.132,    0.288
Cl O P Pb       , 10.671,    0.175
As Cl O Pb      ,  9.108,    0.054
Cl Co N O       , 11.656,    0.251
Cl O Sb Se      , 10.418,    0.155
As F S          ,  9.601,    0.092
Br Cl Cs Hg     , 10.699,    0.177
Bi F Nb O       , 11.923,    0.272
Bi F O Ti       , 12.583,    0.323
Cl Cs Np O      , 15.724,    0.566
Ce Ga O S       , 11.156,    0.212
K O S Se        ,  9.465,    0.082
Cs Mo O S       , 12.875,    0.345
Bi F O Ta       ,  10.94,    0.196
Li N O Si       , 10.784,    0.184
Li N O Ti       , 11.449,    0.235
Ge Li N O       ,  9.913,    0.116
Bi Cd I O       , 11.555,    0.243
Bi Br O Sr      , 11.131,     0.21
Bi Cl O Sr      , 10.951,    0.196
Bi Cl Li O      ,  9.681,    0.098
Bi Cl Na O      ,  10.06,    0.128
Bi Br Li O      ,  9.884,    0.114
Bi Br Na O      , 10.256,    0.143
Bi Br Cd O      , 11.008,    0.201
Bi I Li O       ,  10.49,    0.161
Bi I Na O       , 10.841,    0.188
C Hg N O        , 12.768,    0.337
As Ca Cl O      , 10.922,    0.194
Ca Cl O V       , 11.612,    0.248
Br Ca O P       , 12.418,     0.31
F N S Sb        , 10.458,    0.158
Br Cl I Sb      , 10.691,    0.176
Ca O S Si       , 12.551,     0.32
Cl Cr K O       , 13.463,    0.391
F I K O         , 10.257,    0.143
Am F K O        , 14.235,    0.451
Cl Cs Nb O      , 10.646,    0.173
C F La O        , 12.981,    0.354
K O S           ,  9.151,    0.057
F Mg O P        , 13.051,    0.359
Cl N O S        ,  9.424,    0.078
C N Na O        , 11.362,    0.228
Cs N O Os       , 13.176,    0.369
B F O Te        , 10.972,    0.198
Al Cl N S       ,  9.924,    0.117
Ag I O P        , 10.893,    0.192
F I S Sb        , 11.099,    0.208
F In N O        , 10.067,    0.128
C Cl O Os       , 14.664,    0.484
Cl Cu K O       , 11.256,     0.22
Cu F Hg S       , 13.239,    0.374
F Hg Mn S       , 13.749,    0.413
F Hg Ni O       , 13.352,    0.382
F Hg O Zn       , 12.027,     0.28
Ca F O Sb       , 12.118,    0.287
Cl O P Ti       , 12.781,    0.338
Cl K N Os       ,  12.89,    0.347
Bi Ca Cl O      , 11.614,    0.248
Bi Br Ca O      , 11.784,    0.261
Bi Cd Cl O      , 10.826,    0.187
C Ce F O        , 12.548,     0.32
C N O Rb        , 11.001,      0.2
C Cs N O        , 11.069,    0.206
C N O Tl        , 10.996,      0.2
Cd I S Sb       , 11.473,    0.237
Cl Mo S         , 12.885,    0.346
Cl N V          ,  9.735,    0.102
Cl K N O        ,  9.005,    0.046
Cl K Mo O       , 12.722,    0.334
