Phase fields,scores,Norm. scores
Cl Cs O Re      , 12.166,    0.673
C I Mo O        ,  9.548,    0.424
Bi Ce O S       , 13.093,    0.762
Ba Cl Cu O      ,  9.137,    0.385
C Cu N S        ,  9.161,    0.387
F K O Ta        , 11.444,    0.605
Cd Cl O P       ,  6.151,    0.101
C N Pb S        ,  9.898,    0.457
Cl Fe O P       , 10.552,     0.52
F Nb O Zr       ,   9.83,    0.451
B Ca Cl O       ,   7.89,    0.266
Cu F O P        ,  7.864,    0.264
O S Tl          ,   8.16,    0.292
Cl Cu O Sr      ,  8.669,     0.34
Bi Cl In S      ,  8.299,    0.305
Cd I P S        ,   5.96,    0.082
F O Se Xe       ,  8.235,    0.299
F O Te U        , 11.996,    0.657
As Cl Cu O      ,  7.342,    0.214
As Cl Co O      ,  8.632,    0.337
Cl Mn O         ,  6.845,    0.167
F O Se Y        ,  8.476,    0.322
C N Na S        ,  9.963,    0.463
Ca Cl Cu O      ,  8.416,    0.316
Br Ca Cu O      ,  8.471,    0.321
Br C O Re       ,  9.712,     0.44
Ba Br Cu O      ,  9.188,     0.39
Cl N O Sb       ,  7.183,    0.199
B Cl Li O       ,  9.127,    0.384
Br Cu O Sr      ,  8.723,    0.345
Cd I O V        ,  7.613,     0.24
Br Cd O P       ,  6.227,    0.108
As Br Cd O      ,    6.2,    0.105
Br Cd O V       ,  7.373,    0.217
Ag Br N O       ,  8.501,    0.324
Ag I O W        , 10.111,    0.478
F Li O S        ,  8.781,    0.351
Br Cu P S       ,  6.951,    0.177
F K O P         ,  9.356,    0.406
F O W Xe        , 10.466,    0.511
Bi Cl F O       ,  8.774,     0.35
Bi Br Cu S      ,  9.104,    0.382
Cl K O W        , 11.049,    0.567
As Cd I         ,  6.029,    0.089
F O P Rb        ,  9.837,    0.452
Ag N O Te       ,  8.513,    0.325
K N O Se        ,  9.729,    0.441
C F Hg O        ,  9.722,    0.441
F O P Sn        ,  6.715,    0.154
F K O U         , 13.707,     0.82
Bi Cl Cu S      ,  9.053,    0.377
Cl O P Sr       ,  7.367,    0.216
F Na O P        ,  8.785,    0.351
Ca O S Sb       ,  7.033,    0.184
Br K Mo O       , 10.579,    0.522
Cl Mo Se        ,  9.511,    0.421
Ce O S          , 15.597,      1.0
