Phase fields,scores,Norm. scores
Cl Cs O Re      , 30.784,    0.633
C I Mo O        , 26.833,    0.303
Bi Ce O S       , 27.054,    0.321
Ba Cl Cu O      , 25.273,    0.173
C Cu N S        , 24.742,    0.128
F K O Ta        , 28.234,     0.42
Cd Cl O P       , 26.354,    0.263
C N Pb S        , 26.003,    0.234
Cl Fe O P       , 24.404,      0.1
F Nb O Zr       , 28.366,    0.431
B Ca Cl O       , 27.059,    0.322
Cu F O P        , 25.477,     0.19
O S Tl          , 26.466,    0.272
Cl Cu O Sr      , 26.187,    0.249
Bi Cl In S      , 26.528,    0.277
Cd I P S        , 28.393,    0.433
F O Se Xe       , 30.185,    0.583
F O Te U        , 29.251,    0.505
As Cl Cu O      , 24.394,    0.099
As Cl Co O      , 25.503,    0.192
Cl Mn O         , 26.013,    0.234
F O Se Y        ,  27.29,    0.341
C N Na S        , 26.542,    0.279
Ca Cl Cu O      , 25.437,    0.186
Br Ca Cu O      , 26.742,    0.295
Br C O Re       , 30.112,    0.577
Ba Br Cu O      , 26.585,    0.282
Cl N O Sb       , 25.341,    0.178
B Cl Li O       , 28.143,    0.412
Br Cu O Sr      , 27.456,    0.355
Cd I O V        , 28.651,    0.455
Br Cd O P       , 27.615,    0.368
As Br Cd O      , 27.499,    0.359
Br Cd O V       , 28.708,    0.459
Ag Br N O       , 27.086,    0.324
Ag I O W        , 28.311,    0.426
F Li O S        , 27.561,    0.364
Br Cu P S       , 26.766,    0.297
F K O P         , 26.577,    0.282
F O W Xe        , 30.587,    0.616
Bi Cl F O       , 26.689,    0.291
Bi Br Cu S      , 27.182,    0.332
Cl K O W        , 26.789,    0.299
As Cd I         ,  28.75,    0.463
F O P Rb        , 29.863,    0.556
Ag N O Te       , 26.494,    0.275
K N O Se        , 26.046,    0.237
C F Hg O        , 27.609,    0.368
F O P Sn        , 26.815,    0.301
F K O U         ,  28.91,    0.476
Bi Cl Cu S      ,   25.9,    0.225
Cl O P Sr       , 26.908,    0.309
F Na O P        , 27.228,    0.336
Ca O S Sb       , 25.775,    0.215
Br K Mo O       , 27.635,     0.37
Cl Mo Se        , 28.775,    0.465
Ce O S          , 28.546,    0.446
C Cl Mn O       , 25.236,     0.17
Ga La O S       , 27.681,    0.374
N O S           , 23.634,    0.036
Cs F O Sb       , 28.101,    0.409
F O Rb Sb       , 30.109,    0.576
Ag O S Si       , 25.178,    0.165
Ca Cl O W       ,  27.28,     0.34
Cd F O P        , 27.242,    0.337
C Cr O S        , 24.559,    0.113
Cl N S Sb       ,  26.25,    0.254
C F O Tl        , 28.206,    0.418
Cl F Sb         , 28.273,    0.423
Al Ca F O       , 26.661,    0.289
Cs F I O        , 29.022,    0.486
Ca Cl O P       , 26.179,    0.248
Cl Mn O P       , 25.656,    0.205
F Mn O P        , 26.567,    0.281
Cl Mg O P       , 26.146,    0.246
F Li Nb O       , 29.483,    0.524
Br Cl Tl        , 32.398,    0.768
As F N S        , 26.749,    0.296
Cl F K Sb       , 28.349,     0.43
F Na O Ta       , 28.847,    0.471
F Hg Ni S       ,  28.53,    0.445
C Cs N Se       , 28.386,    0.433
K O S Sb        , 25.254,    0.171
B F Mg O        , 27.893,    0.391
B Cl Cr O       , 26.591,    0.283
C Cl O Pb       , 25.379,    0.182
N O Si Sm       , 27.004,    0.317
F Nb O Se       , 28.253,    0.422
F Mg O Si       , 26.888,    0.308
Ag S Se Te      , 28.206,    0.418
B Fe I O        , 26.592,    0.283
As Cs F O       , 27.723,    0.377
Cl F O Sb       , 26.544,    0.279
Cl Cr Cs O      , 27.347,    0.346
Ag Cl N O       , 25.799,    0.217
Cl K O Ru       , 28.104,    0.409
Ag I N O        , 27.025,    0.319
F Nb O Tl       ,  29.89,    0.558
Cl Cu O Se      , 25.218,    0.168
Ba Cl O Re      , 29.955,    0.564
Ba Cl O P       , 26.019,    0.235
As F K O        , 26.457,    0.272
As F O Rb       , 29.756,    0.547
Cl Cr O Rb      , 29.406,    0.518
Ca Cl O Si      , 26.021,    0.235
F K O V         , 27.711,    0.376
Cl Fe O Pb      , 24.924,    0.144
B Cl Mg O       , 27.027,    0.319
Br Cl Cs W      , 30.609,    0.618
Br Cl Cs Mo     , 30.247,    0.588
Cl O Si Yb      , 28.435,    0.437
Ca F O P        , 27.073,    0.323
Bi Cl N S       , 26.397,    0.267
F Ge Mg O       , 28.365,    0.431
F Na O S        , 26.612,    0.284
F Nb O Rb       , 31.117,    0.661
Cs F Nb O       , 29.179,    0.499
F Nb O Sc       , 29.649,    0.538
F K O Sb        , 26.853,    0.305
F Na O Sb       , 27.497,    0.358
F O Rb Ta       , 31.347,     0.68
Cs F Mo O       , 28.492,    0.442
Ce N O Si       , 26.872,    0.306
La N O Si       , 26.308,    0.259
N O S U         , 26.855,    0.305
F Mo O Rb       , 30.474,    0.607
Ag Ge I S       , 29.375,    0.515
Ba F O P        , 26.918,     0.31
C N S Se        , 26.171,    0.248
C N Se          , 27.433,    0.353
Cl N Sb V       , 27.996,      0.4
As F O S        , 25.451,    0.188
F Li O Ta       , 29.725,    0.544
Cl O Re         , 32.868,    0.807
Cs F O V        , 28.923,    0.477
C Hg N S        , 27.327,    0.344
F O S Xe        , 29.043,    0.487
C N P S         , 25.504,    0.192
As Eu O Ta      , 30.139,    0.579
Cl I N V        ,  28.92,    0.477
C Fe O Se       , 24.619,    0.118
Cl O Sn         , 25.961,     0.23
As F I S        , 28.198,    0.417
Hg I Na O       , 29.238,    0.504
Cl Cu N S       ,  25.22,    0.168
Ce Cr O S       , 27.017,    0.318
Cr La O S       , 26.456,    0.271
Cl Fe N S       , 25.102,    0.158
B I Ni O        , 27.107,    0.326
La O Se         , 27.956,    0.397
Cl Cs O U       , 29.271,    0.507
O Rb Re S       , 32.075,    0.741
Cs F O U        , 30.073,    0.574
Br Cl Cu Rb     , 30.929,    0.645
B Mg O S        , 26.358,    0.263
F K O Xe        , 29.928,    0.561
Fe I N O        , 25.456,    0.188
Co I N O        , 26.633,    0.286
Ca Cl Cr O      , 26.567,    0.281
Cl Mo O P       , 26.011,    0.234
Cl K O Os       , 30.363,    0.598
Na O S          , 24.998,     0.15
C I O Re        , 30.057,    0.572
Cl F I Sb       , 29.188,      0.5
Ag La O S       , 26.787,    0.299
As La O S       , 25.943,    0.229
Cr F K O        ,  26.96,    0.314
F Fe O Sr       , 26.971,    0.314
F K Nb O        , 27.979,    0.399
Cl O Pb V       , 26.963,    0.314
Cl F N P        , 27.525,    0.361
Br F N P        , 28.735,    0.462
Cl O S Zr       , 25.444,    0.187
B Cl N          , 27.241,    0.337
F N P S         , 26.869,    0.306
Cu S Se Ta      , 27.769,    0.381
B Br Eu O       , 30.682,    0.624
Cl Cu Hg Se     , 28.501,    0.442
Cl O P Sn       , 25.912,    0.226
Cl Hg O         , 28.851,    0.471
Ag C N S        , 26.241,    0.254
B Ba F O        , 27.775,    0.382
F K O S         , 25.945,    0.229
Br Cl O W       , 27.735,    0.378
Cs F O P        , 27.839,    0.387
As I K O        , 26.779,    0.298
As Br K O       , 26.841,    0.304
B Br Ca O       , 28.289,    0.424
Cs F O Ta       , 29.424,    0.519
Ag C N O        , 25.332,    0.178
Br Cs O U       , 30.412,    0.602
F Fe O P        ,  25.36,     0.18
K N O Os        , 30.118,    0.577
F O P Pb        , 26.703,    0.292
Cs O P S        ,   26.3,    0.258
Cl O Pr W       ,  29.71,    0.543
Cl Cs O Os      , 31.473,     0.69
B F N S         , 27.727,    0.378
C Fe O S        , 23.205,      0.0
C N S Zn        , 25.482,     0.19
Al Cl K O       , 25.232,    0.169
Ag N O S        , 25.097,    0.158
As N O Th       , 27.627,    0.369
N O P Th        , 27.743,    0.379
F Na Nb O       , 28.597,     0.45
F O U Zr        , 29.285,    0.508
C N O S         , 23.883,    0.057
I S Sb Sn       , 28.245,    0.421
Cs F O Ti       , 27.956,    0.397
F Na O V        , 28.336,    0.428
F N O Xe        ,   29.4,    0.517
F Hg S Si       , 28.676,    0.457
C Cl O Ru       , 27.376,    0.348
C I O Ru        , 28.535,    0.445
Br P S          , 26.861,    0.305
C K N Se        ,  27.15,    0.329
C K N O         , 24.952,    0.146
Cl O P Sb       , 25.582,    0.199
Cl Nb O P       , 26.762,    0.297
Cl O P Pb       , 25.796,    0.216
As Cl O Pb      , 25.672,    0.206
Cl Co N O       , 25.388,    0.182
Cl O Sb Se      , 26.247,    0.254
As F S          , 26.356,    0.263
Br Cl Cs Hg     , 31.215,    0.669
Bi F Nb O       ,  28.04,    0.404
Bi F O Ti       , 26.765,    0.297
Cl Cs Np O      , 32.417,    0.769
Ce Ga O S       , 28.218,    0.419
K O S Se        , 25.642,    0.204
Cs Mo O S       , 26.991,    0.316
Bi F O Ta       , 28.295,    0.425
Li N O Si       , 26.873,    0.306
Li N O Ti       , 27.147,    0.329
Ge Li N O       , 28.351,     0.43
Bi Cd I O       ,  27.96,    0.397
Bi Br O Sr      , 28.541,    0.446
Bi Cl O Sr      , 27.322,    0.344
Bi Cl Li O      , 27.706,    0.376
Bi Cl Na O      , 26.762,    0.297
Bi Br Li O      , 28.909,    0.476
Bi Br Na O      , 28.005,    0.401
Bi Br Cd O      , 28.018,    0.402
Bi I Li O       , 28.852,    0.471
Bi I Na O       , 27.946,    0.396
C Hg N O        , 26.455,    0.271
As Ca Cl O      , 26.056,    0.238
Ca Cl O V       , 27.329,    0.344
Br Ca O P       , 27.448,    0.354
F N S Sb        , 27.141,    0.329
Br Cl I Sb      , 29.537,    0.529
Ca O S Si       , 25.326,    0.177
Cl Cr K O       , 26.062,    0.239
F I K O         , 27.815,    0.385
Am F K O        , 33.789,    0.884
Cl Cs Nb O      , 28.352,     0.43
C F La O        , 27.228,    0.336
K O S           , 24.287,     0.09
F Mg O P        , 27.041,     0.32
Cl N O S        , 24.378,    0.098
C N Na O        , 25.644,    0.204
Cs N O Os       , 31.237,    0.671
B F O Te        , 27.804,    0.384
Al Cl N S       , 25.539,    0.195
Ag I O P        , 27.252,    0.338
F I S Sb        ,  28.57,    0.448
F In N O        , 25.878,    0.223
C Cl O Os       , 29.691,    0.542
Cl Cu K O       , 24.909,    0.142
Cu F Hg S       , 28.147,    0.413
F Hg Mn S       , 29.138,    0.495
F Hg Ni O       , 27.696,    0.375
F Hg O Zn       , 27.974,    0.398
Ca F O Sb       , 27.343,    0.346
Cl O P Ti       , 25.423,    0.185
Cl K N Os       ,  31.46,    0.689
Bi Ca Cl O      , 26.604,    0.284
Bi Br Ca O      , 27.854,    0.388
Bi Cd Cl O      , 26.776,    0.298
C Ce F O        , 27.774,    0.382
C N O Rb        , 28.426,    0.436
C Cs N O        , 26.291,    0.258
C N O Tl        , 27.077,    0.323
Cd I S Sb       , 28.651,    0.455
Cl Mo S         , 26.273,    0.256
Cl N V          , 27.778,    0.382
Cl K N O        , 25.426,    0.185
Cl K Mo O       , 26.374,    0.265
Cl Cs F Sb      , 29.534,    0.528
Br Cr Cu Se     , 28.364,    0.431
C K N S         , 25.874,    0.223
C N S Tl        ,  27.93,    0.395
Br C O Pb       , 26.686,    0.291
Ba Bi Cl O      , 26.447,    0.271
Ba Bi Br O      , 27.704,    0.376
C Cl F Se       , 27.983,    0.399
Cl F N Re       , 31.272,    0.674
Cl N S V        , 27.128,    0.328
Br Cs Mo O      ,  28.85,    0.471
C Cd N S        , 26.556,     0.28
C N Ni S        , 25.177,    0.165
Al B F O        , 26.685,    0.291
Cl N Pt S       , 27.953,    0.396
