Phase fields,scores,Norm. score
Cl Cs O Re      ,  8.144,    0.376
C I Mo O        ,  10.75,     0.61
Bi Ce O S       ,  6.521,    0.231
Ba Cl Cu O      ,  8.164,    0.378
C Cu N S        , 13.144,    0.825
F K O Ta        ,  8.588,    0.416
Cd Cl O P       ,  6.088,    0.192
C N Pb S        , 12.014,    0.724
Cl Fe O P       ,  6.628,     0.24
F Nb O Zr       ,  8.347,    0.395
B Ca Cl O       ,  8.685,    0.425
Cu F O P        ,  9.083,    0.461
O S Tl          ,  5.592,    0.147
Cl Cu O Sr      ,  7.913,    0.356
Bi Cl In S      ,  5.478,    0.137
Cd I P S        ,   5.63,    0.151
F O Se Xe       ,  11.71,    0.696
F O Te U        ,  8.565,    0.414
As Cl Cu O      ,  7.334,    0.304
As Cl Co O      ,  6.721,    0.249
Cl Mn O         ,  6.387,    0.219
F O Se Y        ,  8.064,    0.369
C N Na S        , 12.165,    0.737
Ca Cl Cu O      ,  7.788,    0.344
Br Ca Cu O      ,  7.714,    0.338
Br C O Re       ,  11.88,    0.712
Ba Br Cu O      ,  8.093,    0.372
Cl N O Sb       ,  7.886,    0.353
B Cl Li O       ,  8.558,    0.413
Br Cu O Sr      ,   7.84,    0.349
Cd I O V        ,  6.625,     0.24
Br Cd O P       ,  5.993,    0.183
As Br Cd O      ,  5.878,    0.173
Br Cd O V       ,  6.648,    0.242
Ag Br N O       ,  9.998,    0.543
Ag I O W        ,  8.998,    0.453
F Li O S        ,  7.477,    0.317
Br Cu P S       ,  7.078,    0.281
F K O P         ,  7.459,    0.315
F O W Xe        , 12.623,    0.778
Bi Cl F O       ,  7.473,    0.316
Bi Br Cu S      ,  7.271,    0.298
Cl K O W        ,  6.869,    0.262
As Cd I         ,  5.686,    0.156
F O P Rb        ,  7.535,    0.322
Ag N O Te       , 10.074,     0.55
K N O Se        ,  8.092,    0.372
C F Hg O        , 12.204,    0.741
F O P Sn        ,  7.453,    0.314
F K O U         ,  8.692,    0.426
Bi Cl Cu S      ,   7.35,    0.305
Cl O P Sr       ,  6.009,    0.185
F Na O P        ,  7.597,    0.327
Ca O S Sb       ,  5.445,    0.134
Br K Mo O       ,  5.875,    0.173
Cl Mo Se        ,  6.287,     0.21
Ce O S          ,  7.163,    0.288
C Cl Mn O       , 10.758,    0.611
Ga La O S       ,  6.637,    0.241
N O S           ,    7.9,    0.354
Cs F O Sb       ,  7.548,    0.323
F O Rb Sb       ,  7.262,    0.297
Ag O S Si       ,  7.898,    0.354
Ca Cl O W       ,  7.282,    0.299
Cd F O P        ,  8.025,    0.366
C Cr O S        , 11.059,    0.638
Cl N S Sb       ,  7.634,    0.331
C F O Tl        , 11.977,     0.72
Cl F Sb         ,  6.666,    0.244
Al Ca F O       ,  8.173,    0.379
Cs F I O        ,  7.527,    0.321
Ca Cl O P       ,  5.844,     0.17
Cl Mn O P       ,  5.892,    0.174
F Mn O P        ,  7.877,    0.352
Cl Mg O P       ,  5.248,    0.116
F Li Nb O       ,  8.082,    0.371
Br Cl Tl        ,  6.077,    0.191
As F N S        ,  9.397,    0.489
Cl F K Sb       ,  6.938,    0.268
F Na O Ta       ,  8.708,    0.427
F Hg Ni S       ,  9.229,    0.474
C Cs N Se       , 12.302,     0.75
K O S Sb        ,  4.879,    0.083
B F Mg O        ,  9.806,    0.526
B Cl Cr O       ,  9.112,    0.463
C Cl O Pb       ,  10.38,    0.577
N O Si Sm       ,  9.094,    0.462
F Nb O Se       ,  7.661,    0.333
F Mg O Si       ,   7.36,    0.306
Ag S Se Te      ,  7.528,    0.321
B Fe I O        ,  9.152,    0.467
As Cs F O       ,  7.724,    0.339
Cl F O Sb       ,  7.002,    0.274
Cl Cr Cs O      ,   6.84,    0.259
Ag Cl N O       , 10.056,    0.548
Cl K O Ru       ,  7.548,    0.323
Ag I N O        ,  9.983,    0.541
F Nb O Tl       ,  8.274,    0.388
Cl Cu O Se      ,  7.199,    0.292
Ba Cl O Re      ,  8.531,    0.411
Ba Cl O P       ,  6.336,    0.214
As F K O        ,  7.367,    0.307
As F O Rb       ,  7.444,    0.313
Cl Cr O Rb      ,  6.522,    0.231
Ca Cl O Si      ,  5.783,    0.164
F K O V         ,  7.995,    0.363
Cl Fe O Pb      ,  6.482,    0.227
B Cl Mg O       ,  8.296,     0.39
Br Cl Cs W      ,  6.926,    0.267
Br Cl Cs Mo     ,  6.038,    0.187
Cl O Si Yb      ,  6.326,    0.213
Ca F O P        ,  7.841,    0.349
Bi Cl N S       ,  8.069,     0.37
F Ge Mg O       ,   7.19,    0.291
F Na O S        ,  7.372,    0.307
F Nb O Rb       ,  7.925,    0.357
Cs F Nb O       ,  8.189,     0.38
F Nb O Sc       ,  8.516,     0.41
F K O Sb        ,  7.183,     0.29
F Na O Sb       ,  7.326,    0.303
F O Rb Ta       ,  8.654,    0.422
Cs F Mo O       ,   8.27,    0.388
Ce N O Si       ,  8.945,    0.448
La N O Si       ,  9.227,    0.474
N O S U         ,  9.258,    0.476
F Mo O Rb       ,  8.009,    0.364
Ag Ge I S       ,  7.415,    0.311
Ba F O P        ,  8.215,    0.383
C N S Se        , 11.955,    0.719
C N Se          , 11.957,    0.719
Cl N Sb V       ,  8.363,    0.396
As F O S        ,  7.159,    0.288
F Li O Ta       ,  8.797,    0.435
Cl O Re         ,  9.691,    0.515
Cs F O V        ,  8.325,    0.393
C Hg N S        , 12.578,    0.774
F O S Xe        , 11.708,    0.696
C N P S         , 12.094,    0.731
As Eu O Ta      ,  7.803,    0.346
Cl I N V        ,  8.343,    0.394
C Fe O Se       ,  11.16,    0.647
Cl O Sn         ,   5.03,    0.097
As F I S        ,  6.807,    0.256
Hg I Na O       ,  6.392,    0.219
Cl Cu N S       ,  9.425,    0.491
Ce Cr O S       ,   7.27,    0.298
Cr La O S       ,  7.615,    0.329
Cl Fe N S       ,   8.81,    0.436
B I Ni O        ,  9.467,    0.495
La O Se         ,   6.45,    0.224
Cl Cs O U       ,  7.322,    0.303
O Rb Re S       ,   7.85,     0.35
Cs F O U        ,  8.997,    0.453
Br Cl Cu Rb     ,  7.166,    0.289
B Mg O S        ,  8.269,    0.388
F K O Xe        , 11.837,    0.708
Fe I N O        ,  8.948,    0.448
Co I N O        ,  9.092,    0.461
Ca Cl Cr O      ,  6.874,    0.262
Cl Mo O P       ,  6.002,    0.184
Cl K O Os       ,  8.556,    0.413
Na O S          ,  5.154,    0.108
C I O Re        , 11.867,    0.711
Cl F I Sb       ,  6.641,    0.241
Ag La O S       ,  8.932,    0.447
As La O S       ,  6.597,    0.237
Cr F K O        ,  8.291,     0.39
F Fe O Sr       ,  8.873,    0.442
F K Nb O        ,  7.853,     0.35
Cl O Pb V       ,  5.917,    0.176
Cl F N P        ,  9.493,    0.497
Br F N P        ,  9.432,    0.492
Cl O S Zr       ,  5.739,     0.16
B Cl N          , 12.024,    0.725
F N P S         ,  9.469,    0.495
Cu S Se Ta      ,  8.303,    0.391
B Br Eu O       ,   9.02,    0.455
Cl Cu Hg Se     ,  7.952,    0.359
Cl O P Sn       ,  5.312,    0.122
Cl Hg O         ,  7.248,    0.296
Ag C N S        , 13.459,    0.854
B Ba F O        , 10.429,    0.581
F K O S         ,   7.23,    0.294
Br Cl O W       ,  6.593,    0.237
Cs F O P        ,  7.812,    0.347
As I K O        ,  5.047,    0.098
As Br K O       ,  5.078,    0.101
B Br Ca O       ,  8.619,    0.419
Cs F O Ta       ,  8.896,    0.444
Ag C N O        , 13.603,    0.866
Br Cs O U       ,  7.243,    0.295
F Fe O P        ,  8.442,    0.403
K N O Os        , 10.663,    0.603
F O P Pb        ,  7.353,    0.305
Cs O P S        ,  5.765,    0.163
Cl O Pr W       ,  7.891,    0.354
Cl Cs O Os      ,  8.865,    0.441
B F N S         , 11.443,    0.673
C Fe O S        , 11.158,    0.647
C N S Zn        , 12.544,    0.771
Al Cl K O       ,  5.798,    0.166
Ag N O S        , 10.033,    0.546
As N O Th       , 10.016,    0.544
N O P Th        , 10.084,    0.551
F Na Nb O       ,  7.984,    0.362
F O U Zr        ,  9.141,    0.466
C N O S         , 12.116,    0.733
I S Sb Sn       ,  4.335,    0.034
Cs F O Ti       ,   8.38,    0.397
F Na O V        ,  8.124,    0.375
F N O Xe        , 13.343,    0.843
F Hg S Si       ,  7.957,     0.36
C Cl O Ru       , 11.761,    0.701
C I O Ru        , 11.699,    0.695
Br P S          ,  4.497,    0.049
C K N Se        , 12.081,     0.73
C K N O         ,  12.24,    0.744
Cl O P Sb       ,   4.96,    0.091
Cl Nb O P       ,  5.889,    0.174
Cl O P Pb       ,   5.17,    0.109
As Cl O Pb      ,  5.036,    0.097
Cl Co N O       ,  9.172,    0.469
Cl O Sb Se      ,  4.613,    0.059
As F S          ,  6.881,    0.263
Br Cl Cs Hg     ,  6.405,     0.22
Bi F Nb O       ,  8.049,    0.368
Bi F O Ti       ,  8.243,    0.385
Cl Cs Np O      ,  7.485,    0.317
Ce Ga O S       ,  6.238,    0.205
K O S Se        ,  4.952,     0.09
Cs Mo O S       ,  6.373,    0.217
Bi F O Ta       ,  8.767,    0.432
Li N O Si       ,   8.47,    0.406
Li N O Ti       ,  9.035,    0.456
Ge Li N O       ,  8.323,    0.392
Bi Cd I O       ,  6.195,    0.201
Bi Br O Sr      ,  6.143,    0.197
Bi Cl O Sr      ,  6.236,    0.205
Bi Cl Li O      ,  5.892,    0.174
Bi Cl Na O      ,  5.758,    0.162
Bi Br Li O      ,  5.794,    0.165
Bi Br Na O      ,  5.657,    0.153
Bi Br Cd O      ,   6.22,    0.204
Bi I Li O       ,  5.767,    0.163
Bi I Na O       ,   5.63,    0.151
C Hg N O        , 12.732,    0.788
As Ca Cl O      ,  5.726,    0.159
Ca Cl O V       ,  6.514,     0.23
Br Ca O P       ,  5.744,    0.161
F N S Sb        ,  9.253,    0.476
Br Cl I Sb      ,  3.952,      0.0
Ca O S Si       ,  5.744,    0.161
Cl Cr K O       ,  6.434,    0.223
F I K O         ,   7.16,    0.288
Cl Cs Nb O      ,  6.303,    0.211
C F La O        , 12.397,    0.758
K O S           ,  4.948,    0.089
F Mg O P        ,  7.408,     0.31
Cl N O S        ,  7.929,    0.357
C N Na O        , 12.325,    0.752
Cs N O Os       , 10.913,    0.625
B F O Te        ,  9.733,    0.519
Al Cl N S       ,  8.225,    0.384
Ag I O P        ,  7.879,    0.353
F I S Sb        ,  6.607,    0.238
F In N O        ,  9.801,    0.525
C Cl O Os       , 12.432,    0.761
Cl Cu K O       ,  7.404,     0.31
Cu F Hg S       ,  9.515,    0.499
F Hg Mn S       ,  8.372,    0.397
F Hg Ni O       ,  9.438,    0.493
F Hg O Zn       ,   8.89,    0.443
Ca F O Sb       ,  7.579,    0.326
Cl O P Ti       ,  6.152,    0.197
