Phase fields,scores,Norm. score
Cl Cs O Re      , 27.591,    0.346
C I Mo O        , 27.748,    0.387
Bi Ce O S       , 27.796,      0.4
Ba Cl Cu O      , 27.561,    0.338
C Cu N S        , 29.052,    0.727
F K O Ta        ,  28.21,    0.508
Cd Cl O P       , 27.444,    0.308
C N Pb S        , 29.248,    0.778
Cl Fe O P       ,  27.37,    0.288
F Nb O Zr       , 27.935,    0.436
B Ca Cl O       , 27.591,    0.346
Cu F O P        , 27.381,    0.291
O S Tl          , 27.603,    0.349
Cl Cu O Sr      , 27.277,    0.264
Bi Cl In S      , 28.803,    0.662
Cd I P S        , 29.005,    0.715
F O Se Xe       ,  27.25,    0.257
F O Te U        , 27.287,    0.267
As Cl Cu O      , 27.178,    0.238
As Cl Co O      , 27.666,    0.366
Cl Mn O         , 28.019,    0.458
F O Se Y        , 27.447,    0.308
C N Na S        , 29.496,    0.843
Ca Cl Cu O      ,  27.67,    0.367
Br Ca Cu O      , 28.237,    0.515
Br C O Re       , 28.105,     0.48
Ba Br Cu O      ,  28.13,    0.487
Cl N O Sb       , 27.461,    0.312
B Cl Li O       , 27.728,    0.382
Br Cu O Sr      , 27.852,    0.414
Cd I O V        , 28.064,     0.47
Br Cd O P       , 28.016,    0.457
As Br Cd O      , 27.843,    0.412
Br Cd O V       ,  28.31,    0.534
Ag Br N O       , 27.757,    0.389
Ag I O W        , 28.004,    0.454
F Li O S        , 27.419,    0.301
Br Cu P S       ,  29.16,    0.756
F K O P         , 27.679,    0.369
F O W Xe        , 27.848,    0.413
Bi Cl F O       , 26.608,     0.09
Bi Br Cu S      , 29.126,    0.747
Cl K O W        , 27.888,    0.424
As Cd I         , 29.019,    0.719
F O P Rb        , 27.525,    0.329
Ag N O Te       , 27.798,      0.4
K N O Se        , 27.699,    0.374
C F Hg O        , 27.409,    0.299
F O P Sn        , 27.616,    0.353
F K O U         ,  27.69,    0.372
Bi Cl Cu S      , 28.576,    0.603
Cl O P Sr       , 27.227,    0.251
F Na O P        , 27.852,    0.414
Ca O S Sb       , 28.335,     0.54
Br K Mo O       , 28.282,    0.526
Cl Mo Se        , 28.688,    0.632
Ce O S          , 28.048,    0.465
C Cl Mn O       , 27.719,     0.38
Ga Ge La O S    , 27.928,    0.434
N O S           , 26.977,    0.186
Cs F O Sb       , 27.859,    0.416
F O Rb Sb       , 27.941,    0.437
Ag O S Si       , 27.832,    0.409
Ca Cl O W       , 27.856,    0.415
Cd F O P        ,  27.47,    0.314
C Cr O S        , 27.709,    0.377
Cl N S Sb       , 28.712,    0.639
C F O Tl        , 27.741,    0.385
Cl F Sb         , 29.096,    0.739
Al Ca F O       , 28.084,    0.475
Cs F I O        ,  27.09,    0.215
Ca Cl O P       , 27.621,    0.354
Cl Mn O P       , 27.665,    0.365
F Mn O P        ,  27.69,    0.372
Cl Mg O P       , 27.431,    0.304
F Li Nb O       , 27.797,      0.4
Br Cl Tl        , 29.493,    0.842
As F N S        ,  28.16,    0.495
Cl F K Sb       , 29.027,    0.721
F Na O Ta       , 28.381,    0.552
F Hg Ni S       , 28.936,    0.697
C Cs N Se       , 29.113,    0.743
K O S Sb        , 28.367,    0.549
B F Mg O        , 27.426,    0.303
B Cl Cr O       , 27.317,    0.275
C Cl O Pb       , 27.618,    0.353
N O Si Sm       , 27.978,    0.447
F Nb O Se       , 26.978,    0.186
F Mg O Si       , 27.537,    0.332
Ag S Se Te      , 28.942,    0.699
B Fe I O        , 27.664,    0.365
As Cs F O       , 27.265,    0.261
Cl F O Sb       , 27.075,    0.212
Cl Cr Cs O      , 27.458,    0.311
Ag Cl N O       , 27.179,    0.239
Cl K O Ru       , 27.816,    0.405
Ag I N O        , 27.506,    0.324
F Nb O Tl       ,   27.7,    0.375
Cl Cu O Se      , 26.989,    0.189
Ba Cl O Re      , 27.685,    0.371
Ba Cl O P       , 27.511,    0.325
As F K O        , 27.503,    0.323
As F O Rb       , 27.348,    0.283
Cl Cr O Rb      , 27.541,    0.333
Ca Cl O Si      , 27.701,    0.375
F K O V         , 27.976,    0.447
Cl Fe O Pb      , 27.627,    0.356
B Cl Mg O       ,   27.4,    0.296
Br Cl Cs W      ,  29.15,    0.753
Br Cl Cs Mo     , 28.986,     0.71
Cl O Si Yb      , 27.722,     0.38
Ca F O P        , 27.646,    0.361
Bi Cl N S       , 28.272,    0.524
F Ga Ge Mg O    , 55.136,     0.68
F Na O S        , 27.488,    0.319
F Nb O Rb       , 27.538,    0.332
Cs F Nb O       , 27.455,    0.311
F Nb O Sc       , 28.106,     0.48
F K O Sb        , 28.093,    0.477
F Na O Sb       , 28.264,    0.522
F O Rb Ta       , 28.059,    0.468
Cs F Mo O       , 27.504,    0.324
Ce N O Si       ,  28.01,    0.456
La N O Si       , 27.996,    0.452
N O S U         , 27.359,    0.286
F Mo O Rb       , 27.587,    0.345
Ag Ga Ge I S    , 29.114,    0.743
Ba F O P        , 27.537,    0.332
C N S Se        ,  28.66,    0.625
C N Se          , 28.664,    0.626
Cl N Sb V       , 29.343,    0.803
As F O S        ,  26.78,    0.135
F Li O Ta       , 28.313,    0.535
Cl O Re         , 27.655,    0.363
Cs F O V        , 27.741,    0.385
C Hg N S        , 29.027,    0.721
F O S Xe        , 27.246,    0.256
C N P S         , 29.005,    0.715
As Eu O Ta      , 28.746,    0.648
Cl I N V        , 28.615,    0.613
C Fe O Se       , 27.735,    0.384
Cl O Sn         , 26.911,    0.169
As F I S        , 28.079,    0.473
Hg I Na O       , 28.168,    0.497
Cl Cu N S       , 28.355,    0.545
Ce Cr O S       , 27.872,     0.42
Cr La O S       , 27.858,    0.416
Cl Fe N S       , 28.369,    0.549
B I Ni O        , 27.939,    0.437
La O Se         , 27.461,    0.312
Cl Cs O U       , 27.427,    0.303
O Rb Re S       , 27.976,    0.447
Cs F O U        , 27.453,     0.31
Br Cl Cu Rb     , 29.052,    0.727
B Mg O S        , 27.706,    0.376
F K O Xe        , 27.957,    0.442
Fe I N O        ,  27.43,    0.304
Co I N O        , 27.899,    0.426
Ca Cl Cr O      , 27.662,    0.365
Cl Mo O P       , 27.369,    0.288
Cl K O Os       , 28.081,    0.474
Na O S          , 27.768,    0.392
C I O Re        , 27.858,    0.416
Cl F I Sb       ,  28.36,    0.547
Ag La O S       , 27.955,    0.441
As La O S       , 27.643,     0.36
Cr F K O        ,  27.72,     0.38
F Fe O Sr       , 27.317,    0.275
F K Nb O        , 27.692,    0.372
Cl O Pb V       , 27.862,    0.417
Cl F N P        , 28.032,    0.461
Br F N P        , 28.592,    0.607
Cl O S Zr       , 27.533,    0.331
B Cl N          , 28.375,    0.551
F N P S         , 28.331,    0.539
Cu S Se Ta      , 29.418,    0.823
B Br Eu O       , 28.272,    0.524
Cl Cu Hg Se     , 28.637,    0.619
Cl O P Sn       ,  27.59,    0.346
