phase fields,pareto front,leaf,mat2vec
Cl K Li Mg      ,1,0.0,0.713
K Li Mg S       ,1,0.044,0.505
K Li Mg N       ,1,0.068,0.552
Cl Li Mg Sn     ,1,0.071,0.705
Cl K Mg Sn      ,1,0.084,0.562
K Li Mg O       ,1,0.09,0.338
Li Mg S Sn      ,1,0.114,0.497
K Mg S Sn       ,1,0.126,0.346
Li Mg N Sn      ,1,0.137,0.544
K Mg N Sn       ,1,0.149,0.396
Al Cl Li Mg     ,1,0.15,0.563
Cl K Mg Ta      ,1,0.15,0.695
Al Cl K Mg      ,1,0.162,0.415
Cl Li Mg Zn     ,1,0.169,0.606
Cl K Mg Zn      ,1,0.18,0.459
F K Mg Sn       ,1,0.18,0.659
Li Mg S Ta      ,1,0.18,0.632
Al Li Mg S      ,1,0.192,0.347
K Mg S Ta       ,1,0.192,0.487
Li Mg N Ta      ,1,0.203,0.678
Al K Mg S       ,1,0.204,0.191
Li Mg S Zn      ,1,0.21,0.393
Ba Cl Li Mg     ,1,0.211,0.681
Al Li Mg N      ,1,0.214,0.396
K Mg N Ta       ,1,0.214,0.534
Cl Mg Sn Ta     ,1,0.217,0.688
Al Br K Mg      ,1,0.219,0.598
K Mg S Zn       ,1,0.222,0.238
Ba Cl K Mg      ,1,0.223,0.537
Li Mg O Ta      ,1,0.224,0.471
Al K Mg N       ,1,0.226,0.242
Al Cl Mg Sn     ,1,0.229,0.406
Li Mg N Zn      ,1,0.232,0.441
Al Li Mg O      ,1,0.235,0.173
K Mg O Ta       ,1,0.235,0.319
Br K Mg Zn      ,1,0.237,0.64
K Mg N Zn       ,1,0.244,0.289
Cl K Mg Sr      ,1,0.245,0.642
Cl Mg Sn Zn     ,1,0.247,0.451
Ba Li Mg S      ,1,0.252,0.471
Li Mg O Zn      ,1,0.253,0.221
Al F K Mg       ,1,0.255,0.515
Mg S Sn Ta      ,1,0.258,0.479
F Li Mg Zn      ,1,0.262,0.701
Ba K Mg S       ,1,0.263,0.32
K Mg O Zn       ,1,0.264,0.059
Al Mg S Sn      ,1,0.269,0.182
F K Mg Zn       ,1,0.273,0.559
Ba Li Mg N      ,1,0.274,0.519
Li Mg S Sr      ,1,0.274,0.578
I K Mg Sn       ,1,0.276,0.617
Mg N Sn Ta      ,1,0.28,0.526
Al Br Mg Sn     ,1,0.285,0.59
Ba K Mg N       ,1,0.285,0.37
K Mg S Sr       ,1,0.286,0.431
Mg S Sn Zn      ,1,0.287,0.229
Ba Cl Mg Sn     ,1,0.288,0.529
Al Mg N Sn      ,1,0.291,0.233
Al Cl Mg Ta     ,1,0.292,0.545
Ba Li Mg O      ,1,0.294,0.303
