phase fields,pareto front,magpie37,random200,megnet16,leaf36,mat2vec
Mg S Si Zn      ,1,7.906,29.348,5.817,12.019,25.634
Al Mg S Si      ,1,7.948,29.255,5.454,11.955,25.298
Mg O Si Sn      ,1,8.781,27.687,5.449,11.839,25.168
Al Mg S Zn      ,2,7.994,29.576,6.272,11.025,25.225
Mg O Sn Zn      ,2,8.823,28.026,6.267,10.899,25.095
Al Mg O Sn      ,2,8.86,27.928,5.932,10.829,24.752
K Mg O Zn       ,2,11.684,27.881,6.268,10.638,25.158
Mg P S Si       ,3,8.069,28.884,5.148,12.956,26.26
Mg P S Zn       ,4,8.115,29.209,6.008,12.103,26.19
Al Mg P S       ,4,8.155,29.115,5.657,12.04,25.861
Mg O P Sn       ,4,8.969,27.54,5.652,11.925,25.734
Ca Mg O Sn      ,4,9.372,27.79,5.991,11.688,25.879
Ca K Mg O       ,4,12.104,27.644,5.992,11.445,25.94
Cl Mg Si Zn     ,5,8.169,29.566,5.801,11.873,27.206
Mg S Si Sn      ,5,8.176,29.147,5.011,11.684,26.404
Al Cl Mg Si     ,5,8.209,29.473,5.437,11.809,26.889
Al Mg S Sn      ,5,8.261,29.376,5.532,10.658,26.008
Mg P S Sn       ,5,8.378,29.007,5.231,11.77,26.945
Mg S Sn Zr      ,5,8.611,29.508,5.624,11.335,26.903
Ca Mg S Sn      ,5,8.808,29.245,5.595,11.53,27.082
Al Li Mg S      ,5,9.251,29.488,5.787,10.344,27.149
K Mg S Si       ,5,11.204,29.008,5.011,11.441,26.464
Al K Mg S       ,5,11.266,29.238,5.532,10.392,26.069
K Mg P S        ,5,11.352,28.867,5.231,11.529,27.003
K Mg S Sn       ,5,11.428,29.13,5.096,10.078,27.144
K Mg S Zr       ,5,11.524,29.371,5.625,11.085,26.962
Ca K Mg S       ,5,11.673,29.106,5.596,11.284,27.141
K Li Mg O       ,5,12.578,27.788,5.783,9.931,27.087
Mg S Sn Zn      ,6,8.221,29.469,5.89,10.729,26.335
Br Mg Si Zn     ,7,8.224,29.672,5.626,12.073,28.487
Al Br Mg Si     ,7,8.264,29.58,5.25,12.01,28.185
Cl Mg Si Sn     ,7,8.431,29.366,4.992,11.534,27.933
Al Cl Mg Sn     ,7,8.513,29.594,5.515,10.494,27.559
Cl Mg P Sn      ,7,8.626,29.227,5.212,11.622,28.444
I Mg Sn Zn      ,7,8.709,29.537,5.618,11.302,28.259
Al I Mg Sn      ,7,8.746,29.445,5.242,11.235,27.954
