Phase fields,scores,Norm. score
Co Mn O Si      , 13.344,    0.372
Li Nd O P       , 10.746,    0.209
As Ca Ga        , 10.303,    0.181
Fe O Yb         , 12.972,    0.349
Cl Cs O Re      , 14.376,    0.437
C I Mo O        , 15.708,    0.521
Bi Fe Mo O      ,  14.56,    0.449
Ba Mn O Sr      , 12.087,    0.293
Be F Li Rb      , 11.789,    0.275
Bi Ce O S       , 11.314,    0.245
Ge O Rb Ti      , 11.175,    0.236
Ba Cl Cu O      ,  11.81,    0.276
C Cu N S        , 13.731,    0.396
F K O Ta        ,   10.0,    0.162
B Er O Sr       ,   11.3,    0.244
Cd Cl O P       , 11.459,    0.254
C N Pb S        , 12.434,    0.315
Ga O Si Sr      , 11.586,    0.262
Ba Ga O Si      , 11.503,    0.257
Bi Cu Pb S      , 11.443,    0.253
Cu Na O Si      , 12.107,    0.295
Cl Fe O P       , 12.608,    0.326
Ba Mn O W       , 18.916,    0.722
F Nb O Zr       ,  12.09,    0.293
Cr Cs F Na      , 12.437,    0.315
Cs F Fe Na      , 10.739,    0.209
Cs F Ga Li      ,  9.127,    0.108
Cu Se           , 13.319,    0.371
Ba Fe S         , 24.447,    0.604
Al Co K O       , 10.501,    0.194
O P Si V        ,  12.39,    0.312
Mn Nb O Ta      , 12.297,    0.306
Ga O Ti         , 12.444,    0.316
B Ca Cl O       , 11.927,    0.283
Cu S Sn Sr      , 11.282,    0.243
Ga Ge O Sr      , 11.014,    0.226
Ba Ga Ge O      , 10.926,     0.22
Ba O Ta Zn      , 10.332,    0.183
Ca Nd O Ti      , 12.173,    0.299
Cu F O P        ,  12.93,    0.346
C Na O Sn       , 11.852,    0.279
B Nb O Rb       , 11.209,    0.238
O S Tl          , 10.316,    0.182
Na Nd O P       , 11.037,    0.227
Cl Cu O Sr      , 11.891,    0.281
Na O P Zr       , 11.587,    0.262
Bi Cl In S      , 10.216,    0.176
Er Na O V       , 10.038,    0.165
Cd I P S        , 11.989,    0.287
Cu Mn O         , 27.873,    0.819
Cu Mg Mn O      ,  13.63,     0.39
Hg Li O P       , 11.781,    0.274
Cd Li O P       , 10.689,    0.206
Al Cs F Na      ,  9.298,    0.118
Al Ca O Si      , 11.973,    0.286
Cd K O V        ,   9.74,    0.146
Be O Rb Si      , 13.197,    0.363
K O P Pb        , 10.456,    0.191
La Na O V       , 10.831,    0.214
F O Se Xe       , 13.958,    0.411
F O Te U        , 16.744,    0.586
As Cl Cu O      , 11.455,    0.254
As Cl Co O      , 11.099,    0.231
Cl Mn O         , 13.071,    0.355
Eu S Sn         , 19.074,    0.267
Na O Si Zn      , 10.902,    0.219
Cr F Mn Na      , 14.008,    0.414
F O Se Y        , 12.473,    0.318
C N Na S        , 12.354,     0.31
B K Nb O        , 11.185,    0.237
Ba Eu Nb O      , 11.043,    0.228
Ba Eu O Ta      , 10.135,    0.171
As F S Te       , 10.579,    0.199
F Sb Se Te      , 11.452,    0.253
As F Se Te      , 10.904,    0.219
Ga Ge K O       , 10.111,    0.169
Ca Cl Cu O      , 12.398,    0.313
Br Ca Cu O      , 12.589,    0.325
F In Li Mn      , 10.753,     0.21
Br C O Re       , 16.511,    0.571
Ca O Si Sn      , 11.702,    0.269
Ba Br Cu O      , 12.011,    0.289
Li Mo Ni O      , 13.538,    0.384
Cd Li O Si      , 10.593,      0.2
Nd O P Rb       , 10.817,    0.214
Cl N O Sb       , 11.119,    0.233
Li O P Pb       , 10.408,    0.188
B Cl Li O       , 10.483,    0.193
Al Ca Fe O      ,  12.22,    0.302
Ba Ni O Sb      , 11.723,     0.27
Br Cu O Sr      , 12.091,    0.294
Ga Gd O Sr      , 10.559,    0.197
B C F K         , 12.651,    0.329
Cd Cs O P       , 10.889,    0.218
Cd I O V        , 11.271,    0.242
Br Cd O P       , 11.666,    0.267
As Br Cd O      , 10.392,    0.187
Br Cd O V       , 10.757,     0.21
Al Ba Ge O      , 10.779,    0.211
Ca Cu Ge O      , 12.635,    0.328
Ag Br N O       , 10.207,    0.175
Ba Bi O         , 11.141,    0.234
Ca In O Sr      , 11.019,    0.226
Ca Cu O Ti      , 13.227,    0.365
Cu O Ta Ti      , 12.435,    0.315
Ba O Ti         , 12.521,    0.321
Ag I O W        , 18.023,    0.666
F Li O S        , 10.368,    0.185
Br Cu P S       , 12.666,     0.33
Fe Na O Ti      , 12.189,      0.3
Ba Bi O Sb      , 11.147,    0.234
K O Sb          , 10.356,    0.185
P S Zn          ,   12.2,      0.3
Be C K O        , 14.254,    0.429
Nb O Rb Ti      , 11.538,    0.259
O Rb Ta Ti      , 10.673,    0.205
Cs Nb O Ti      , 11.658,    0.266
Cs O Ta Ti      , 10.802,    0.213
Ca Mg O P       ,  12.96,    0.348
Ba Fe O U       , 17.225,    0.616
Nb O Rb W       , 18.073,    0.669
F Fe Na Ni      ,  12.09,    0.294
K Mo O Re       , 16.504,    0.571
Co Mg O Si      , 12.953,    0.348
Mg Mn O Si      , 13.396,    0.375
Na O Si Ti      , 11.942,    0.284
Br Sm           ,  9.537,    0.133
O Pb Ti Zr      , 11.687,    0.268
Na O S Tl       ,  9.604,    0.137
