Phase fields,scores,Norm. scores
Co Mn O Si      , 10.806,     0.29
Li Nd O P       , 11.471,    0.339
As Ca Ga        ,  7.623,    0.052
Fe O Yb         , 15.144,    0.614
Cl Cs O Re      , 15.764,     0.66
C I Mo O        , 12.155,     0.39
Bi Fe Mo O      , 13.723,    0.507
Ba Mn O Sr      , 12.139,    0.389
Be F Li Rb      , 14.512,    0.566
Bi Ce O S       , 13.907,    0.521
Ge O Rb Ti      , 12.868,    0.444
Ba Cl Cu O      , 11.486,     0.34
C Cu N S        , 12.881,    0.445
F K O Ta        , 14.248,    0.547
B Er O Sr       , 11.357,    0.331
Cd Cl O P       ,  9.285,    0.176
C N Pb S        , 13.753,     0.51
Ga O Si Sr      ,  9.834,    0.217
Ba Ga O Si      , 10.701,    0.282
Bi Cu Pb S      , 11.414,    0.335
Cu Na O Si      , 10.003,     0.23
Cl Fe O P       , 12.376,    0.407
Ba Mn O W       , 12.721,    0.433
F Nb O Zr       , 11.264,    0.324
Cr Cs F Na      , 15.894,     0.67
Cs F Fe Na      , 17.436,    0.785
Cs F Ga Li      ,  15.45,    0.636
Cu Se           ,  8.155,    0.092
Ba Fe S         , 28.723,     1.11
Al Co K O       , 13.179,    0.467
O P Si V        ,  9.086,    0.161
Mn Nb O Ta      ,  11.44,    0.337
Ga O Ti         ,   9.15,    0.166
B Ca Cl O       , 10.539,     0.27
Cu S Sn Sr      ,  9.905,    0.223
Ga Ge O Sr      ,  9.633,    0.202
Ba Ga Ge O      , 10.517,    0.268
Ba O Ta Zn      , 12.262,    0.398
Ca Nd O Ti      , 11.055,    0.308
Cu F O P        ,  10.68,     0.28
C Na O Sn       , 11.907,    0.372
B Nb O Rb       , 13.993,    0.528
O S Tl          , 10.828,    0.291
Na Nd O P       , 11.413,    0.335
Cl Cu O Sr      , 10.682,    0.281
Na O P Zr       , 10.218,    0.246
Bi Cl In S      , 10.409,     0.26
Er Na O V       , 10.746,    0.285
Cd I P S        ,  8.943,    0.151
Cu Mn O         , 19.438,    0.417
Cu Mg Mn O      ,  9.303,    0.178
Hg Li O P       , 11.231,    0.321
Cd Li O P       ,  9.889,    0.221
Al Cs F Na      , 15.462,    0.637
Al Ca O Si      ,  9.209,    0.171
Cd K O V        ,  11.93,    0.374
Be O Rb Si      , 13.162,    0.466
K O P Pb        , 13.011,    0.454
La Na O V       ,  11.09,    0.311
F O Se Xe       , 16.056,    0.682
F O Te U        , 14.355,    0.555
As Cl Cu O      ,  9.258,    0.174
As Cl Co O      , 10.737,    0.285
Cl Mn O         ,  9.999,     0.23
Eu S Sn         , 20.894,    0.526
Na O Si Zn      ,  9.722,    0.209
Cr F Mn Na      , 11.483,     0.34
F O Se Y        , 10.892,    0.296
C N Na S        , 13.444,    0.487
B K Nb O        , 12.977,    0.452
Ba Eu Nb O      , 12.476,    0.414
Ba Eu O Ta      , 13.241,    0.471
As F S Te       ,  9.726,    0.209
F Sb Se Te      ,  9.573,    0.198
As F Se Te      ,  9.329,     0.18
Ga Ge K O       , 11.499,    0.341
Ca Cl Cu O      , 10.026,    0.232
Br Ca Cu O      , 10.071,    0.235
F In Li Mn      , 11.013,    0.305
Br C O Re       ,  12.78,    0.437
Ca O Si Sn      ,  9.407,    0.185
Ba Br Cu O      , 11.525,    0.343
Li Mo Ni O      , 10.561,    0.271
Cd Li O Si      ,  9.719,    0.209
Nd O P Rb       , 14.153,     0.54
Cl N O Sb       , 11.761,    0.361
Li O P Pb       , 11.312,    0.328
B Cl Li O       , 11.079,     0.31
Al Ca Fe O      , 12.293,    0.401
Ba Ni O Sb      ,   10.7,    0.282
Br Cu O Sr      , 10.725,    0.284
Ga Gd O Sr      , 11.683,    0.355
B C F K         , 14.529,    0.568
Cd Cs O P       , 14.296,     0.55
Cd I O V        ,  9.666,    0.205
Br Cd O P       ,  9.333,     0.18
As Br Cd O      ,  8.927,     0.15
Br Cd O V       ,  9.503,    0.193
Al Ba Ge O      , 10.596,    0.274
Ca Cu Ge O      ,  9.262,    0.175
Ag Br N O       , 11.984,    0.378
Ba Bi O         , 13.376,    0.482
Ca In O Sr      , 10.525,    0.269
Ca Cu O Ti      ,  9.765,    0.212
Cu O Ta Ti      , 10.929,    0.299
Ba O Ti         , 11.231,    0.322
Ag I O W        , 11.456,    0.338
F Li O S        , 11.553,    0.346
Br Cu P S       ,  9.154,    0.166
Fe Na O Ti      , 12.875,    0.444
Ba Bi O Sb      ,  12.14,    0.389
K O Sb          , 11.725,    0.358
P S Zn          ,  8.357,    0.107
Be C K O        , 13.739,    0.509
Nb O Rb Ti      , 13.588,    0.497
O Rb Ta Ti      , 14.294,     0.55
Cs Nb O Ti      , 14.916,    0.597
Cs O Ta Ti      , 15.562,    0.645
Ca Mg O P       ,  9.278,    0.176
Ba Fe O U       , 16.682,    0.728
Nb O Rb W       , 14.757,    0.585
F Fe Na Ni      , 13.197,    0.468
K Mo O Re       , 13.773,    0.511
Co Mg O Si      , 10.387,    0.258
Mg Mn O Si      ,  8.959,    0.152
Na O Si Ti      ,  9.972,    0.228
Br Sm           , 11.759,    0.361
O Pb Ti Zr      , 10.731,    0.284
Na O S Tl       , 11.478,     0.34
F K O P         , 13.097,    0.461
F Fe Mn Na      , 13.537,    0.494
F Mn Na V       , 11.112,    0.313
K O Te          , 12.057,    0.383
Ba Fe O Sr      , 14.333,    0.553
F O W Xe        , 17.248,    0.771
Mg O Si Zn      ,   8.53,     0.12
Bi Cl F O       , 12.138,    0.389
Ba Cu O P       , 11.155,    0.316
Al Ca Na O      , 10.291,    0.251
Eu Fe O Yb      , 13.737,    0.509
Na O V          , 10.338,    0.255
Bi Br Cu S      , 10.607,    0.275
Cl K O W        , 13.639,    0.501
K O V           , 12.228,    0.396
Al Ni O Si      ,  8.557,    0.122
As Cd I         ,  7.867,     0.07
Al B Co O       , 11.259,    0.324
Ba Cd O P       ,  10.84,    0.292
F O P Rb        , 14.105,    0.536
Ag N O Te       , 11.677,    0.355
K N O Se        , 13.776,    0.511
C F Hg O        , 13.231,    0.471
F O P Sn        , 10.624,    0.276
C K Mn N        , 15.001,    0.603
F K O U         ,  16.29,    0.699
Ba Li O W       , 13.267,    0.473
Bi Cl Cu S      , 10.564,    0.272
Cu K O P        , 12.085,    0.385
Co K O P        , 13.252,    0.472
B Nb O Tl       , 11.662,    0.354
Cl O P Sr       , 10.544,     0.27
Ba Fe O Ti      , 13.667,    0.503
F Na O P        , 11.353,    0.331
B Eu Li O       , 11.731,    0.359
Ca O S Sb       ,  9.515,    0.193
B Ho Li O       , 11.255,    0.323
In Na O Si      ,  9.839,    0.218
Be F Ho K       , 13.248,    0.472
Cu Li O P       , 10.234,    0.247
Br K Mo O       , 12.862,    0.443
Na O P V        , 10.181,    0.243
K Na O V        , 12.809,    0.439
Cl Mo Se        , 10.013,    0.231
Ag Hg O P       , 10.423,    0.261
Ce O S          , 15.602,    0.648
C Cl Mn O       , 11.605,    0.349
Bi Nb O Ti      , 11.205,     0.32
Ga La O S       , 10.083,    0.236
N O S           ,  11.84,    0.367
O Pd Tl         , 12.392,    0.408
Ba Cu O Sb      , 11.028,    0.306
Ag Al O Si      ,  8.887,    0.147
K Nb O          , 12.912,    0.447
K Nb O Ti       ,  12.54,    0.419
Ba Nb O Ti      , 11.645,    0.352
Ca La O Ta      ,  11.87,    0.369
Be Li O Si      , 10.223,    0.246
Cs F O Sb       , 15.296,    0.625
F O Rb Sb       , 14.005,    0.528
Ag O S Si       ,  9.176,    0.168
Ca Cl O W       , 11.533,    0.344
Be F Li Na      , 11.854,    0.368
K Na O P        , 12.683,     0.43
Cd F O P        , 10.351,    0.256
Ba Gd O Re      , 13.805,    0.514
Ba O Re Y       , 12.881,    0.445
Cu Li O Si      , 10.069,    0.235
C Cr O S        , 11.711,    0.357
Cs Nd O P       , 15.432,    0.635
Cl N S Sb       , 11.317,    0.328
Cd Ga In S      ,  8.033,    0.083
Au Ba S Sn      , 11.864,    0.369
C F O Tl        , 13.369,    0.481
Cl F Sb         ,  9.974,    0.228
Al Ca O Sm      ,  10.41,     0.26
Al Ca F O       , 10.797,    0.289
K Mg O Si       , 11.652,    0.353
C Co K N        , 15.895,     0.67
Bi Cl Cs Na     , 15.773,     0.66
Cs F I O        , 15.758,    0.659
Ba Cr O         , 12.028,    0.381
Cl Si           ,  8.164,    0.093
Be F K Li       , 13.534,    0.493
Cd Cu S Si      ,  8.251,    0.099
Ca Cl O P       ,  9.878,    0.221
Ba Na O P       ,   11.8,    0.364
Cl Mn O P       ,  9.751,    0.211
F Mn O P        , 10.771,    0.287
Cu Na O P       , 10.169,    0.242
Ge I K O        ,  12.14,    0.389
Cr Na O Rb      , 14.137,    0.538
Cl Mg O P       ,  9.284,    0.176
Mg Na O Si      ,   9.65,    0.203
Al K O P        , 11.881,     0.37
Ba K O S        , 13.607,    0.499
Cu O S Tl       , 10.813,     0.29
Fe Mn O P       , 12.271,    0.399
F Li Nb O       , 11.917,    0.373
Ba K O P        , 13.487,     0.49
Al Li O Si      ,  9.823,    0.216
B Co Fe O       , 13.845,    0.517
Al Ba O Si      , 10.779,    0.288
C In O Re       , 12.435,    0.411
C Co O S        , 12.573,    0.422
C Co Ir O       , 13.352,     0.48
C O Rh          , 12.852,    0.442
F Fe Na Rb      , 16.314,    0.701
Br Cl Tl        , 11.879,     0.37
As F N S        , 12.017,     0.38
F Ga Li Mn      , 10.861,    0.294
Cl F K Sb       , 12.755,    0.435
Cs F K Mo       , 17.252,    0.771
Cs F K Rh       ,  16.94,    0.748
F Na O Ta       , 12.663,    0.428
F Hg Ni S       , 11.002,    0.304
C K N V         , 14.944,    0.599
C Cs N Se       , 16.766,    0.735
Al La O Sr      , 11.003,    0.304
Ca O Sc Sr      , 10.806,     0.29
Mg O Ti Tl      , 10.443,    0.263
Fe Mn O Ti      , 12.365,    0.406
Bi O Zn         , 11.727,    0.359
Eu O Ta         , 25.566,    0.875
K Mo O Zn       , 12.427,    0.411
K O Si W        , 13.237,    0.471
Ba Mn O Re      , 12.611,    0.424
Bi Mo O Rb      ,   14.6,    0.573
Mo Na O Sc      , 10.958,    0.301
La Li Mo O      , 11.621,    0.351
K Mo O Sm       , 13.315,    0.477
Ga K O W        , 13.225,     0.47
Eu Fe O Sr      , 13.748,    0.509
Fe Na O Ru      ,  13.05,    0.457
K O S Sb        , 11.982,    0.378
B F Mg O        , 10.983,    0.303
B Cl Cr O       , 10.736,    0.285
B Co La O       , 12.167,    0.391
C Cl O Pb       , 12.488,    0.415
Al Cs N O       , 16.042,    0.681
Ho N O          ,   14.0,    0.528
K Nd O P        ,  13.15,    0.465
Be K O P        , 12.214,    0.395
Be Ca O P       ,  9.806,    0.215
O P V Zn        ,  9.127,    0.164
C Ca O Te       , 11.437,    0.337
Ca O S Si       ,  9.488,    0.191
Al O Rb Si      , 12.854,    0.443
N O Si Sm       , 12.269,    0.399
Al O Si Sr      ,  9.919,    0.224
Mg Ni O Si      ,  8.437,    0.113
Ca Fe O Si      , 12.236,    0.397
F Nb O Se       , 10.893,    0.296
K O P Zr        , 12.127,    0.388
Ba O Si Ti      , 10.976,    0.302
Al F Li Mg      , 10.524,    0.269
Cu Hg S Sb      ,  9.846,    0.218
C Ca O Zn       , 11.272,    0.325
C Ca Na O       , 12.142,    0.389
Ba O Si V       , 11.016,    0.305
Bi Nb O Ta      , 12.438,    0.412
As Cu Pt S      ,   9.74,     0.21
Ag Cu Fe Te     , 11.739,    0.359
Ca Mg O Si      ,  9.097,    0.162
Fe Mn S Zn      , 11.735,    0.359
Al Na O Si      ,  9.755,    0.211
F Mg O Si       , 10.188,    0.244
B Ca O Si       , 10.012,    0.231
Cu Fe Rh S      , 11.903,    0.372
Ba Cu O Si      , 11.004,    0.305
Bi In Pb S      , 11.271,    0.324
B Nd O Si       , 11.075,     0.31
Fe O Ti         , 14.525,    0.567
As S Sb Tl      ,    9.5,    0.192
Ag S Se Te      ,  8.418,    0.112
B Fe I O        , 13.065,    0.458
B Cr Gd O       , 12.009,     0.38
Co In S Sn      , 10.315,    0.253
In Pb Rh S      , 10.081,    0.236
Al Be Cr O      ,  9.921,    0.224
Bi O Pb Ti      , 11.829,    0.366
Ag O Sb Si      ,  8.839,    0.143
Ba Co O         , 13.657,    0.503
C In Mn O       , 11.264,    0.324
C Co O Tl       , 13.521,    0.492
Al F K Na       , 13.185,    0.467
Cs F K Ti       , 16.912,    0.745
Cs F Fe Tl      , 17.728,    0.806
Co Cs F K       , 17.782,     0.81
Cs F K Ni       , 16.718,    0.731
Ba Cr F Li      , 12.926,    0.448
Au Cl Cs        , 16.059,    0.682
As Cs F O       , 15.145,    0.614
Cl F O Sb       , 10.761,    0.286
Cl Cr Cs O      , 15.081,    0.609
C Cr K N        , 15.222,    0.619
C Cd N Pd       , 13.059,    0.458
Na O Sc V       , 10.457,    0.264
Ca O V Zr       ,  9.861,    0.219
Ba Nb O V       , 11.683,    0.355
Ba Li Nb O      , 12.344,    0.405
Ba Li O Ta      , 13.117,    0.462
K Nb O Ta       , 13.653,    0.502
Bi Cd O Ta      , 11.786,    0.363
Eu K Mo O       , 13.394,    0.483
Na Nd O W       , 12.872,    0.444
Mn O Sn         ,  9.707,    0.208
La Mn O         , 10.575,    0.273
Co O Sr Te      , 11.719,    0.358
Al B Li O       , 10.645,    0.278
B Nd O Sr       , 12.123,    0.388
B O Pr Sr       , 12.338,    0.404
Al B Nd O       , 11.137,    0.315
C Ca K O        , 13.787,    0.512
K O P Ti        ,  12.06,    0.383
Cd Na O P       ,  9.822,    0.216
Mg Na O P       ,  9.821,    0.216
Ba Cu O Te      , 11.205,     0.32
Ba Ge O Si      , 10.531,    0.269
Ba Fe O Si      , 13.458,    0.488
Na O Si Zr      , 10.053,    0.234
Al O Si Tl      , 10.268,     0.25
Mo O Pr Rb      , 14.815,    0.589
Na O P Th       , 11.379,    0.333
Al K O S        , 12.018,     0.38
Ca Fe Ga O      , 12.224,    0.396
Ge Na O Sr      , 10.686,    0.281
Ag Cl N O       , 11.946,    0.375
Ba O Te         , 11.124,    0.313
Ba Ca F Lu      , 13.049,    0.457
Al Eu O Sr      , 11.139,    0.315
O Sb Tl         , 10.252,    0.248
Cl K O Ru       , 12.549,     0.42
Ag I N O        , 12.113,    0.387
F Nb O Tl       , 12.286,      0.4
B Mg O Ti       ,  9.722,    0.209
Cl Cu O Se      ,  9.426,    0.187
Ag Pb S Sb      ,  9.869,     0.22
As Pb S         ,  9.154,    0.167
As Fe O         , 25.625,    0.879
Ba Cl O Re      , 12.713,    0.432
Ba Cl O P       , 11.357,    0.331
K O S           , 24.878,    0.823
Cu Fe S Sn      , 11.837,    0.367
Ag Bi Cr O      , 11.161,    0.316
K O Th V        , 13.242,    0.472
F Na Th Zn      , 11.908,    0.372
Li O Si Zn      ,   9.79,    0.214
Co Li O Si      , 11.444,    0.337
Bi O Pb Pt      , 12.825,     0.44
Ge Li Mg O      ,  9.515,    0.193
Al Ca Ga O      ,  9.192,    0.169
F Fe K Rb       , 17.573,    0.795
C Ga Mn O       , 11.115,    0.313
As F K O        , 12.811,    0.439
As F O Rb       , 13.839,    0.516
Cl Cr O Rb      , 13.769,    0.511
Ca Cl O Si      ,  9.707,    0.208
Al O Ta W       , 12.152,     0.39
Co Cr Mn O      , 11.476,     0.34
F K O V         , 13.219,     0.47
Li O V          , 10.401,     0.26
Cl Fe O Pb      , 13.392,    0.483
Li O V Zn       , 10.118,    0.238
Li Mg O V       , 10.049,    0.233
Al Ca Nd O      ,  10.86,    0.294
Fe In O Y       , 12.536,    0.419
Fe O Sc Y       , 12.773,    0.437
Nb O Pb Ti      , 11.091,    0.311
Cu Fe Li O      ,  12.95,     0.45
O V Zn          ,  9.301,    0.177
Be Na O P       , 10.322,    0.254
C Co In O       ,  12.43,    0.411
Cs Cu F In      ,  15.03,    0.605
Cs Cu F Tl      , 15.945,    0.673
Cs Cu F Sc      , 15.228,     0.62
Cs Cu F Mn      , 15.202,    0.618
Cs Cu F Rh      ,  15.15,    0.614
Co Cs Cu F      , 16.085,    0.684
Co Cu F Rb      , 14.862,    0.593
B Cl Mg O       ,  9.984,    0.228
Ni O Sr W       , 11.616,     0.35
Br Cl Cs W      ,  15.69,    0.654
Br Cl Cs Mo     , 14.989,    0.602
As C Fe O       , 13.336,    0.479
Cl O Si Yb      ,  10.37,    0.257
K N O Pr        , 15.136,    0.613
As F Hg         , 11.786,    0.363
Fe Mg O Si      , 11.762,    0.361
In K Mo O       ,  12.52,    0.418
In Mo O Rb      ,  13.57,    0.496
K Nd O W        , 14.434,    0.561
Lu Na O W       , 12.743,    0.434
Cs Mo O Pr      , 16.042,    0.681
Bi Cs F Na      , 16.424,    0.709
Bi Cs F K       , 17.675,    0.802
Bi Cs F Rb      , 18.434,    0.859
Bi Cs F Tl      , 16.733,    0.732
Bi F Na Rb      , 15.228,     0.62
Bi F K Rb       , 16.569,     0.72
