Phase fields,scores,Norm. scores
Co Mn O Si      ,  7.612,     0.18
Li Nd O P       ,  9.717,     0.39
As Ca Ga        ,  6.497,    0.069
Fe O Yb         , 11.335,    0.552
Cl Cs O Re      , 11.045,    0.523
C I Mo O        ,  9.599,    0.378
Bi Fe Mo O      , 11.082,    0.527
Ba Mn O Sr      ,  8.021,    0.221
Be F Li Rb      , 10.091,    0.428
Bi Ce O S       ,  12.61,    0.679
Ge O Rb Ti      ,  8.851,    0.304
Ba Cl Cu O      ,  8.517,    0.271
C Cu N S        , 10.225,    0.441
F K O Ta        ,  10.59,    0.477
B Er O Sr       ,  8.758,    0.295
Cd Cl O P       ,  7.308,     0.15
C N Pb S        , 11.371,    0.555
Ga O Si Sr      ,  7.478,    0.167
Ba Ga O Si      ,  7.903,    0.209
Bi Cu Pb S      ,  10.49,    0.467
Cu Na O Si      ,  8.229,    0.242
Cl Fe O P       ,  9.258,    0.344
Ba Mn O W       ,  9.389,    0.358
F Nb O Zr       ,  9.026,    0.321
Cr Cs F Na      , 10.869,    0.505
Cs F Fe Na      , 11.892,    0.607
Cs F Ga Li      , 10.715,     0.49
Cu Se           ,  7.419,    0.161
Ba Fe S         , 20.075,    0.845
Al Co K O       ,  9.164,    0.335
O P Si V        ,   7.14,    0.133
Mn Nb O Ta      ,  9.334,    0.352
Ga O Ti         ,  7.762,    0.195
B Ca Cl O       ,  8.122,    0.231
Cu S Sn Sr      ,  7.339,    0.153
Ga Ge O Sr      ,  7.462,    0.165
Ba Ga Ge O      ,  7.889,    0.208
Ba O Ta Zn      ,  9.372,    0.356
Ca Nd O Ti      ,  9.254,    0.344
Cu F O P        ,  8.289,    0.248
C Na O Sn       ,  9.462,    0.365
B Nb O Rb       ,  9.761,    0.395
O S Tl          ,  9.011,     0.32
Na Nd O P       ,  9.599,    0.378
Cl Cu O Sr      ,  8.123,    0.231
Na O P Zr       ,  8.355,    0.254
Bi Cl In S      ,  9.076,    0.326
Er Na O V       ,   8.93,    0.312
Cd I P S        ,  6.887,    0.108
Cu Mn O         , 14.439,    0.282
Cu Mg Mn O      ,  7.131,    0.132
Hg Li O P       ,  9.577,    0.376
Cd Li O P       ,   8.03,    0.222
Al Cs F Na      , 10.587,    0.477
Al Ca O Si      ,  7.277,    0.147
Cd K O V        ,  8.391,    0.258
Be O Rb Si      ,   8.81,      0.3
K O P Pb        ,  9.987,    0.417
La Na O V       ,  9.068,    0.326
F O Se Xe       , 10.238,    0.442
F O Te U        , 11.771,    0.595
As Cl Cu O      ,  7.584,    0.177
As Cl Co O      ,  8.085,    0.227
Cl Mn O         ,  6.926,    0.112
Eu S Sn         , 16.527,     0.49
Na O Si Zn      ,  7.717,    0.191
Cr F Mn Na      ,  8.611,     0.28
F O Se Y        ,  8.727,    0.292
C N Na S        , 10.652,    0.484
B K Nb O        ,  9.464,    0.365
Ba Eu Nb O      ,  9.551,    0.374
Ba Eu O Ta      , 10.383,    0.457
As F S Te       ,  7.387,    0.158
F Sb Se Te      ,  7.562,    0.175
As F Se Te      ,  7.435,    0.163
Ga Ge K O       ,  8.359,    0.255
Ca Cl Cu O      ,  7.967,    0.216
Br Ca Cu O      ,  7.915,    0.211
F In Li Mn      ,  8.444,    0.263
Br C O Re       , 10.319,     0.45
Ca O Si Sn      ,  7.188,    0.138
Ba Br Cu O      ,  8.469,    0.266
Li Mo Ni O      ,  8.627,    0.281
Cd Li O Si      ,  7.943,    0.213
Nd O P Rb       , 10.186,    0.437
Cl N O Sb       ,  9.213,     0.34
Li O P Pb       ,  9.804,    0.399
B Cl Li O       ,  8.892,    0.308
Al Ca Fe O      ,  9.209,     0.34
Ba Ni O Sb      ,  7.687,    0.188
Br Cu O Sr      ,  8.073,    0.226
Ga Gd O Sr      ,  9.724,    0.391
B C F K         , 10.476,    0.466
Cd Cs O P       ,  9.411,     0.36
Cd I O V        ,  7.517,    0.171
Br Cd O P       ,  7.251,    0.144
As Br Cd O      ,  7.056,    0.125
Br Cd O V       ,  7.409,     0.16
Al Ba Ge O      ,  7.861,    0.205
Ca Cu Ge O      ,  7.528,    0.172
Ag Br N O       ,  9.535,    0.372
Ba Bi O         , 11.227,    0.541
Ca In O Sr      ,  7.807,      0.2
Ca Cu O Ti      ,  7.912,     0.21
Cu O Ta Ti      ,  9.385,    0.357
Ba O Ti         ,  8.421,    0.261
