Phase fields,scores,Norm. score
Co Mn O Si      , 24.329,    0.223
Li Nd O P       , 29.975,    0.586
As Ca Ga        , 27.958,    0.457
Fe O Yb         , 25.676,     0.31
Cl Cs O Re      , 31.598,    0.691
C I Mo O        ,  27.18,    0.407
Bi Fe Mo O      , 24.615,    0.242
Ba Mn O Sr      , 25.986,     0.33
Be F Li Rb      , 34.485,    0.876
Bi Ce O S       , 27.088,    0.401
Ge O Rb Ti      , 29.254,     0.54
Ba Cl Cu O      , 25.764,    0.315
C Cu N S        , 25.291,    0.285
F K O Ta        , 29.024,    0.525
B Er O Sr       , 30.339,     0.61
Cd Cl O P       ,  27.84,    0.449
C N Pb S        , 26.737,    0.378
Ga O Si Sr      , 26.962,    0.393
Ba Ga O Si      , 26.177,    0.342
Bi Cu Pb S      , 26.009,    0.331
Cu Na O Si      , 24.398,    0.228
Cl Fe O P       , 25.653,    0.308
Ba Mn O W       , 26.214,    0.344
F Nb O Zr       , 28.465,    0.489
Cr Cs F Na      , 30.659,     0.63
Cs F Fe Na      , 29.536,    0.558
Cs F Ga Li      , 32.262,    0.733
Cu Se           , 26.578,    0.368
Ba Fe S         , 49.108,    0.475
Al Co K O       , 24.491,    0.234
O P Si V        , 26.132,    0.339
Mn Nb O Ta      , 27.227,     0.41
Ga O Ti         , 25.819,    0.319
B Ca Cl O       , 27.961,    0.457
Cu S Sn Sr      , 26.478,    0.361
Ga Ge O Sr      , 28.533,    0.494
Ba Ga Ge O      , 27.793,    0.446
Ba O Ta Zn      , 26.123,    0.339
Ca Nd O Ti      ,  28.51,    0.492
Cu F O P        , 26.547,    0.366
C Na O Sn       , 25.918,    0.325
B Nb O Rb       , 30.117,    0.595
O S Tl          , 27.814,    0.447
Na Nd O P       , 29.395,    0.549
Cl Cu O Sr      , 26.561,    0.367
Na O P Zr       , 26.221,    0.345
Bi Cl In S      , 28.201,    0.472
Er Na O V       , 30.461,    0.618
Cd I P S        , 29.339,    0.545
Cu Mn O         , 46.055,    0.279
Cu Mg Mn O      , 23.897,    0.195
Hg Li O P       , 28.907,    0.518
Cd Li O P       , 27.705,     0.44
Al Cs F Na      ,  29.94,    0.584
Al Ca O Si      , 24.185,    0.214
Cd K O V        , 27.674,    0.438
Be O Rb Si      , 30.109,    0.595
K O P Pb        , 26.005,    0.331
La Na O V       , 28.057,    0.463
F O Se Xe       ,  31.86,    0.708
F O Te U        , 30.754,    0.636
As Cl Cu O      , 25.679,     0.31
As Cl Co O      , 26.605,     0.37
Cl Mn O         , 26.379,    0.355
Eu S Sn         , 61.738,    1.288
Na O Si Zn      , 25.069,    0.271
Cr F Mn Na      , 29.178,    0.535
F O Se Y        , 28.569,    0.496
C N Na S        , 27.187,    0.407
B K Nb O        , 27.413,    0.422
Ba Eu Nb O      ,  29.15,    0.533
Ba Eu O Ta      , 29.476,    0.554
As F S Te       , 29.777,    0.574
F Sb Se Te      ,  31.08,    0.657
As F Se Te      , 30.812,     0.64
Ga Ge K O       , 28.026,    0.461
Ca Cl Cu O      , 25.951,    0.327
Br Ca Cu O      , 27.291,    0.414
F In Li Mn      , 29.644,    0.565
Br C O Re       , 31.202,    0.665
Ca O Si Sn      , 25.341,    0.288
Ba Br Cu O      , 27.114,    0.402
Li Mo Ni O      ,  26.23,    0.345
Cd Li O Si      ,  27.18,    0.407
Nd O P Rb       , 31.569,    0.689
Cl N O Sb       ,  27.44,    0.423
Li O P Pb       , 27.088,    0.401
B Cl Li O       , 29.028,    0.525
Al Ca Fe O      , 23.241,    0.153
Ba Ni O Sb      , 24.837,    0.256
Br Cu O Sr      , 27.872,    0.451
Ga Gd O Sr      , 28.983,    0.523
B C F K         , 29.484,    0.555
Cd Cs O P       , 27.749,    0.443
Cd I O V        , 29.203,    0.537
Br Cd O P       , 29.094,     0.53
As Br Cd O      , 28.981,    0.522
Br Cd O V       , 30.037,     0.59
Al Ba Ge O      , 25.738,    0.314
Ca Cu Ge O      , 25.613,    0.306
Ag Br N O       , 28.886,    0.516
Ba Bi O         , 26.067,    0.335
Ca In O Sr      , 26.263,    0.348
Ca Cu O Ti      , 23.934,    0.198
Cu O Ta Ti      , 25.032,    0.268
Ba O Ti         , 24.576,    0.239
Ag I O W        , 28.725,    0.506
F Li O S        , 28.834,    0.513
Br Cu P S       , 28.304,    0.479
Fe Na O Ti      , 24.316,    0.222
Ba Bi O Sb      , 26.012,    0.331
K O Sb          , 26.207,    0.344
P S Zn          , 26.214,    0.344
Be C K O        , 27.463,    0.425
Nb O Rb Ti      , 28.975,    0.522
O Rb Ta Ti      , 29.302,    0.543
Cs Nb O Ti      , 27.274,    0.413
Cs O Ta Ti      , 27.622,    0.435
Ca Mg O P       , 25.731,    0.313
Ba Fe O U       , 26.389,    0.356
Nb O Rb W       , 30.261,    0.605
F Fe Na Ni      , 27.474,    0.425
K Mo O Re       , 29.554,    0.559
Co Mg O Si      , 24.668,    0.245
Mg Mn O Si      , 24.656,    0.244
Na O Si Ti      , 25.221,    0.281
Br Sm           , 33.227,    0.795
O Pb Ti Zr      , 25.267,    0.284
Na O S Tl       , 28.543,    0.494
F K O P         ,  27.95,    0.456
F Fe Mn Na      , 27.996,    0.459
F Mn Na V       , 30.219,    0.602
K O Te          , 28.016,     0.46
Ba Fe O Sr      , 24.891,    0.259
F O W Xe        , 31.797,    0.703
Mg O Si Zn      , 24.358,    0.225
Bi Cl F O       ,  29.31,    0.544
Ba Cu O P       , 24.249,    0.218
