Phase fields,scores,Norm. score
Co Mn O Si      ,  7.275,    0.257
Li Nd O P       ,  7.203,    0.251
As Ca Ga        ,    5.7,    0.125
Fe O Yb         ,  8.553,    0.365
Cl Cs O Re      ,  8.216,    0.336
C I Mo O        , 10.726,    0.547
Bi Fe Mo O      ,  7.491,    0.276
Ba Mn O Sr      ,  7.571,    0.282
Be F Li Rb      ,  8.754,    0.382
Bi Ce O S       ,   6.78,    0.216
Ge O Rb Ti      ,  6.055,    0.155
Ba Cl Cu O      ,  8.285,    0.342
C Cu N S        , 13.266,     0.76
F K O Ta        ,  8.802,    0.386
B Er O Sr       ,  9.548,    0.448
Cd Cl O P       ,  6.556,    0.197
C N Pb S        , 12.268,    0.676
Ga O Si Sr      ,  6.262,    0.172
Ba Ga O Si      ,  6.575,    0.199
Bi Cu Pb S      ,  7.276,    0.258
Cu Na O Si      ,  7.543,     0.28
Cl Fe O P       ,  6.973,    0.232
Ba Mn O W       ,  8.077,    0.325
F Nb O Zr       ,  8.542,    0.364
Cr Cs F Na      ,  8.736,     0.38
Cs F Fe Na      ,  8.943,    0.397
Cs F Ga Li      ,  8.156,    0.331
Cu Se           ,   8.62,     0.37
Ba Fe S         , 15.692,    0.611
Al Co K O       ,  7.352,    0.264
O P Si V        ,  6.224,    0.169
Mn Nb O Ta      ,  7.422,     0.27
Ga O Ti         ,   6.58,    0.199
B Ca Cl O       ,  8.621,     0.37
Cu S Sn Sr      ,  7.735,    0.296
Ga Ge O Sr      ,  6.088,    0.158
Ba Ga Ge O      ,   6.41,    0.185
Ba O Ta Zn      ,  8.226,    0.337
Ca Nd O Ti      ,  7.654,    0.289
Cu F O P        ,    9.4,    0.436
C Na O Sn       , 10.638,     0.54
B Nb O Rb       ,  8.587,    0.368
O S Tl          ,  6.353,     0.18
Na Nd O P       ,  7.097,    0.243
Cl Cu O Sr      ,  8.039,    0.322
Na O P Zr       ,  6.428,    0.186
Bi Cl In S      ,   5.82,    0.135
Er Na O V       ,  7.344,    0.263
Cd I P S        ,  5.954,    0.147
Cu Mn O         ,  17.25,    0.742
Cu Mg Mn O      ,  7.644,    0.288
Hg Li O P       ,  7.095,    0.242
Cd Li O P       ,  6.757,    0.214
Al Cs F Na      ,  8.396,    0.351
Al Ca O Si      ,  6.482,    0.191
Cd K O V        ,  6.833,     0.22
Be O Rb Si      ,  6.878,    0.224
K O P Pb        ,  5.684,    0.124
La Na O V       ,  7.504,    0.277
F O Se Xe       , 12.241,    0.674
F O Te U        ,  8.846,    0.389
As Cl Cu O      ,  7.526,    0.279
As Cl Co O      ,  7.047,    0.238
Cl Mn O         ,  6.468,     0.19
Eu S Sn         , 13.618,    0.437
Na O Si Zn      ,   6.49,    0.192
Cr F Mn Na      ,  8.642,    0.372
F O Se Y        ,  8.662,    0.374
C N Na S        , 12.404,    0.688
B K Nb O        ,  8.521,    0.362
Ba Eu Nb O      ,  7.797,    0.301
Ba Eu O Ta      ,  8.425,    0.354
As F S Te       ,  7.611,    0.286
F Sb Se Te      ,  7.354,    0.264
As F Se Te      ,  7.565,    0.282
Ga Ge K O       ,  5.389,    0.099
Ca Cl Cu O      ,  7.871,    0.307
Br Ca Cu O      ,  7.743,    0.297
F In Li Mn      ,  8.245,    0.339
Br C O Re       , 11.765,    0.634
Ca O Si Sn      ,  6.113,     0.16
Ba Br Cu O      ,  8.164,    0.332
Li Mo Ni O      ,  7.889,    0.309
Cd Li O Si      ,  6.588,      0.2
Nd O P Rb       ,  7.082,    0.241
Cl N O Sb       ,  8.674,    0.375
Li O P Pb       ,  5.932,    0.145
B Cl Li O       ,  8.477,    0.358
Al Ca Fe O      ,   7.55,    0.281
Ba Ni O Sb      ,  7.895,    0.309
Br Cu O Sr      ,  7.914,    0.311
Ga Gd O Sr      ,  7.126,    0.245
B C F K         , 13.164,    0.752
Cd Cs O P       ,  6.984,    0.233
Cd I O V        ,   6.63,    0.203
Br Cd O P       ,  6.402,    0.184
As Br Cd O      ,  6.295,    0.175
Br Cd O V       ,  6.701,    0.209
Al Ba Ge O      ,  6.824,     0.22
Ca Cu Ge O      ,  7.664,     0.29
Ag Br N O       , 10.466,    0.525
Ba Bi O         ,  7.153,    0.247
Ca In O Sr      ,  6.964,    0.231
Ca Cu O Ti      ,  8.208,    0.336
Cu O Ta Ti      ,  8.719,    0.379
Ba O Ti         ,  7.496,    0.276
Ag I O W        ,  8.903,    0.394
F Li O S        ,  8.169,    0.333
Br Cu P S       ,   7.17,    0.249
Fe Na O Ti      ,   7.35,    0.264
Ba Bi O Sb      ,  6.704,     0.21
K O Sb          ,  5.165,     0.08
P S Zn          ,   6.31,    0.176
Be C K O        , 11.223,    0.589
Nb O Rb Ti      ,  6.595,      0.2
O Rb Ta Ti      ,  7.326,    0.262
Cs Nb O Ti      ,  6.953,     0.23
Cs O Ta Ti      ,   7.65,    0.289
Ca Mg O P       ,  6.107,    0.159
Ba Fe O U       ,  8.652,    0.373
Nb O Rb W       ,  7.334,    0.262
F Fe Na Ni      ,   9.72,    0.463
K Mo O Re       ,  8.201,    0.335
Co Mg O Si      ,  6.799,    0.217
Mg Mn O Si      ,  5.837,    0.137
Na O Si Ti      ,  6.247,    0.171
Br Sm           ,  8.221,    0.337
O Pb Ti Zr      ,  6.496,    0.192
Na O S Tl       ,  6.429,    0.186
F K O P         ,  8.053,    0.323
F Fe Mn Na      ,  8.851,     0.39
F Mn Na V       ,  8.338,    0.347
K O Te          ,  5.559,    0.113
Ba Fe O Sr      ,  8.191,    0.334
F O W Xe        , 12.887,    0.728
Mg O Si Zn      ,  6.199,    0.167
Bi Cl F O       ,  8.172,    0.333
Ba Cu O P       ,  8.357,    0.348
Al Ca Na O      ,  6.651,    0.205
Eu Fe O Yb      ,  8.429,    0.354
Na O V          ,  6.699,    0.209
Bi Br Cu S      ,  7.289,    0.259
Cl K O W        ,  7.002,    0.235
K O V           ,  6.597,    0.201
Al Ni O Si      ,  7.561,    0.281
As Cd I         ,  5.809,    0.134
Al B Co O       ,  9.483,    0.443
Ba Cd O P       ,  7.404,    0.268
F O P Rb        ,  8.124,    0.329
Ag N O Te       , 10.504,    0.528
K N O Se        ,  8.823,    0.387
C F Hg O        , 12.472,    0.694
F O P Sn        ,  8.053,    0.323
C K Mn N        , 12.508,    0.697
F K O U         ,  8.902,    0.394
Ba Li O W       ,  7.984,    0.317
Bi Cl Cu S      ,  7.425,     0.27
Cu K O P        ,  7.602,    0.285
Co K O P        ,  7.128,    0.245
B Nb O Tl       ,  8.904,    0.394
Cl O P Sr       ,   6.52,    0.194
Ba Fe O Ti      ,  8.043,    0.322
F Na O P        ,  8.138,     0.33
B Eu Li O       ,  9.148,    0.415
Ca O S Sb       ,   5.96,    0.147
B Ho Li O       ,  9.218,     0.42
In Na O Si      ,   5.97,    0.148
Be F Ho K       ,   9.27,    0.425
Cu Li O P       ,  7.789,    0.301
Br K Mo O       ,  6.089,    0.158
Na O P V        ,    6.4,    0.184
K Na O V        ,   6.29,    0.175
Cl Mo Se        ,  6.305,    0.176
Ag Hg O P       ,  8.979,      0.4
Ce O S          ,   7.24,    0.254
C Cl Mn O       , 10.788,    0.552
Bi Nb O Ti      ,  6.743,    0.213
Ga La O S       ,  7.013,    0.236
N O S           ,  8.885,    0.393
O Pd Tl         ,   7.95,    0.314
Ba Cu O Sb      ,  8.083,    0.325
Ag Al O Si      ,  8.357,    0.348
K Nb O          ,  6.368,    0.181
K Nb O Ti       ,  6.507,    0.193
Ba Nb O Ti      ,  7.375,    0.266
Ca La O Ta      ,  8.306,    0.344
Be Li O Si      ,  7.003,    0.235
Cs F O Sb       ,  8.146,    0.331
F O Rb Sb       ,  7.842,    0.305
Ag O S Si       ,    8.1,    0.327
Ca Cl O W       ,  7.373,    0.266
Be F Li Na      ,  8.767,    0.383
K Na O P        ,  5.971,    0.148
Cd F O P        ,  8.564,    0.366
Ba Gd O Re      ,  9.168,    0.416
Ba O Re Y       ,  9.231,    0.422
Cu Li O Si      ,  7.643,    0.288
C Cr O S        , 11.076,    0.576
Cs Nd O P       ,  7.417,    0.269
Cl N S Sb       ,  8.406,    0.352
Cd Ga In S      ,   6.18,    0.166
Au Ba S Sn      ,  7.448,    0.272
C F O Tl        , 12.209,    0.672
Cl F Sb         ,  7.244,    0.255
Al Ca O Sm      ,   7.53,    0.279
Al Ca F O       ,   8.57,    0.366
K Mg O Si       ,   5.45,    0.104
C Co K N        , 12.985,    0.737
Bi Cl Cs Na     ,  6.213,    0.168
Cs F I O        ,  8.169,    0.332
Ba Cr O         ,  8.116,    0.328
Cl Si           ,  5.054,    0.071
Be F K Li       ,  8.689,    0.376
Cd Cu S Si      ,   7.71,    0.294
Ca Cl O P       ,  6.311,    0.177
Ba Na O P       ,  6.906,    0.227
Cl Mn O P       ,  6.234,     0.17
F Mn O P        ,   8.32,    0.345
Cu Na O P       ,  7.691,    0.292
Ge I K O        ,  5.211,    0.084
Cr Na O Rb      ,  6.772,    0.215
Cl Mg O P       ,  5.671,    0.123
Mg Na O Si      ,  5.573,    0.115
Al K O P        ,  6.239,    0.171
Ba K O S        ,  6.733,    0.212
Cu O S Tl       ,  7.967,    0.316
Fe Mn O P       ,  7.266,    0.257
F Li Nb O       ,  8.377,     0.35
Ba K O P        ,  6.807,    0.218
Al Li O Si      ,  6.289,    0.175
B Co Fe O       ,  9.971,    0.484
Al Ba O Si      ,   6.98,    0.233
C In O Re       , 11.935,    0.649
C Co O S        , 11.346,    0.599
C Co Ir O       , 12.069,     0.66
C O Rh          , 14.401,    0.855
F Fe Na Rb      ,  8.667,    0.374
Br Cl Tl        ,  6.299,    0.176
As F N S        , 10.206,    0.503
F Ga Li Mn      ,  8.055,    0.323
Cl F K Sb       ,  7.455,    0.273
Cs F K Mo       ,  8.394,    0.351
Cs F K Rh       ,  9.008,    0.403
F Na O Ta       ,  8.879,    0.392
F Hg Ni S       ,   9.62,    0.454
C K N V         , 12.546,      0.7
C Cs N Se       , 12.561,    0.701
Al La O Sr      ,  7.893,    0.309
Ca O Sc Sr      ,  7.361,    0.265
Mg O Ti Tl      ,  6.547,    0.196
Fe Mn O Ti      ,  7.551,    0.281
Bi O Zn         ,  6.917,    0.227
Eu O Ta         , 16.964,    0.717
K Mo O Zn       ,  6.898,    0.226
K O Si W        ,  6.925,    0.228
Ba Mn O Re      ,  8.815,    0.387
Bi Mo O Rb      ,  6.567,    0.198
Mo Na O Sc      ,  6.939,    0.229
La Li Mo O      ,  7.648,    0.289
K Mo O Sm       ,  7.258,    0.256
Ga K O W        ,  6.926,    0.228
Eu Fe O Sr      ,   8.19,    0.334
Fe Na O Ru      ,  8.719,    0.379
K O S Sb        ,  5.494,    0.108
B F Mg O        ,  9.849,    0.473
B Cl Cr O       ,  8.913,    0.395
B Co La O       , 10.101,    0.495
C Cl O Pb       ,  10.49,    0.527
Al Cs N O       ,  9.423,    0.438
Ho N O          , 11.693,    0.628
K Nd O P        ,  7.001,    0.234
Be K O P        ,  6.958,    0.231
Be Ca O P       ,  7.332,    0.262
O P V Zn        ,  6.952,     0.23
C Ca O Te       , 10.778,    0.551
Ca O S Si       ,  6.146,    0.163
Al O Rb Si      ,  6.149,    0.163
N O Si Sm       ,  9.545,    0.448
Al O Si Sr      ,  6.685,    0.208
Mg Ni O Si      ,  7.085,    0.242
Ca Fe O Si      ,  7.177,    0.249
F Nb O Se       ,  8.185,    0.334
K O P Zr        ,  6.321,    0.177
Ba O Si Ti      ,   7.05,    0.239
Al F Li Mg      ,  7.979,    0.317
Cu Hg S Sb      ,  7.866,    0.307
C Ca O Zn       ,  11.22,    0.589
C Ca Na O       , 10.887,    0.561
Ba O Si V       ,  7.028,    0.237
Bi Nb O Ta      ,  7.338,    0.263
As Cu Pt S      ,  8.033,    0.321
Ag Cu Fe Te     ,  9.886,    0.477
Ca Mg O Si      ,   5.92,    0.144
Fe Mn S Zn      ,  7.452,    0.272
Al Na O Si      ,  6.167,    0.164
F Mg O Si       ,  7.763,    0.298
B Ca O Si       ,  8.559,    0.365
Cu Fe Rh S      ,  9.088,     0.41
Ba Cu O Si      ,  8.221,    0.337
Bi In Pb S      ,  5.629,    0.119
B Nd O Si       ,   9.09,     0.41
Fe O Ti         ,  8.172,    0.333
As S Sb Tl      ,  5.649,    0.121
Ag S Se Te      ,  7.758,    0.298
B Fe I O        ,  8.954,    0.398
B Cr Gd O       ,  9.484,    0.443
Co In S Sn      ,   6.86,    0.223
In Pb Rh S      ,  6.725,    0.211
Al Be Cr O      ,  7.882,    0.308
Bi O Pb Ti      ,  6.297,    0.175
Ag O Sb Si      ,  7.881,    0.308
Ba Co O         ,  8.831,    0.388
C In Mn O       , 10.882,     0.56
C Co O Tl       ,  11.62,    0.622
Al F K Na       ,   8.03,    0.321
Cs F K Ti       ,  8.373,     0.35
Cs F Fe Tl      ,  9.236,    0.422
Co Cs F K       ,  9.001,    0.402
Cs F K Ni       ,  9.219,    0.421
Ba Cr F Li      ,  9.158,    0.415
Au Cl Cs        ,  8.023,     0.32
As Cs F O       ,  8.337,    0.347
Cl F O Sb       ,  7.782,      0.3
Cl Cr Cs O      ,   7.04,    0.238
C Cr K N        ,  12.75,    0.717
C Cd N Pd       , 13.324,    0.765
Na O Sc V       ,  6.892,    0.225
Ca O V Zr       ,  7.015,    0.236
Ba Nb O V       ,  7.354,    0.264
Ba Li Nb O      ,  7.187,     0.25
Ba Li O Ta      ,  7.863,    0.307
K Nb O Ta       ,  7.122,    0.245
Bi Cd O Ta      ,  7.648,    0.289
Eu K Mo O       ,  7.134,    0.246
Na Nd O W       ,  8.056,    0.323
Mn O Sn         ,  6.452,    0.188
La Mn O         ,   7.64,    0.288
Co O Sr Te      ,  7.513,    0.277
Al B Li O       ,  8.734,     0.38
B Nd O Sr       ,  9.566,     0.45
B O Pr Sr       ,  9.574,     0.45
Al B Nd O       ,  9.388,    0.435
C Ca K O        , 10.824,    0.555
K O P Ti        ,  6.318,    0.177
Cd Na O P       ,  6.644,    0.204
Mg Na O P       ,  5.772,    0.131
Ba Cu O Te      ,  8.213,    0.336
Ba Ge O Si      ,  6.409,    0.185
Ba Fe O Si      ,   7.63,    0.287
Na O Si Zr      ,   6.25,    0.171
Al O Si Tl      ,  6.584,    0.199
Mo O Pr Rb      ,  7.408,    0.269
Na O P Th       ,  8.065,    0.324
Al K O S        ,  6.158,    0.164
Ca Fe Ga O      ,  7.178,    0.249
Ge Na O Sr      ,  6.267,    0.173
Ag Cl N O       , 10.561,    0.533
Ba O Te         ,  6.554,    0.197
Ba Ca F Lu      ,  9.571,     0.45
Al Eu O Sr      ,  7.588,    0.284
O Sb Tl         ,  5.775,    0.132
Cl K O Ru       ,  7.793,    0.301
Ag I N O        , 10.421,    0.521
F Nb O Tl       ,  8.601,    0.369
B Mg O Ti       ,  8.489,    0.359
Cl Cu O Se      ,  7.503,    0.277
Ag Pb S Sb      ,   7.51,    0.277
As Pb S         ,  5.138,    0.078
As Fe O         , 14.686,    0.526
Ba Cl O Re      ,  8.576,    0.367
Ba Cl O P       ,  6.822,    0.219
K O S           ,  11.99,      0.3
Cu Fe S Sn      ,   8.12,    0.328
Ag Bi Cr O      ,  8.925,    0.396
K O Th V        ,  8.222,    0.337
F Na Th Zn      ,  9.898,    0.478
Li O Si Zn      ,  6.606,    0.201
Co Li O Si      ,  7.172,    0.249
Bi O Pb Pt      ,  6.835,    0.221
Ge Li Mg O      ,  5.517,     0.11
Al Ca Ga O      ,  6.483,    0.191
F Fe K Rb       ,  8.588,    0.368
C Ga Mn O       ,  10.74,    0.548
As F K O        ,  7.969,    0.316
As F O Rb       ,   8.04,    0.322
Cl Cr O Rb      ,  6.686,    0.208
Ca Cl O Si      ,   6.13,    0.161
Al O Ta W       ,  8.213,    0.336
Co Cr Mn O      ,  8.015,     0.32
F K O V         ,  8.293,    0.343
Li O V          ,  6.811,    0.219
Cl Fe O Pb      ,  6.727,    0.211
Li O V Zn       ,  7.058,    0.239
Li Mg O V       ,  6.225,    0.169
Al Ca Nd O      ,  7.589,    0.284
Fe In O Y       ,  7.819,    0.303
Fe O Sc Y       ,  8.175,    0.333
Nb O Pb Ti      ,  6.354,     0.18
Cu Fe Li O      ,  8.568,    0.366
O V Zn          ,  7.228,    0.253
Be Na O P       ,  7.056,    0.239
C Co In O       , 11.427,    0.606
Cs Cu F In      ,  9.499,    0.444
Cs Cu F Tl      ,   9.73,    0.463
Cs Cu F Sc      ,  9.794,    0.469
Cs Cu F Mn      ,   9.61,    0.453
Cs Cu F Rh      ,  10.23,    0.505
Co Cs Cu F      , 10.223,    0.505
Co Cu F Rb      ,  9.983,    0.485
B Cl Mg O       ,  8.163,    0.332
Ni O Sr W       ,  8.794,    0.385
Br Cl Cs W      ,  6.947,     0.23
Br Cl Cs Mo     ,  6.189,    0.166
As C Fe O       , 11.225,    0.589
Cl O Si Yb      ,   6.65,    0.205
K N O Pr        ,  9.645,    0.456
As F Hg         ,  9.212,     0.42
Fe Mg O Si      ,  6.621,    0.203
In K Mo O       ,  6.411,    0.185
In Mo O Rb      ,    6.5,    0.192
K Nd O W        ,  7.971,    0.316
Lu Na O W       ,  8.119,    0.328
Cs Mo O Pr      ,  7.729,    0.296
Bi Cs F Na      ,  8.305,    0.344
Bi Cs F K       ,  8.222,    0.337
