Phase fields,scores,Norm. score
Co Mn O Si      , 27.808,    0.574
Li Nd O P       , 27.702,    0.559
As Ca Ga Ge     , 28.925,    0.741
Fe O Yb         , 27.422,    0.517
Cl Cs O Re      , 27.803,    0.574
C I Mo O        , 27.661,    0.552
Bi Fe Mo O      ,  27.43,    0.518
Ba Mn O Sr      , 27.302,    0.499
Be F Li Rb      , 29.604,    0.843
Bi Ce O S       , 27.637,    0.549
Ga Ge O Rb Ti   , 54.581,    0.994
Ba Cl Cu O      , 27.389,    0.512
C Cu N S        , 28.953,    0.746
F K O Ta        , 27.846,     0.58
B Er O Sr       , 27.779,     0.57
Cd Cl O P       , 27.526,    0.532
C N Pb S        , 29.316,      0.8
Ga Ge O Si Sr   , 54.442,    0.973
Ba Ga Ge O Si   , 54.561,    0.991
Bi Cu Pb S      , 29.013,    0.755
Cu Na O Si      , 27.514,     0.53
Cl Fe O P       , 27.396,    0.513
Ba Mn O W       ,  27.74,    0.564
F Nb O Zr       , 27.892,    0.587
Cr Cs F Na      ,  29.09,    0.766
Cs F Fe Na      , 29.039,    0.758
Cs F Ga Ge Li   , 29.121,    0.771
Cu Se           , 28.358,    0.657
Ba Fe S         , 57.317,    1.403
Al Co K O       , 28.022,    0.606
O P Si V        ,  27.52,    0.531
Mn Nb O Ta      , 27.872,    0.584
Ga Ge O Ti      , 27.286,    0.496
B Ca Cl O       , 27.831,    0.578
Cu S Sn Sr      , 28.814,    0.725
Ga Ge O Sr      , 27.034,    0.459
Ba Ga Ge O      , 27.094,    0.468
Ba O Ta Zn      , 28.123,    0.622
Ca Nd O Ti      , 27.652,    0.551
Cu F O P        , 27.195,    0.483
C Na O Sn       , 27.931,    0.593
B Nb O Rb       , 27.521,    0.532
O S Tl          , 27.565,    0.538
Na Nd O P       , 27.589,    0.542
Cl Cu O Sr      ,  27.33,    0.503
Na O P Zr       , 27.947,    0.595
Bi Cl In S      , 29.204,    0.783
Er Na O V       , 28.142,    0.624
Cd I P S        , 28.842,    0.729
Cu Mn O         , 54.584,    0.994
Cu Mg Mn O      , 27.367,    0.508
Hg Li O P       , 27.827,    0.577
Cd Li O P       , 27.651,    0.551
Al Cs F Na      , 29.417,    0.815
Al Ca O Si      , 27.924,    0.592
Cd K O V        , 27.622,    0.547
Be O Rb Si      ,  27.85,    0.581
K O P Pb        , 27.598,    0.543
La Na O V       , 27.819,    0.576
F O Se Xe       , 27.503,    0.529
F O Te U        , 27.692,    0.557
As Cl Cu O      , 27.425,    0.517
As Cl Co O      , 27.844,     0.58
Cl Mn O         , 27.719,    0.561
Eu S Sn         , 59.074,    1.666
Na O Si Zn      , 28.051,    0.611
Cr F Mn Na      , 29.153,    0.776
F O Se Y        , 27.543,    0.535
C N Na S        , 29.269,    0.793
B K Nb O        , 27.553,    0.536
Ba Eu Nb O      ,  27.73,    0.563
Ba Eu O Ta      , 28.082,    0.615
As F S Te       , 29.066,    0.763
F Sb Se Te      , 29.362,    0.807
As F Se Te      , 28.968,    0.748
