Phase fields,     scores,     Norm. scores,
As Cu Ge Se     ,  5.947,      0.0,
As As Cd Cl     ,  6.171,    0.017,
Cd Ge S Se      ,  6.258,    0.024,
As Cd Ge P      ,  6.263,    0.024,
As Ge P Zn      ,  6.263,    0.024,
Cu Ge P Se      ,  6.349,     0.03,
As Cd Ga Se     ,  6.374,    0.032,
As Ga Se Zn     ,  6.374,    0.032,
Ge Sb Se Te     ,    6.4,    0.034,
Ag S Sb Se      ,  6.448,    0.038,
Cd S Se Si      ,  6.518,    0.043,
As P Si Zn      ,  6.523,    0.044,
Cu P S Se       ,  6.552,    0.046,
Ag S Se Te      ,  6.586,    0.048,
Ag Cl Ge S      ,  6.601,     0.05,
As Cl Cu S      ,  6.611,     0.05,
Cu S Sb Se      ,  6.617,    0.051,
Cd S Se Zn      ,   6.63,    0.052,
As Cd P Zn      ,  6.635,    0.052,
Ag Ga S Se      ,  6.636,    0.052,
Cl Cu P Se      ,  6.641,    0.053,
Ag Sb Se Te     ,  6.668,    0.055,
As Cd In Se     ,   6.67,    0.055,
As In Se Zn     ,  6.671,    0.055,
Ag Cl Se Te     ,  6.674,    0.055,
Cl Ga P Se      ,  6.676,    0.055,
Cu Ge P S       ,  6.697,    0.057,
As Cd Ga S      ,  6.721,    0.059,
As Ga S Zn      ,  6.721,    0.059,
Cd Ga S Se      ,  6.733,     0.06,
As Cu In Se     ,  6.739,     0.06,
Cl Ga Sb Se     ,  6.739,     0.06,
Ga P Se Zn      ,   6.75,    0.061,
Cu Ga S Se      ,    6.8,    0.065,
Ge Se Sn Te     ,  6.812,    0.065,
Al Cl P Se      ,  6.812,    0.066,
Ag Cl P S       ,  6.814,    0.066,
Cd Se Te Zn     ,  6.844,    0.068,
Ag Ga Se Te     ,   6.85,    0.068,
Al S Se Zn      ,  6.869,     0.07,
Al Cl Sb Se     ,  6.875,     0.07,
Ag In S Se      ,  6.922,    0.074,
As Cd Ga Te     ,  6.932,    0.075,
As Ga Te Zn     ,  6.932,    0.075,
Al Cu S Se      ,  6.934,    0.075,
As As Cd I      ,  6.955,    0.076,
Cd Cl S Sb      ,   6.97,    0.077,
Cl Cu P S       ,  6.975,    0.078,
As Br Cd P      ,  6.975,    0.078,
Ni P S Se       ,  6.999,     0.08,
As Cd In S      ,  7.003,     0.08,
Ag Cl In Se     ,  7.005,     0.08,
Ag Cl S Te      ,  7.006,     0.08,
Cu Ga Se Te     ,  7.009,     0.08,
Ag Br Ge S      ,  7.014,    0.081,
Cd In S Se      ,  7.015,    0.081,
In S Se Zn      ,  7.015,    0.081,
Cu Rh S Se      ,  7.022,    0.081,
Ag Ge I Se      ,  7.023,    0.081,
As Br Cu S      ,  7.023,    0.081,
Ag O P Se       ,  7.031,    0.082,
Br Cd Sb Se     ,  7.047,    0.083,
Br Cu P Se      ,  7.051,    0.084,
Cl Ga S Sb      ,  7.069,    0.085,
Ga P S Zn       ,  7.079,    0.086,
Cu In S Se      ,  7.079,    0.086,
Ag Br Se Te     ,  7.083,    0.086,
Cl O Sb Se      ,  7.112,    0.088,
