Phase fields,     scores,     Norm. scores,
As As Cd Cl     ,  6.207,      0.0,
Cd Ge S Se      ,  6.293,    0.007,
As Cd Ge P      ,  6.299,    0.007,
As Ge P Zn      ,  6.299,    0.007,
As Cd Ga Se     ,  6.409,    0.015,
As Ga Se Zn     ,  6.409,    0.015,
Ge Sb Se Te     ,  6.435,    0.017,
Cd S Se Si      ,  6.552,    0.026,
As P Si Zn      ,  6.558,    0.027,
Cd S Se Zn      ,  6.664,    0.035,
As Cd P Zn      ,  6.669,    0.035,
As Cu Ge Se     ,  6.688,    0.037,
As Cd In Se     ,  6.704,    0.038,
As In Se Zn     ,  6.704,    0.038,
Cl Ga P Se      ,  6.709,    0.038,
As Cd Ga S      ,  6.754,    0.041,
As Ga S Zn      ,  6.755,    0.042,
Cd Ga S Se      ,  6.766,    0.042,
Cl Ga Sb Se     ,  6.772,    0.043,
Ga P Se Zn      ,  6.784,    0.044,
Ge Se Sn Te     ,  6.844,    0.048,
Al Cl P Se      ,  6.845,    0.048,
Cd Se Te Zn     ,  6.876,    0.051,
Al S Se Zn      ,  6.901,    0.053,
Al Cl Sb Se     ,  6.907,    0.053,
As Cd Ga Te     ,  6.964,    0.057,
As Ga Te Zn     ,  6.964,    0.057,
As As Cd I      ,  6.987,    0.059,
Cd Cl S Sb      ,  7.002,     0.06,
As Br Cd P      ,  7.006,    0.061,
Ni P S Se       ,  7.031,    0.062,
As Cd In S      ,  7.035,    0.063,
Cd In S Se      ,  7.046,    0.064,
In S Se Zn      ,  7.047,    0.064,
Cu Ge P Se      ,  7.048,    0.064,
Br Cd Sb Se     ,  7.078,    0.066,
Cl Ga S Sb      ,    7.1,    0.068,
Ga P S Zn       ,  7.111,    0.069,
Ag S Sb Se      ,  7.138,    0.071,
Cl O Sb Se      ,  7.143,    0.071,
In Sb Se Te     ,  7.173,    0.073,
Cd Se Sn Te     ,  7.186,    0.074,
Se Sn Te Zn     ,  7.186,    0.074,
Br P S S        ,  7.186,    0.074,
As Cd Cl O      ,  7.207,    0.076,
Cd Cl O Se      ,  7.219,    0.077,
Cl O Se Zn      ,  7.219,    0.077,
Cu P S Se       ,  7.233,    0.078,
As Cd In Te     ,  7.236,    0.078,
I S Sb Se       ,  7.253,    0.079,
Ag S Se Te      ,  7.263,     0.08,
Ag Cl Ge S      ,  7.276,    0.081,
As Cl Cu S      ,  7.285,    0.082,
S Se Sn Sn      ,  7.288,    0.082,
Cu S Sb Se      ,  7.291,    0.082,
Cl Ga Sb Te     ,    7.3,    0.083,
Al Br Sb Se     ,  7.302,    0.083,
Ag Ga S Se      ,  7.308,    0.083,
Cl Cu P Se      ,  7.312,    0.084,
Br Cl S Sb      ,  7.325,    0.085,
As Cd I P       ,  7.332,    0.085,
O P P S         ,  7.335,    0.085,
Ag Sb Se Te     ,  7.337,    0.086,
Ag Cl Se Te     ,  7.342,    0.086,
In S Se Sn      ,  7.349,    0.087,
Br Cd P P       ,  7.351,    0.087,
Cu Ge P S       ,  7.364,    0.088,
Cl In S Sb      ,  7.368,    0.088,
Br Cd S Sb      ,  7.393,     0.09,
As Cu In Se     ,  7.401,    0.091,
Br In Sb Se     ,   7.44,    0.093,
Cu Ga S Se      ,  7.458,    0.095,
Ag Cl P S       ,  7.471,    0.096,
Cl O P Sb       ,  7.471,    0.096,
As Cl F Se      ,  7.471,    0.096,
In S Sb Te      ,  7.483,    0.097,
Cd S Sn Te      ,  7.495,    0.098,
S Sn Te Zn      ,  7.496,    0.098,
Ag Ga Se Te     ,  7.503,    0.098,
Cl O Se Sn      ,  7.514,    0.099,
In Ni S Se      ,  7.524,      0.1,
Cd Cl O P       ,  7.542,    0.101,
As Cl In O      ,  7.563,    0.103,
Ag In S Se      ,  7.568,    0.103,
Cl In O Se      ,  7.574,    0.104,
Al Cu S Se      ,   7.58,    0.104,
As Br Cd O      ,  7.587,    0.105,
Cd Cl O Sb      ,  7.599,    0.105,
Cl O Sb Zn      ,  7.599,    0.105,
Cl Cu P S       ,  7.617,    0.107,
Ag Cl In Se     ,  7.645,    0.109,
Ag Cl S Te      ,  7.646,    0.109,
Cl O Sb Te      ,  7.646,    0.109,
Cd I P S        ,  7.646,    0.109,
Cu Ga Se Te     ,  7.648,    0.109,
Ag Br Ge S      ,  7.653,     0.11,
