phases,scores,norm
Be Li Na,158.188,5.157
Be Li Mg,122.293,3.656
Al Be Li,122.895,3.681
Be K Li,148.249,4.742
Be Ca Li,133.638,4.131
Be Li Sc,123.394,3.702
Be Li Ti,125.24,3.779
Be Li V,122.287,3.656
Be Cr Li,124.428,3.745
Be Li Mn,123.438,3.704
Be Fe Li,126.628,3.837
Be Co Li,121.787,3.635
Be Li Ni,120.881,3.597
Be Cu Li,122.948,3.683
Be Li Zn,120.998,3.602
Be Ga Li,121.984,3.643
Be Li Rb,124.179,3.735
Be Li Sr,125.393,3.786
Be Li Y,122.869,3.68
Be Li Zr,122.227,3.653
Be Li Nb,124.968,3.768
Be Li Mo,125.652,3.797
Ag Be Li,127.973,3.894
Be Cd Li,121.117,3.607
Be In Li,120.987,3.601
Be Li Sn,120.634,3.587
Be Cs Li,127.047,3.855
Ba Be Li,124.022,3.728
Be Hf Li,126.795,3.844
Be Li Ta,122.194,3.652
Be Li W,127.872,3.889
Be Li Os,125.999,3.811
Be Ir Li,128.69,3.924
Be Li Pt,123.251,3.696
Au Be Li,122.958,3.684
Be Hg Li,123.334,3.7
Be Li Tl,124.985,3.769
Be Li Pb,124.179,3.735
Li Mg Na,112.216,3.235
Al Li Na,112.872,3.262
K Li Na,140.052,4.399
Ca Li Na,124.483,3.748
Li Na Sc,113.415,3.285
Li Na Ti,115.421,3.369
Li Na V,112.21,3.234
Cr Li Na,114.539,3.332
Li Mn Na,113.463,3.287
Fe Li Na,116.925,3.432
Co Li Na,111.664,3.212
Li Na Ni,110.675,3.17
Cu Li Na,112.929,3.264
Li Na Zn,110.804,3.176
Li Na Rb,114.268,3.32
Li Na Sr,115.587,3.376
Li Na Y,112.843,3.261
Li Na Zr,112.145,3.232
Li Na Nb,115.126,3.356
Li Mo Na,115.868,3.387
Ag Li Na,118.381,3.492
Cd Li Na,110.933,3.181
In Li Na,110.791,3.175
Cs Li Na,117.379,3.451
Hf Li Na,117.106,3.439
Li Na Ta,112.108,3.23
Li Na W,118.271,3.488
Li Na Os,116.244,3.403
Ir Li Na,119.155,3.525
Li Na Pt,113.259,3.278
Hg Li Na,113.349,3.282
Li Na Tl,115.144,3.357
Li Na Pb,114.268,3.32
Bi Li Na,116.329,3.407
K Li Mg,97.707,2.628
Ca Li Mg,73.674,1.623
Li Mg Sc,52.867,0.753
Li Mg Ti,57.043,0.927
Li Mg V,50.228,0.642
Cr Li Mg,55.237,0.852
Li Mg Mn,52.969,0.757
Fe Li Mg,60.028,1.052
Co Li Mg,48.998,0.591
Li Mg Ni,46.7,0.495
Li Mg Rb,54.673,0.828
Li Mg Sr,57.378,0.941
Li Mg Y,51.629,0.701
Li Mg Zr,50.083,0.636
Li Mg Nb,56.443,0.902
Li Mg Mo,57.941,0.965
Cs Li Mg,60.908,1.089
Ba Li Mg,54.317,0.813
Hf Li Mg,60.381,1.067
Li Mg Ta,50.001,0.633
Li Mg W,62.609,1.16
Li Mg Os,58.691,0.996
Li Mg Pt,52.531,0.738
Al K Li,98.459,2.659
Al Li Sc,54.246,0.81
Al Li Ti,58.323,0.981
Al Li V,51.677,0.703
Al Cr Li,56.558,0.907
Al Li Mn,54.345,0.814
Al Fe Li,61.246,1.103
Al Co Li,50.482,0.653
Al Li Ni,48.256,0.56
Al Li Rb,56.007,0.884
Al Li Sr,58.651,0.994
Al Li Y,53.04,0.76
Al Li Zr,51.536,0.697
Al Li Nb,57.736,0.956
Al Li Mo,59.202,1.017
Al Cd Li,48.844,0.584
Al Cs Li,62.109,1.139
Al Ba Li,55.66,0.869
Al Hf Li,61.591,1.117
Al Li Ta,51.456,0.694
Al Li W,63.778,1.209
Al Li Os,59.935,1.048
Al Au Li,53.246,0.768
Al Hg Li,54.108,0.804
Al Li Tl,57.773,0.958
Al Li Pb,56.008,0.884
Al Bi Li,60.099,1.055
Ca K Li,111.58,3.208
K Li Sc,99.082,2.685
K Li Ti,101.371,2.781
K Li V,97.699,2.628
Cr K Li,100.367,2.739
K Li Mn,99.136,2.688
Fe K Li,103.081,2.853
Co K Li,97.072,2.601
K Li Ni,95.933,2.554
Cu K Li,98.525,2.662
K Li Zn,96.081,2.56
K Li Rb,100.057,2.726
K Li Sr,101.561,2.789
K Li Y,98.427,2.658
K Li Zr,97.625,2.624
K Li Nb,101.035,2.767
K Li Mo,101.88,2.802
Ag K Li,104.73,2.922
Cd K Li,96.23,2.566
In K Li,96.067,2.559
Cs K Li,103.596,2.874
Ba K Li,99.863,2.718
Hf K Li,103.287,2.861
K Li Ta,97.583,2.623
K Li W,104.605,2.916
K Li Os,102.308,2.82
Ir K Li,105.604,2.958
