phases,leaf,mat2vec
Be Li Na,5.157,4.526
Be Li Mg,3.656,3.711
Al Be Li,3.681,3.328
Be K Li,4.742,4.194
Be Ca Li,4.131,4.072
Be Li Sc,3.702,4.031
Be Li Ti,3.779,3.582
Be Li V,3.656,4.439
Be Cr Li,3.745,3.604
Be Li Mn,3.704,3.569
Be Fe Li,3.837,3.214
Be Co Li,3.635,3.444
Be Li Ni,3.597,3.278
Be Cu Li,3.683,3.262
Be Li Zn,3.602,3.505
Be Ga Li,3.643,3.962
Be Li Rb,3.735,5.13
Be Li Sr,3.786,4.167
Be Li Y,3.68,3.599
Be Li Zr,3.653,3.662
Be Li Nb,3.768,4.014
Be Li Mo,3.797,3.812
Ag Be Li,3.894,3.84
Be Cd Li,3.607,4.186
Be In Li,3.601,3.841
Be Li Sn,3.587,3.602
Be Cs Li,3.855,4.592
Ba Be Li,3.728,3.981
Be Hf Li,3.844,4.425
Be Li Ta,3.652,4.126
Be Li W,3.889,4.386
Be Li Os,3.811,5.137
Be Ir Li,3.924,4.502
Be Li Pt,3.696,4.074
Au Be Li,3.684,3.889
Be Hg Li,3.7,4.782
Be Li Tl,3.769,4.832
Be Li Pb,3.735,3.863
Li Mg Na,3.235,3.677
Al Li Na,3.262,3.293
K Li Na,4.399,4.161
Ca Li Na,3.748,4.039
Li Na Sc,3.285,3.998
Li Na Ti,3.369,3.548
Li Na V,3.234,4.407
Cr Li Na,3.332,3.57
Li Mn Na,3.287,3.535
Fe Li Na,3.432,3.178
Co Li Na,3.212,3.409
Li Na Ni,3.17,3.243
Cu Li Na,3.264,3.226
Li Na Zn,3.176,3.47
Li Na Rb,3.32,5.1
Li Na Sr,3.376,4.135
Li Na Y,3.261,3.564
Li Na Zr,3.232,3.628
Li Na Nb,3.356,3.981
Li Mo Na,3.387,3.778
Ag Li Na,3.492,3.807
Cd Li Na,3.181,4.154
In Li Na,3.175,3.808
Cs Li Na,3.451,4.561
Hf Li Na,3.439,4.393
Li Na Ta,3.23,4.093
Li Na W,3.488,4.354
Li Na Os,3.403,5.107
Ir Li Na,3.525,4.471
Li Na Pt,3.278,4.041
Hg Li Na,3.282,4.751
Li Na Tl,3.357,4.801
Li Na Pb,3.32,3.829
Bi Li Na,3.407,3.838
K Li Mg,2.628,3.316
Ca Li Mg,1.623,3.183
Li Mg Sc,0.753,3.138
Li Mg Ti,0.927,2.645
Li Mg V,0.642,3.583
Cr Li Mg,0.852,2.669
Li Mg Mn,0.757,2.631
Fe Li Mg,1.052,2.237
Co Li Mg,0.591,2.492
Li Mg Ni,0.495,2.308
Li Mg Rb,0.828,4.329
Li Mg Sr,0.941,3.287
Li Mg Y,0.701,2.663
Li Mg Zr,0.636,2.733
Li Mg Nb,0.902,3.12
Li Mg Mo,0.965,2.897
Cs Li Mg,1.089,3.749
Ba Li Mg,0.813,3.084
Hf Li Mg,1.067,3.568
Li Mg Ta,0.633,3.242
Li Mg W,1.16,3.525
Li Mg Os,0.996,4.337
Li Mg Pt,0.738,3.186
Al K Li,2.659,2.916
Al Li Sc,0.81,2.731
Al Li Ti,0.981,2.215
Al Li V,0.703,3.195
Al Cr Li,0.907,2.24
Al Li Mn,0.814,2.199
Al Fe Li,1.103,1.785
Al Co Li,0.653,2.053
Al Li Ni,0.56,1.86
Al Li Rb,0.884,3.969
Al Li Sr,0.994,2.887
Al Li Y,0.76,2.234
Al Li Zr,0.697,2.307
Al Li Nb,0.956,2.712
Al Li Mo,1.017,2.479
Al Cd Li,0.584,2.908
Al Cs Li,1.139,3.368
Al Ba Li,0.869,2.674
Al Hf Li,1.117,3.179
Al Li Ta,0.694,2.839
Al Li W,1.209,3.135
Al Li Os,1.048,3.977
Al Au Li,0.768,2.568
Al Hg Li,0.804,3.581
Al Li Tl,0.958,3.637
Al Li Pb,0.884,2.539
Al Bi Li,1.055,2.549
Ca K Li,3.208,3.691
K Li Sc,2.685,3.648
K Li Ti,2.781,3.182
K Li V,2.628,4.071
Cr K Li,2.739,3.204
K Li Mn,2.688,3.168
Fe K Li,2.853,2.797
Co K Li,2.601,3.037
K Li Ni,2.554,2.864
Cu K Li,2.662,2.847
K Li Zn,2.56,3.101
K Li Rb,2.726,4.784
K Li Sr,2.789,3.79
K Li Y,2.658,3.199
K Li Zr,2.624,3.264
K Li Nb,2.767,3.631
K Li Mo,2.802,3.42
Ag K Li,2.922,3.45
Cd K Li,2.566,3.809
In K Li,2.559,3.451
Cs K Li,2.874,4.23
Ba K Li,2.718,3.596
Hf K Li,2.861,4.057
K Li Ta,2.623,3.746
K Li W,2.916,4.016
K Li Os,2.82,4.792
Ir K Li,2.958,4.137
K Li Pt,2.678,3.693
Au K Li,2.663,3.5
Hg K Li,2.682,4.426
K Li Tl,2.768,4.477
K Li Pb,2.726,3.473
Bi K Li,2.824,3.483
Ca Li Sc,1.699,3.52
Ca Li Ti,1.823,3.047
Ca Li V,1.622,3.948
Ca Cr Li,1.769,3.07
Ca Li Mn,1.702,3.033
Ca Fe Li,1.915,2.657
Ca Co Li,1.587,2.9
Ca Li Ni,1.524,2.725
Ca Cu Li,1.668,2.707
Ca Ga Li,1.601,3.447
Ca Li Rb,1.752,4.669
Ca Li Sr,1.834,3.663
Ca Li Y,1.663,3.064
Ca Li Zr,1.618,3.131
Ca Li Nb,1.805,3.502
Ca Li Mo,1.851,3.289
Ag Ca Li,2.003,3.319
Ca Cd Li,1.54,3.683
Ca Cs Li,1.943,4.109
Ca Hf Li,1.926,3.934
Ca Li Ta,1.616,3.619
Ca Li W,1.996,3.893
Ca Li Os,1.874,4.677
Ca Ir Li,2.049,4.015
Ca Li Pt,1.689,3.565
Au Ca Li,1.669,3.37
Ca Li Tl,1.806,4.359
Li Sc Ti,1.024,3.001
Li Sc V,0.752,3.906
Cr Li Sc,0.952,3.024
Li Mn Sc,0.861,2.987
Fe Li Sc,1.145,2.609
Co Li Sc,0.703,2.854
Li Ni Sc,0.612,2.678
Cu Li Sc,0.815,2.66
Li Sc Zn,0.624,2.919
Ga Li Sc,0.723,3.403
Li Rb Sc,0.929,4.631
Li Sc Sr,1.038,3.62
Li Sc Y,0.808,3.019
Li Sc Zr,0.746,3.086
Li Nb Sc,1.0,3.459
Li Mo Sc,1.061,3.244
Ag Li Sc,1.257,3.275
Cd Li Sc,0.636,3.64
In Li Sc,0.623,3.276
Li Sc Sn,0.587,3.022
Cs Li Sc,1.18,4.067
Ba Li Sc,0.915,3.424
Hf Li Sc,1.159,3.892
Li Sc Ta,0.743,3.576
Li Sc W,1.249,3.851
Li Os Sc,1.091,4.638
Ir Li Sc,1.316,3.973
Li Pt Sc,0.844,3.522
Au Li Sc,0.816,3.326
Hg Li Sc,0.851,4.267
Li Sc Tl,1.002,4.319
Li Pb Sc,0.929,3.299
Bi Li Sc,1.097,3.308
Li Ti V,0.927,3.452
Cr Li Ti,1.113,2.525
Li Mn Ti,1.028,2.486
Fe Li Ti,1.294,2.085
Co Li Ti,0.881,2.345
Li Ni Ti,0.798,2.158
Cu Li Ti,0.985,2.139
Li Ti Zn,0.809,2.414
Ga Li Ti,0.899,2.924
Li Rb Ti,1.092,4.208
Li Sr Ti,1.194,3.153
Li Ti Y,0.978,2.519
Li Ti Zr,0.921,2.59
Li Nb Ti,1.158,2.983
Li Mo Ti,1.215,2.757
Ag Li Ti,1.401,2.789
Cd Li Ti,0.82,3.174
In Li Ti,0.808,2.79
Li Sn Ti,0.775,2.523
Cs Li Ti,1.328,3.621
Ba Li Ti,1.079,2.946
Hf Li Ti,1.308,3.437
Li Ta Ti,0.918,3.106
Li Ti W,1.393,3.394
Li Os Ti,1.244,4.216
Ir Li Ti,1.457,3.522
Li Pt Ti,1.012,3.049
Au Li Ti,0.986,2.843
Hg Li Ti,1.019,3.829
Li Ti Tl,1.16,3.883
Li Pb Ti,1.092,2.814
Cr Li V,0.851,3.474
Li Mn V,0.756,3.439
Fe Li V,1.052,3.079
Co Li V,0.59,3.311
Li Ni V,0.494,3.144
Cu Li V,0.708,3.127
Li V Zn,0.507,3.374
Ga Li V,0.611,3.836
Li Rb V,0.828,5.017
Li Sr V,0.941,4.044
Li V Y,0.7,3.469
Li V Zr,0.636,3.532
Li Nb V,0.902,3.889
Li Mo V,0.964,3.684
Ag Li V,1.168,3.713
Cd Li V,0.519,4.064
In Li V,0.505,3.714
Cs Li V,1.088,4.474
Ba Li V,0.813,3.856
Hf Li V,1.066,4.305
Li Ta V,0.632,4.002
Li V W,1.16,4.266
Li Os V,0.996,5.025
Ir Li V,1.229,4.383
Li Pt V,0.738,3.95
Au Li V,0.709,3.762
Hg Li V,0.746,4.666
Li Tl V,0.903,4.716
Li Pb V,0.828,3.736
Bi Li V,1.003,3.745
Cr Li Mn,0.956,2.51
Cr Fe Li,1.229,2.111
Co Cr Li,0.804,2.369
Cr Li Ni,0.718,2.183
Cr Cu Li,0.912,2.164
Cr Li Zn,0.729,2.438
Cr Ga Li,0.823,2.947
Cr Li Rb,1.021,4.228
Cr Li Sr,1.126,3.175
Cr Li Y,0.905,2.543
Cr Li Zr,0.846,2.614
Cr Li Nb,1.09,3.006
Cr Li Mo,1.148,2.781
Ag Cr Li,1.339,2.812
Cd Cr Li,0.741,3.196
Cr In Li,0.728,2.814
Cr Li Sn,0.694,2.547
Cr Cs Li,1.264,3.642
Ba Cr Li,1.008,2.969
Cr Hf Li,1.243,3.459
Cr Li Ta,0.843,3.129
Cr Li W,1.33,3.416
Cr Li Os,1.177,4.236
Cr Ir Li,1.395,3.544
Cr Li Pt,0.939,3.072
Au Cr Li,0.913,2.867
Cr Hg Li,0.947,3.85
Cr Li Tl,1.091,3.904
Cr Li Pb,1.021,2.838
Fe Li Mn,1.148,2.07
Co Li Mn,0.708,2.33
Li Mn Ni,0.617,2.143
Cu Li Mn,0.819,2.124
Li Mn Zn,0.629,2.399
Ga Li Mn,0.727,2.91
Li Mn Rb,0.933,4.195
Li Mn Sr,1.042,3.139
