phases,leaf,mat2vec,if_pareto,pareto_front,elements
Co Cu Fe,0.979,0.248,+,1,Co
Cu Fe Zn,0.909,0.338,+,1,Cu
Co Cu Ni,0.4,0.341,+,1,Co
Cu Fe Mn,1.12,0.433,-,2,Cu
Cr Cu Fe,1.202,0.483,-,3,Cr
Cu Mn Ni,0.582,0.523,-,2,Cu
Cu Fe Zr,1.017,0.567,-,3,Cu
Cr Cu Ni,0.684,0.573,-,3,Cr
Al Fe Sn,0.872,0.574,-,4,Al
Co Fe Zn,0.802,0.598,-,4,Co
Cu Fe Mg,1.023,0.639,-,5,Cu
Fe Mg Ni,0.838,0.662,-,5,Fe
Co Cu Zn,0.413,0.663,-,2,Co
Co Ni Zn,0.161,0.686,+,1,Co
Co Fe Mn,1.022,0.688,-,6,Co
Co Cu Mn,0.674,0.753,-,3,Co
Fe Mn Zn,0.954,0.773,-,6,Fe
Cu Fe Mo,1.301,0.782,-,7,Cu
Fe Ti Zn,1.111,0.792,-,7,Fe
Co Cr Cu,0.772,0.801,-,4,Co
Fe Mo Ni,1.136,0.805,-,8,Fe
Fe Y Zn,0.902,0.815,-,6,Fe
Al Mg Ni,0.451,0.817,-,3,Al
Fe Sn Zn,0.691,0.819,-,4,Fe
Cr Fe Zn,1.041,0.822,-,7,Cr
Ag Cu Fe,1.482,0.823,-,9,Ag
Cu Fe In,0.908,0.825,-,7,Cu
Ag Fe Ni,1.328,0.846,-,9,Ag
Cu Fe Pb,1.182,0.855,-,9,Cu
Bi Cu Fe,1.335,0.868,-,10,Bi
Cu Mo Ni,0.806,0.868,-,5,Cu
Cu Y Zn,0.533,0.878,-,4,Cu
Fe Ni Pb,1.009,0.878,-,8,Fe
Cr Cu Zn,0.696,0.885,-,5,Cr
Co Fe Mg,0.921,0.887,-,8,Co
Al Co Sn,0.365,0.888,-,2,Al
Bi Fe Ni,1.172,0.891,-,9,Bi
Ni Y Zn,0.298,0.9,-,2,Ni
Cr Ni Zn,0.48,0.907,-,4,Cr
Ag Cu Ni,1.023,0.909,-,9,Ag
Cr Fe Mn,1.242,0.91,-,10,Cr
Au Fe Ni,0.9,0.914,-,6,Au
Al Fe In,0.903,0.914,-,7,Al
Cu Ni Pb,0.659,0.941,-,5,Cu
Cu Mn Ti,0.999,0.943,-,9,Cu
Al Fe Pb,1.177,0.944,-,10,Al
Co Cu Mg,0.555,0.95,-,5,Co
Bi Cu Ni,0.847,0.953,-,6,Bi
Al Bi Fe,1.331,0.957,-,11,Al
Cu Mn Y,0.78,0.965,-,6,Cu
Mn Ni Ti,0.812,0.965,-,6,Mn
Fe Mg Zn,0.849,0.97,-,7,Fe
Al Sn Zn,0.271,0.971,-,2,Al
Cr Cu Mn,0.926,0.972,-,9,Cr
Al Au Fe,1.075,0.981,-,10,Al
Cu Ti Y,0.948,0.983,-,10,Cu
Cr Cu Ti,1.085,0.99,-,11,Cr
Ag Al Ni,1.018,0.997,-,11,Ag
Al Cu Pb,0.853,1.006,-,8,Al
Cr Cu Y,0.874,1.012,-,9,Cr
Cr Cu Sn,0.66,1.016,-,6,Cr
Al Bi Cu,1.026,1.019,-,12,Al
Ba Cu Fe,1.169,1.022,-,13,Ba
Co Fe Mo,1.209,1.026,-,14,Co
Al Ni Pb,0.653,1.028,-,6,Al
Al Co Mg,0.549,1.038,-,5,Al
Al Bi Ni,0.842,1.041,-,7,Al
Ba Fe Ni,0.995,1.044,-,11,Ba
Fe Mg Mn,1.065,1.056,-,13,Fe
Al Mn Sn,0.55,1.057,-,6,Al
Al Au Ni,0.524,1.064,-,5,Al
Ag Co Fe,1.396,1.065,-,15,Ag
Cu Fe Nb,1.246,1.068,-,15,Cu
Al Ti Y,0.944,1.071,-,10,Al
Fe Mg Ti,1.216,1.074,-,15,Fe
Co Cu Mo,0.889,1.087,-,10,Co
Cu Y Zr,0.66,1.09,-,7,Cu
Fe Nb Ni,1.078,1.09,-,14,Fe
Cu Fe Sc,1.117,1.091,-,15,Cu
Co Ti Zn,0.662,1.096,-,8,Co
Co Fe Pb,1.086,1.096,-,15,Co
Al Sn Y,0.488,1.096,-,5,Al
Fe Mg Y,1.016,1.096,-,12,Fe
Fe Mg Sn,0.816,1.1,-,9,Fe
Al Cr Sn,0.654,1.103,-,7,Al
Cr Fe Mg,1.149,1.103,-,16,Cr
Ba Cu Ni,0.643,1.105,-,7,Ba
Fe Mo Zn,1.146,1.107,-,16,Fe
Bi Co Fe,1.244,1.109,-,17,Bi
Co Mo Ni,0.693,1.109,-,9,Co
Fe Ni Sc,0.939,1.113,-,11,Fe
Cu Mg Mn,0.724,1.117,-,10,Cu
Co Cr Zn,0.577,1.125,-,7,Co
Ag Co Cu,1.099,1.126,-,16,Ag
Co Cu In,0.412,1.128,-,3,Co
Cu Mg Ti,0.897,1.135,-,11,Cu
Ag Fe Zn,1.337,1.146,-,18,Ag
Fe In Zn,0.725,1.148,-,11,Fe
Ag Co Ni,0.92,1.148,-,12,Ag
Ca Cu Fe,1.894,1.149,-,19,Ca
Co Cu Pb,0.748,1.157,-,12,Co
Cr Cu Mg,0.82,1.163,-,13,Cr
Cu Mo Zn,0.817,1.168,-,13,Cu
Bi Co Cu,0.929,1.169,-,14,Bi
Ca Fe Ni,1.759,1.171,-,19,Ca
Cu Ni Sc,0.577,1.174,-,8,Cu
Al Y Zr,0.655,1.176,-,9,Al
Fe Pb Zn,1.019,1.177,-,15,Fe
Co Ni Pb,0.538,1.179,-,6,Co
Fe Mg Zr,0.96,1.18,-,15,Fe
Cr Mg Ni,0.618,1.185,-,9,Cr
Bi Fe Zn,1.181,1.189,-,17,Bi
Mo Ni Zn,0.614,1.189,-,9,Mo
Bi Co Ni,0.736,1.191,-,12,Bi
Fe Mn Mo,1.339,1.192,-,19,Fe
Au Co Cu,0.625,1.192,-,10,Au
Co Cr Mn,0.819,1.209,-,14,Co
Fe Mo Ti,1.476,1.209,-,20,Fe
Au Fe Zn,0.91,1.212,-,15,Au
Al Co In,0.406,1.213,-,3,Al
Au Co Ni,0.401,1.214,-,3,Au
Cu Fe Ta,1.014,1.223,-,16,Cu
Ag Ni Zn,0.849,1.228,-,15,Ag
Ag Fe Mn,1.517,1.23,-,21,Ag
Fe Mo Sn,1.116,1.235,-,17,Fe
Cu Pb Zn,0.67,1.237,-,11,Cu
Cu Mg Zr,0.601,1.24,-,9,Cu
Al Co Pb,0.743,1.243,-,13,Al
Al Mg Sn,0.424,1.246,-,4,Al
Ag Fe Ti,1.646,1.248,-,22,Ag
Bi Cu Zn,0.857,1.249,-,16,Bi
Cu Mn Mo,1.035,1.252,-,17,Cu
Al Mo Zn,0.812,1.253,-,14,Al
Al Bi Co,0.924,1.255,-,17,Al
Ba Co Fe,1.072,1.258,-,18,Ba
Ni Pb Zn,0.452,1.259,-,5,Ni
Mg Ni Zr,0.375,1.261,-,3,Mg
Fe Mn Pb,1.221,1.261,-,19,Fe
Mn Ti Zn,0.823,1.261,-,15,Mn
Ag Fe Y,1.476,1.269,-,21,Ag
Cu Mo Ti,1.188,1.269,-,19,Cu
Fe In Y,0.901,1.27,-,17,Fe
Bi Ni Zn,0.658,1.271,-,11,Bi
