phases,scores,norm
Be Li Na,177.146,4.526
Be Li Mg,163.884,3.711
Al Be Li,157.65,3.328
Be K Li,171.734,4.194
Be Ca Li,169.758,4.072
Be Li Sc,169.088,4.031
Be Li Ti,161.786,3.582
Be Li V,175.727,4.439
Be Cr Li,162.137,3.604
Be Li Mn,161.57,3.569
Be Fe Li,155.789,3.214
Be Co Li,159.526,3.444
Be Li Ni,156.837,3.278
Be Cu Li,156.561,3.262
Be Li Zn,160.525,3.505
Be Ga Li,167.96,3.962
Be Li Rb,186.972,5.13
Be Li Sr,171.309,4.167
Be Li Y,162.053,3.599
Be Li Zr,163.077,3.662
Be Li Nb,168.813,4.014
Be Li Mo,165.515,3.812
Ag Be Li,165.981,3.84
Be Cd Li,171.617,4.186
Be In Li,165.999,3.841
Be Li Sn,162.102,3.602
Be Cs Li,178.224,4.592
Ba Be Li,168.279,3.981
Be Hf Li,175.506,4.425
Be Li Ta,170.629,4.126
Be Li W,174.869,4.386
Be Li Os,187.095,5.137
Be Ir Li,176.764,4.502
Be Li Pt,169.793,4.074
Au Be Li,166.774,3.889
Be Hg Li,181.318,4.782
Be Li Tl,182.127,4.832
Be Li Pb,166.352,3.863
Li Mg Na,163.329,3.677
Al Li Na,157.073,3.293
K Li Na,171.205,4.161
Ca Li Na,169.223,4.039
Li Na Sc,168.55,3.998
Li Na Ti,161.224,3.548
Li Na V,175.21,4.407
Cr Li Na,161.576,3.57
Li Mn Na,161.007,3.535
Fe Li Na,155.206,3.178
Co Li Na,158.956,3.409
Li Na Ni,156.258,3.243
Cu Li Na,155.98,3.226
Li Na Zn,159.959,3.47
Li Na Rb,186.486,5.1
Li Na Sr,170.778,4.135
Li Na Y,161.492,3.564
Li Na Zr,162.52,3.628
Li Na Nb,168.275,3.981
Li Mo Na,164.966,3.778
Ag Li Na,165.433,3.807
Cd Li Na,171.087,4.154
In Li Na,165.452,3.808
Cs Li Na,177.714,4.561
Hf Li Na,174.989,4.393
Li Na Ta,170.097,4.093
Li Na W,174.349,4.354
Li Na Os,186.609,5.107
Ir Li Na,176.25,4.471
Li Na Pt,169.258,4.041
Hg Li Na,180.817,4.751
Li Na Tl,181.629,4.801
Li Na Pb,165.806,3.829
Bi Li Na,165.952,3.838
K Li Mg,157.443,3.316
Ca Li Mg,155.285,3.183
Li Mg Sc,154.552,3.138
Li Mg Ti,146.528,2.645
Li Mg V,161.789,3.583
Cr Li Mg,146.914,2.669
Li Mg Mn,146.289,2.631
Fe Li Mg,139.878,2.237
Co Li Mg,144.028,2.492
Li Mg Ni,141.044,2.308
Li Mg Rb,173.937,4.329
Li Mg Sr,156.979,3.287
Li Mg Y,146.822,2.663
Li Mg Zr,147.952,2.733
Li Mg Nb,154.251,3.12
Li Mg Mo,150.634,2.897
Cs Li Mg,164.497,3.749
Ba Li Mg,153.667,3.084
Hf Li Mg,161.549,3.568
Li Mg Ta,156.237,3.242
Li Mg W,160.856,3.525
Li Mg Os,174.069,4.337
Li Mg Pt,155.323,3.186
Al K Li,150.943,2.916
Al Li Sc,147.925,2.731
Al Li Ti,139.52,2.215
Al Li V,155.471,3.195
Al Cr Li,139.927,2.24
Al Li Mn,139.27,2.199
Al Fe Li,132.52,1.785
Al Co Li,136.893,2.053
Al Li Ni,133.75,1.86
Al Li Rb,168.077,3.969
Al Li Sr,150.459,2.887
Al Li Y,139.83,2.234
Al Li Zr,141.015,2.307
Al Li Nb,147.611,2.712
Al Li Mo,143.827,2.479
Al Cd Li,150.81,2.908
Al Cs Li,158.288,3.368
Al Ba Li,147.001,2.674
Al Hf Li,155.221,3.179
Al Li Ta,149.685,2.839
Al Li W,154.5,3.135
Al Li Os,168.213,3.977
Al Au Li,145.275,2.568
Al Hg Li,161.763,3.581
Al Li Tl,162.67,3.637
Al Li Pb,144.79,2.539
Al Bi Li,144.957,2.549
Ca K Li,163.549,3.691
K Li Sc,162.853,3.648
K Li Ti,155.258,3.182
K Li V,169.737,4.071
Cr K Li,155.624,3.204
K Li Mn,155.033,3.168
Fe K Li,148.999,2.797
Co K Li,152.902,3.037
K Li Ni,150.094,2.864
Cu K Li,149.806,2.847
K Li Zn,153.944,3.101
K Li Rb,181.353,4.784
K Li Sr,165.158,3.79
K Li Y,155.537,3.199
K Li Zr,156.603,3.264
K Li Nb,162.568,3.631
K Li Mo,159.14,3.42
Ag K Li,159.625,3.45
Cd K Li,165.477,3.809
In K Li,159.644,3.451
Cs K Li,172.32,4.23
Ba K Li,162.014,3.596
Hf K Li,169.508,4.057
K Li Ta,164.453,3.746
K Li W,168.848,4.016
K Li Os,181.48,4.792
Ir K Li,170.81,4.137
K Li Pt,163.585,3.693
Au K Li,160.449,3.5
Hg K Li,175.518,4.426
K Li Tl,176.354,4.477
K Li Pb,160.011,3.473
Bi K Li,160.162,3.483
Ca Li Sc,160.767,3.52
Ca Li Ti,153.07,3.047
Ca Li V,167.737,3.948
Ca Cr Li,153.44,3.07
Ca Li Mn,152.841,3.033
Ca Fe Li,146.717,2.657
Ca Co Li,150.679,2.9
Ca Li Ni,147.829,2.725
Ca Cu Li,147.536,2.707
Ca Ga Li,159.581,3.447
Ca Li Rb,179.483,4.669
Ca Li Sr,163.102,3.663
Ca Li Y,153.352,3.064
Ca Li Zr,154.433,3.131
Ca Li Nb,160.479,3.502
Ca Li Mo,157.005,3.289
Ag Ca Li,157.497,3.319
Ca Cd Li,163.426,3.683
Ca Cs Li,170.351,4.109
Ca Hf Li,167.505,3.934
Ca Li Ta,162.388,3.619
Ca Li W,166.838,3.893
Ca Li Os,179.611,4.677
Ca Ir Li,168.823,4.015
Ca Li Pt,161.51,3.565
Au Ca Li,158.332,3.37
Ca Li Tl,174.43,4.359
Li Sc Ti,152.325,3.001
Li Sc V,167.058,3.906
Cr Li Sc,152.698,3.024
Li Mn Sc,152.096,2.987
Fe Li Sc,145.94,2.609
Co Li Sc,149.923,2.854
Li Ni Sc,147.058,2.678
Cu Li Sc,146.764,2.66
Li Sc Zn,150.985,2.919
Ga Li Sc,158.867,3.403
Li Rb Sc,178.849,4.631
Li Sc Sr,162.404,3.62
Li Sc Y,152.609,3.019
Li Sc Zr,153.696,3.086
Li Nb Sc,159.769,3.459
Li Mo Sc,156.28,3.244
Ag Li Sc,156.774,3.275
Cd Li Sc,162.729,3.64
In Li Sc,156.793,3.276
Li Sc Sn,152.661,3.022
Cs Li Sc,169.682,4.067
Ba Li Sc,159.205,3.424
Hf Li Sc,166.826,3.892
Li Sc Ta,161.687,3.576
Li Sc W,166.155,3.851
Li Os Sc,178.977,4.638
Ir Li Sc,168.148,3.973
Li Pt Sc,160.804,3.522
Au Li Sc,157.613,3.326
Hg Li Sc,172.929,4.267
Li Sc Tl,173.778,4.319
Li Pb Sc,157.167,3.299
Bi Li Sc,157.32,3.308
Li Ti V,159.664,3.452
Cr Li Ti,144.571,2.525
Li Mn Ti,143.935,2.486
Fe Li Ti,137.414,2.085
Co Li Ti,141.637,2.345
Li Ni Ti,138.601,2.158
Cu Li Ti,138.289,2.139
Li Ti Zn,142.761,2.414
Ga Li Ti,151.073,2.924
Li Rb Ti,171.962,4.208
Li Sr Ti,154.787,3.153
Li Ti Y,144.477,2.519
Li Ti Zr,145.625,2.59
Li Nb Ti,152.021,2.983
Li Mo Ti,148.35,2.757
Ag Li Ti,148.869,2.789
Cd Li Ti,155.128,3.174
In Li Ti,148.89,2.79
Li Sn Ti,144.532,2.523
Cs Li Ti,162.408,3.621
Ba Li Ti,151.428,2.946
Hf Li Ti,159.421,3.437
Li Ta Ti,154.035,3.106
Li Ti W,158.719,3.394
Li Os Ti,172.096,4.216
Ir Li Ti,160.804,3.522
Li Pt Ti,153.109,3.049
Au Li Ti,149.753,2.843
Hg Li Ti,165.797,3.829
Li Ti Tl,166.682,3.883
Li Pb Ti,149.283,2.814
Cr Li V,160.019,3.474
Li Mn V,159.445,3.439
Fe Li V,153.584,3.079
Co Li V,157.373,3.311
Li Ni V,154.647,3.144
Cu Li V,154.367,3.127
Li V Zn,158.386,3.374
Ga Li V,165.917,3.836
Li Rb V,185.139,5.017
Li Sr V,169.306,4.044
Li V Y,159.934,3.469
Li V Zr,160.972,3.532
Li Nb V,166.78,3.889
Li Mo V,163.441,3.684
Ag Li V,163.913,3.713
Cd Li V,169.618,4.064
In Li V,163.931,3.714
Cs Li V,176.3,4.474
Ba Li V,166.24,3.856
Hf Li V,173.552,4.305
Li Ta V,168.618,4.002
Li V W,172.907,4.266
Li Os V,185.263,5.025
Ir Li V,174.824,4.383
Li Pt V,167.772,3.95
Au Li V,164.716,3.762
Hg Li V,179.427,4.666
Li Tl V,180.245,4.716
Li Pb V,164.289,3.736
Bi Li V,164.436,3.745
Cr Li Mn,144.329,2.51
Cr Fe Li,137.827,2.111
Co Cr Li,142.037,2.369
Cr Li Ni,139.01,2.183
Cr Cu Li,138.699,2.164
Cr Li Zn,143.158,2.438
Cr Ga Li,151.448,2.947
Cr Li Rb,172.292,4.228
Cr Li Sr,155.154,3.175
Cr Li Y,144.87,2.543
Cr Li Zr,146.014,2.614
Cr Li Nb,152.394,3.006
Cr Li Mo,148.732,2.781
Ag Cr Li,149.25,2.812
Cd Cr Li,155.494,3.196
Cr In Li,149.27,2.814
Cr Li Sn,144.924,2.547
Cr Cs Li,162.757,3.642
Ba Cr Li,151.802,2.969
Cr Hf Li,159.776,3.459
Cr Li Ta,154.403,3.129
Cr Li W,159.076,3.416
Cr Li Os,172.425,4.236
Cr Ir Li,161.157,3.544
Cr Li Pt,153.479,3.072
Au Cr Li,150.132,2.867
Cr Hg Li,166.139,3.85
Cr Li Tl,167.022,3.904
Cr Li Pb,149.663,2.838
Fe Li Mn,137.16,2.07
Co Li Mn,141.39,2.33
Li Mn Ni,138.349,2.143
Cu Li Mn,138.036,2.124
