Phase fields     scores        Norm. score
Ge Sb Se Te      6.699472207742656 6.006305244729718e-17
As As Cd Cl       6.73712229761816 0.003216109602845125
As Ge P Zn       6.750134396734345 0.004327616562300028
As Cd Ge P       6.759757194314788 0.005149605880440517
Cd Ge S Se       6.7712873245164955 0.006134521523043112
As Ga Se Zn      6.846478383887345 0.01255741955304239
As Cd Ga Se      6.855965957700712 0.013367857917194243
As P Si Zn       6.9793927547304735 0.02391110252798838
Cd S Se Si       6.999852918595214 0.025658830878670935
Cl Ga P Se       7.116930624111593 0.035659729528192165
As Ga S Zn       7.123085825687735 0.036185513210567226
As Cd P Zn       7.126108669268253 0.0364437276344726
As Cd Ga S       7.132205453590633 0.03696452125463439
Cd S Se Zn       7.137046971352189 0.03737808870737536
Ge Se Sn Te      7.139528564335595 0.03759006894568813
Cl Ga Sb Se      7.140982637295868 0.03771427736129119
As In Se Zn       7.15397719757098 0.03882428613480895
Cd Ga S Se        7.16286116474118 0.03958316379544472
As Cd In Se      7.163057496312579 0.039599934641257155
Ga P Se Zn         7.1734780853715 0.040490072132309866
As As Cd I       7.204207755054861 0.04311503228745705
Ni P S Se         7.24304982715165 0.04643296224401074
Al Cl P Se       7.260107054066388 0.04789000820219563
As Ga Te Zn      7.263587278992477 0.04818729261351795
As Cd Ga Te      7.272530722634028 0.04895125081582724
Cd Se Te Zn      7.277278883670411 0.04935684364058452
Al Cl Sb Se      7.283686288840843 0.049904170814731995
Al S Se Zn       7.296233962896896 0.05097600610539052
Cd Cl S Sb       7.3904384716525655 0.0590230526394686
In Sb Se Te      7.392178256701111 0.05917166687704484
Cl Ga S Sb       7.4065996547159125 0.060403557605465806
As Cd In S       7.427885171066978 0.06222178841884629
Cl O Sb Se        7.43459227548106 0.06279471621223855
Ga P S Zn        7.4379347442944175 0.06308023335398784
In S Se Zn       7.448603936011892 0.06399160674115965
Cd In S Se       7.457325495624164 0.06473661138028731
Se Sn Te Zn      7.487320986914713 0.06729885725806813
Cd Se Sn Te      7.4959974995465375 0.06804001393755223
Br P S S         7.502169447523044 0.06856722811475975
Br Cd Sb Se       7.50834784836785 0.06909499350264875
O P P S           7.51004136626191 0.06923965555205418
Cl Ga Sb Te      7.541821194158987 0.0719543213075549
As Cd In Te      7.5627261350643025 0.07374004297288937
S Se Sn Sn       7.567682448686547 0.07416341640673563
As Cd Cl O        7.60418894542886 0.0772818391018056
Cl O Se Zn       7.624428634251726 0.07901073424646628
As Cu Ge Se      7.631716649519681 0.07963328404558914
Cd Cl O Se       7.632949295712109 0.0797385779577549
In S Sb Te       7.649077382137115 0.08111625577468697
Al Br Sb Se      7.659822320532819 0.08203409952142642
In S Se Sn       7.662433762067022 0.08225717155719496
Cl In S Sb       7.691738550390717 0.08476041687344359
Br Cl S Sb       7.700732662946089 0.08552870326675756
Cl O P Sb        7.7084018090510575 0.08618380965602186
S Sn Te Zn       7.741063297775727 0.08897378779094685
Cd S Sn Te       7.749455718454354 0.08969067704207152
Br Cd P P        7.757490060675907 0.09037697886118391
Br Cd S Sb       7.761402761818705 0.09071120583806518
In Ni S Se       7.767735583096202 0.09125216197896745
I Sb Se Sn       7.769650926490358 0.09141577259193155
Cd I P S         7.7966301573479475 0.09372036638507712
Br In Sb Se      7.805097599413764 0.09444366404065942
Cd I S Sb        7.818591518183504 0.0955963285330651
Cl O Sb Te       7.820396166508915 0.09575048345881158
Cl O Se Sn       7.833460446143218 0.09686644773207254
Ge Pb S Se       7.849071267305192 0.09819994021544608
As Cl F Se       7.850814035625149 0.09834880928715047
As Cl In O       7.897338199802957 0.102322951491627
Cd Cl O P        7.8998867775463095 0.1025406536373884
Cl O Sb Zn       7.913351986590783 0.10369086571537904
Cd Cl O Sb       7.921561879818568 0.10439216328294176
Cl In O Se       7.925034768074929 0.10468882098835029
As F S S         7.9261315174536895 0.10478250645419168
Cu Ge P Se       7.926387613460775 0.10480438243988925
Cl Ni O Se       7.936493400244508 0.10566762919512812
As Br Cd O       7.965204425855443 0.10812015468657298
Bi S Sb Se       7.969945522585697 0.10852514407099643
Ge Pb Se Te      7.976795612190638 0.10911028580722175
As Hg S Sb       7.9913357914895515 0.11035232295573781
Cl O Te Zn       8.001084045134283 0.11118502886059593
Cd Cl O Te       8.009204008477788 0.11187864452446727
I P P Sn         8.010670393226016 0.11200390462572717
I S Sb Sn        8.014459491356197 0.11232757330547971
Ag S Sb Se       8.017684703599263 0.11260307426976575
Al Cl O S        8.026430772144716 0.11335017248730438
Cu P S Se         8.02688209063726 0.11338872457954703
Cl Mg O P        8.035887809116502 0.11415800236287722
Cu S Sb Se       8.048215181935488 0.1152110192941004
Br In S Sb        8.04882811069111 0.11526337630210041
Cl O S Sn        8.076335058698788 0.11761304823980319
Al Cd O S         8.08465708765893 0.1183239245575588
Al I Sb Te       8.090074930288447 0.1187867222763721
As Cl F S        8.093167886621758 0.11905092580410953
Cl O P Sn        8.093787661436972 0.11910386760959774
Bi Sb Se Te       8.09576309636168 0.11927261130322912
As Cl Hg S       8.118627414508511 0.1212257049982957
Ag Sb Se Te      8.142764670906159 0.12328753439481234
As Cl Cu S       8.147773042057226 0.12371535463659233
Ga Ga I Te       8.162030981307254 0.1249332825483292
Cu Ge P S        8.166499006177697 0.12531494585216424
Cl In In S       8.166753069618332 0.12533664821393495
Cd Pb S Se       8.174657800267846 0.12601187847855996
Cl Cu P Se       8.191864360819592 0.12748168067041116
As As Br Hg      8.199426337938982 0.12812763257412738
As Br F Se        8.20098000545383 0.12826034845955153
Al Cd O Te       8.208716629562845 0.12892121888968552
Ge Pb S Te       8.215433869111274 0.1294950124367327
Ag Ga S Se       8.216517406818694 0.1295875693479486
As Cl F Te       8.217098935784668 0.12963724415345348
As Br Hg Se      8.226105865135516 0.13040662537068806
Cl Cl O Sn        8.24032727441332 0.13162143285443054
Hg O Se Se       8.242754837619591 0.13182879781331905
As Br In O        8.24552864708817 0.13206573948591163
Cu Ga S Se       8.246311775876647 0.1321326351566844
As Cu In Se      8.246482312785508 0.1321472025957547
Br Cd O P        8.247969636579398 0.13227425133194318
As F I Se        8.255124078225455 0.1328853911341839
S Sb Se Tl        8.26101386926878 0.13338850317444315
Br In In Se       8.27360636656883 0.13446416731294583
Br Cl I Sb       8.275800969100603 0.13465163253016596
As Hg I Se       8.280085639741964 0.1350176335261864
Ga S Se V         8.28048507326581 0.13505175355075974
Ag Cl Ge S       8.282197853861305 0.1351980610400372
Br Ni O Se        8.28303806100209 0.13526983240267668
Cl In O Te       8.288040176887481 0.13569711831319478
Cd Pb Se Te      8.297371790567643 0.13649423440152406
Cl Ni O Te       8.298997613605477 0.1366331138863217
Cd Hg Se Te       8.32524920306705 0.1388755517991262
Bi Cl Ga Se      8.332090225884599 0.13945991904099841
Ag Ga Se Te      8.338615399212415 0.14001730609290738
Br O Te Zn       8.344946849752066 0.1405581451439655
As Cl Ga Hg      8.352553120551818 0.14120788065965215
Pb S Se Sn       8.362189770739375 0.14203105328181412
Cu Ga Se Te      8.367975046831196 0.14252523754685995
Al Cu S Se       8.370191803838722 0.14271459522230345
Cl Pb S Sb       8.389050514293046 0.14432552576695767
Ag Cl P S        8.395250295061835 0.14485511745005797
Cl F P Sb        8.408866170127816 0.1460181995753763
Al Al I Te       8.410449191095184 0.1461534228630633
As Bi Ni S          8.414069846949 0.14646270302942002
As F O S         8.423545728758477 0.14727214265051095
Cl Cu P S        8.424412568549995 0.14734618900171095
Cl F Sb Sb       8.429232573898028 0.14775791884184822
As Br F S        8.433276852382496 0.14810338529129013
Al Cl O Sn       8.434374514122851 0.14819714869200187
Ag Ge I Se       8.440527732100454 0.14872276293333814
Cd Cl I O         8.44473791801679 0.14908240136713988
F O S Se         8.449517623960231 0.14949068879047134
Ga S Se Tl       8.454125646007169 0.14988431079786327
Al Bi Cl Se       8.45471350551684 0.14993452636495533
As Br Hg S        8.45771264134067 0.15019071564777423
Ag S Te Te       8.459604490663642 0.15035231937288734
Cu Ge I Se        8.46953410789306 0.15120051754265854
Ag In S Se        8.47444875958805 0.151620332171605
Cd Mn Se Te      8.477979103317637 0.1519218977829387
Pb Se Sn Te      8.482191122657289 0.1522816928296543
As Br Cu S       8.485693700149634 0.1525808866202963
As F I S         8.485938897138874 0.15260183160062105
Ag O P Se        8.489575861083894 0.15291250482098986
Cl P S Ti         8.49049482283751 0.15299100348407954
Br F Sb Se       8.496088873585638 0.1534688530825625
Cu In S Se       8.503339425619242 0.15408820273347498
As Hg I S        8.510223476533266 0.15467624547983397
Cl F Sb Te       8.511648960012726 0.15479801175242833
