vectors,scores,scaled
N O P S Cl,9.653,0.108
C N S Rb Hg,16.077,0.54
C N S Cs Hg,17.316,0.624
C O Mn Br Sn,11.385,0.225
F Cl Br Cs Os,16.848,0.592
C N O Cl Sb,11.11,0.206
C N S Rb Bi,16.23,0.551
O S Cl Zn Rb,13.388,0.359
O S Cl Zn Tl,10.952,0.196
O S Cl Hg Tl,12.54,0.302
O S Cl Rb Hg,14.715,0.449
C N Br Rb Pt,16.573,0.574
C O Cl Mn In,10.998,0.199
C O Mn Br In,11.382,0.224
C O Mn In I,11.646,0.242
N S S Cl Hg,11.313,0.22
C C O Cl Ni,11.148,0.209
O Al Si Cl Ca,9.521,0.099
B O S Cl K,12.673,0.311
O F Na P K,13.854,0.391
C N N O Ag,12.453,0.296
N N O S S,10.787,0.184
C N Cl Cs Pt,17.534,0.638
S Cu I Pb Bi,13.443,0.363
C N F S Sn,11.739,0.248
Be O Si S Mn,9.734,0.114
N O Cl K Ru,13.805,0.387
C N O K V,14.529,0.436
C O Cl Mn Sn,11.0,0.199
O F Na Nb Ba,14.148,0.41
C N O K Mn,14.515,0.435
C N O K Cd,14.098,0.407
C N S Cd Hg,12.523,0.301
C N S Cs Pu,20.256,0.821
Be B O F Rb,14.683,0.446
C O Na Mg Cl,11.32,0.22
O F Na S Cl,10.813,0.186
S Fe Cu Se Ag,13.117,0.341
Se Pd Ag Te Pb,12.494,0.299
O F La Ce Nd,18.258,0.687
S Se Pt Pb Bi,14.092,0.407
C C O S Re,13.216,0.348
O F P Cl Ca,10.196,0.145
C N P Cl Sb,10.805,0.186
O O F S Rb,14.067,0.405
B O Mg Cl Fe,13.052,0.337
C N S K Pd,14.781,0.453
O S Cl K Sn,12.479,0.298
O S K Br Sn,12.819,0.321
O Al Si Cl Ba,11.258,0.216
O Al Si Br Ba,11.634,0.241
O Na Al Si Te,10.459,0.162
N F S Co As,12.163,0.277
O S S As Ba,10.993,0.198
C O Cl In Re,12.617,0.307
C O Br In Re,12.954,0.33
C O In I Re,13.186,0.346
C N O F S,11.608,0.24
C O Cl Ge Ru,10.728,0.18
O S Cl K W,14.317,0.422
N S S Cl Sb,9.582,0.103
C N O K Hg,15.333,0.49
O S S Cl Sb,8.636,0.04
O F S As Te,9.506,0.098
O F S S As,9.131,0.073
C N S Rb Cd,14.904,0.461
C N S Cd Cs,16.233,0.551
O S Zn Ge Ba,11.196,0.212
N N Al S Cl,10.683,0.177
P P P Se I,8.722,0.046
N O F K Sb,13.781,0.386
C O S Fe Co,15.034,0.47
C O Co Co Se,13.725,0.382
C O Fe Co Se,14.994,0.467
C O Fe Co Te,15.264,0.486
O Na Al Si Cl,10.156,0.142
N O P Cl Mo,11.134,0.208
C O F Ca Bi,13.213,0.348
