vectors,scores,scaled
N O Cu Tl Pb,14.165,0.481
N O P S Cl,9.491,0.071
C N S Rb Hg,15.837,0.628
C N S Cs Hg,17.024,0.732
C O Mn Br Sn,11.429,0.241
F Cl Br Cs Os,16.578,0.693
C N O Cl Sb,10.956,0.2
C N S Rb Bi,16.014,0.643
N O K Cu Sr,14.24,0.488
N O K Ni Sr,13.939,0.461
N O Cu Rb Pb,15.747,0.62
O S Cl Zn Rb,13.044,0.383
O S Cl Zn Tl,11.083,0.211
O S Cl Hg Tl,12.762,0.358
O S Cl Rb Hg,14.497,0.51
C N Br Rb Pt,16.328,0.671
C O Cl Mn In,10.948,0.199
C O Mn Br In,11.408,0.239
C O Mn In I,11.692,0.264
N O K Cu Pb,14.837,0.54
O Al Si Cl Ca,9.29,0.054
B O S Cl K,12.313,0.319
N O K Cu Ba,14.914,0.547
O F Na P K,13.394,0.414
N O K Ni Pb,14.549,0.515
N O K Ni Ba,14.627,0.522
C N Cl Cs Pt,17.186,0.746
O Al Si Br Ag,9.719,0.091
S Cu I Pb Bi,13.804,0.45
N O Cu Cs Pb,16.94,0.725
C N F S Sn,11.612,0.257
C O Cl Mn Sn,10.97,0.201
Be O Si S Mn,9.677,0.088
N O Cl K Ru,13.43,0.417
C N O K V,14.134,0.478
C O Co Br Sn,12.975,0.377
C O Cl Co Ge,12.135,0.303
O F Na Nb Ba,13.746,0.444
C N O K Mn,14.167,0.481
C N O K Cd,13.745,0.444
C N S Cd Hg,12.591,0.343
C N S Cs Pu,19.65,0.962
Be B O F Rb,14.219,0.486
C O Na Mg Cl,10.975,0.201
O F Na S Cl,10.492,0.159
O Na S K Sr,13.985,0.465
O F La Ce Nd,17.458,0.77
N O K Ca Cu,13.712,0.441
O F P Cl Ca,9.91,0.108
F S As Sb I,10.019,0.118
C N P Cl Sb,10.723,0.179
B O Mg Cl Fe,13.387,0.413
O Na Al Si S,9.896,0.107
C N S K Pd,14.426,0.504
O S Cl K Sn,12.224,0.311
O S K Br Sn,12.637,0.347
O Al Si Cl Ba,10.987,0.202
O Al Si Br Ba,11.445,0.243
N F S Co As,12.405,0.327
C O Cl In Re,12.65,0.348
C O Br In Re,13.05,0.383
C O In I Re,13.3,0.405
C N O F S,11.34,0.233
C O Cl Ge Ru,10.628,0.171
O S Cl K W,14.127,0.478
Li S Cl K Fe,16.004,0.642
C N O K Hg,15.087,0.562
O F S As Te,9.539,0.076
C O Mn Ge I,11.242,0.225
C N S Rb Cd,14.564,0.516
C N S Cd Cs,15.846,0.629
O S Zn Ge Ba,11.079,0.211
N O F K Sb,13.435,0.417
C O S Fe Co,15.603,0.607
O Na Al Si Cl,9.887,0.106
N O P Cl Mo,10.966,0.201
C O Ge Br W,12.804,0.362
C O F Ca Bi,13.108,0.388
O Na S Cl Zn,9.978,0.114
O Na Cl Co Mo,13.437,0.417
C O F Si Co,12.689,0.352
O F S Cl As,9.067,0.034
C N O K Re,15.52,0.6
O F S K Mn,13.036,0.382
C O Cl Ru Sn,11.124,0.215
Be B O F K,13.205,0.397
Li O F Sr Ta,14.052,0.471
Li O Al S Cl,9.889,0.106
Li B O S Cl,10.401,0.151
C O Co Br In,12.957,0.375
O F Ti Zn Rb,14.158,0.481
O F Ni Rb W,15.68,0.614
O F Ti Ni Cs,15.481,0.597
O F Ti Cu Cs,15.752,0.62
O F Ti Zn Cs,15.474,0.596
O F Ti Co Cs,17.038,0.733
O F Ti Mn Cs,15.892,0.633
O F Ni Cs Ta,16.781,0.711
O F Co Cs Ta,18.228,0.837
O F Ni Nb Cs,15.9,0.633
O F Zn Nb Cs,15.894,0.633
O F Ni Mo Cs,15.938,0.637
O F Zn Mo Cs,15.931,0.636
O F Mn Mo Cs,16.338,0.672
O F Ni Cs W,16.878,0.719
O F Zn Cs W,16.872,0.719
O F Co Cs W,18.317,0.845
O F Ti Nb Cs,16.268,0.666
C N K I Hg,15.482,0.597
Be B O F Cs,15.53,0.601
O F Si Ti Y,11.311,0.231
Be O F P Ba,11.877,0.281
C O Na S Fe,14.683,0.527
C N S Cl Hg,12.381,0.325
C N S Br Hg,12.789,0.361
C N S K Rh,13.975,0.465
N O Cl K Pt,14.476,0.508
O F Na Mg Ti,11.277,0.228
Be O F P Ca,10.327,0.145
O F P Ca Sr,11.334,0.233
C O S Fe Ge,13.744,0.444
N O F K Te,13.534,0.426
C N S K Hg,14.934,0.549
O F Na Si Y,11.786,0.273
O F Na P Ca,11.188,0.22
O F Rb Zr Cs,18.367,0.85
O F Zr Cs Tl,17.031,0.733
O F K Zr Cs,17.594,0.782
O F K Rb Zr,16.448,0.681
O F K Zr Tl,14.941,0.549
O F Mg Si Ca,9.961,0.112
C O Si Cl Co,12.104,0.3
O S Cl K Cu,12.289,0.317
N O K Co Pb,16.196,0.659
N O Co Rb Pb,17.032,0.733
N F S Ni As,10.162,0.13
O P Cl Ca Sr,10.675,0.175
O F Ti Nb Tl,13.354,0.41
O F Ti W Tl,14.505,0.511
N O K Co Ba,16.266,0.665
N O K Br Hg,14.634,0.522
O F Na Ca Nb,12.432,0.329
O Na S Cl Pb,11.967,0.288
N O K Fe Ce,19.571,0.955
N O Fe Ce Tl,19.067,0.911
N O K Co Ce,18.482,0.86
N O Co Rb Ce,19.219,0.924
N O Co Ce Tl,17.947,0.813
N O K Co Y,15.626,0.609
N O Co Y Tl,14.989,0.553
N O K Ni Ce,17.057,0.735
N O Ni Rb Ce,17.854,0.805
N O Ni Cs Ce,18.915,0.898
N O Ni Ce Tl,16.476,0.684
N O K Ni Y,13.912,0.459
N O K Cu Ce,17.304,0.756
N O Cu Rb Ce,18.09,0.825
N O Cu Cs Ce,19.137,0.917
N O Cu Ce Tl,16.731,0.706
N O Cu Y Tl,13.51,0.424
O Na S Cl K,12.858,0.367
O F Mg Si K,12.388,0.325
O F Na K Ti,13.987,0.466
O F Na K V,13.991,0.466
O F Na K Nb,14.45,0.506
O F Na K Mo,14.491,0.51
O F Mg Ca As,9.94,0.111
N O Na K Co,15.544,0.602
C O Cl Cr As,10.799,0.186
O F S K Sb,12.609,0.345
N O K Ca Ni,13.399,0.414
C O Cl Co Sn,12.573,0.342
C O F Ca Ce,15.784,0.623
C O Na Mg Br,11.433,0.242
C O Na Mg S,10.983,0.202
C N O K Cr,14.456,0.507
C N S Cu Hg,12.881,0.369
O F Na Ti Zn,11.396,0.238
C N S Co Hg,14.425,0.504
O F Na Al As,10.575,0.166
C O Fe Br Hg,15.58,0.605
O F Si Ca Nb,11.274,0.228
N O F S Xe,15.194,0.571
O F K Rb Mo,16.751,0.708
N O P Cl W,12.292,0.317
O F S Rb Sb,13.667,0.438
C N O Cr Co,13.929,0.46
N O P Cl V,10.296,0.142
B C N Cl Ca,11.741,0.269
N O K Cu Cs,17.58,0.781
O F P Ca Nd,12.421,0.328
N O Si Cr Sm,12.541,0.339
O Si Cl Ca Pb,11.449,0.243
O F Mg S As,9.137,0.04
C O P Cl Fe,13.719,0.442
C O Cl Fe As,13.695,0.44
O Na Al S Cl,9.922,0.109
C O Si Cl Os,11.897,0.282
C N S K Pt,15.123,0.565
