Cl N O P S
C Hg N Rb S
C Cs Hg N S
Br C Mn O Sn
Br Cl Cs F Os
C Cl N O Sb
Bi C N Rb S
Cl O Rb S Zn
Cl O S Tl Zn
Cl Hg O S Tl
Cl Hg O Rb S
Br C N Pt Rb
C Cl In Mn O
Br C In Mn O
C I In Mn O
Cl Hg N S S
C C Cl Ni O
Al Ca Cl O Si
B Cl K O S
F K Na O P
Ag C N N O
N N O S S
C Cl Cs N Pt
Bi Cu I Pb S
C F N S Sn
Be Mn O S Si
Cl K N O Ru
C K N O V
C Cl Mn O Sn
Ba F Na Nb O
C K Mn N O
C Cd K N O
C Cd Hg N S
C Cs N S U
B Be F O Rb
C Cl Mg Na O
Cl F Na O S
Ag Cu Fe S Se
Ag Pb Pd Se Te
Ce F La Nd O
Bi Pb Pt S Se
C C O Re S
Ca Cl F O P
C Cl N P Sb
F O O Rb S
B Cl Fe Mg O
C K N Pd S
Cl K O S Sn
Br K O S Sn
Al Ba Cl O Si
Al Ba Br O Si
Al Na O Si Te
As Co F N S
As Ba O S S
C Cl In O Re
Br C In O Re
C I In O Re
C F N O S
C Cl Ge O Ru
Cl K O S W
Cl N S S Sb
C Hg K N O
Cl O S S Sb
As F O S Te
As F O S S
C Cd N Rb S
C Cd Cs N S
Ba Ge O S Zn
Al Cl N N S
I P P P Se
F K N O Sb
C Co Fe O S
C Co Co O Se
C Co Fe O Se
C Co Fe O Te
Al Cl Na O Si
Cl Mo N O P
Bi C Ca F O
Cl Na O S Zn
Cl Co Mo Na O
C Co F O Si
As Cl F O S
C K N O Re
F K Mn O S
C Cl O Ru Sn
B Be F K O
F Li O Sr Ta
Al Cl Li O S
B Cl Li O S
F O Rb Ti Zn
F Ni O Rb W
Cs F Ni O Ti
Cs Cu F O Ti
Cs F O Ti Zn
Co Cs F O Ti
Cs F Mn O Ti
Cs F Ni O Ta
Co Cs F O Ta
Cs F Nb Ni O
Cs F Nb O Zn
Cs F Mo Ni O
Cs F Mo O Zn
Cs F Mn Mo O
Cs F Ni O W
Cs F O W Zn
Co Cs F O W
Cs F Nb O Ti
C Hg I K N
B Be Cs F O
F O Si Ti Y
Ba Be F O P
C Cl Hg N S
Br C Hg N S
C K N Rh S
Cl K N O Pt
F Mg Na O Ti
Be Ca F O P
Ca F O P Sr
C Fe Ge O S
F K N O Te
C Hg K N S
F Na O Si Y
Ca F Na O P
Cs F O Rb Zr
Cs F O Tl Zr
Cs F K O Zr
F K O Rb Zr
F K O Tl Zr
Ca F Mg O Si
C Cl Co O Si
Cl Cu K O S
As F N Ni S
Ca Cl O P Sr
C C Fe O S
F Nb O Ti Tl
F O Ti Tl W
As F S S Sb
As F Sb Se Se
Ca F Na Nb O
Cl Na O Pb S
Cl K Na O S
F K Mg O Si
F K Na O Ti
F K Na O V
F K Na Nb O
F K Mo Na O
As Ca F Mg O
As C Cl Cr O
F K O S Sb
C Ca Ce F O
Br C Mg Na O
C Cr K N O
C Cu Hg N S
F Na O Ti Zn
C Co Hg N S
Al As F Na O
Br C Fe Hg O
Bi Cu Pb S Se
Ca F Nb O Si
F N O S Xe
F K Mo O Rb
As F N S S
F N O S S
C Hg N N O
Cl N O P W
F O Rb S Sb
Cl Mo N S S
F O Os Te Te
As Co Fe Ni S
Hg Hg I P P
F O Re Te Te
Cl N O P V
B C Ca Cl N
Ca F Nd O P
Cr N O Si Sm
Ca Cl O Pb Si
As F Mg O S
Al Cl Na O S
In In S Se Te
C I I N Rb
C K N Pt S
C N Pt Rb S
Cl Cs Cu I Rb
C Ce F La O
F K O O V
C F K O Rb
Cl N P S Sb
Cl F N Te W
Ag C N S Zn
C Cl Ge O Os
Ba C Ce F O
Cl Cs Mo N O
Br Cl Cu O Pb
C Co Cr O P
Br C Ir K O
F Fe K O P
Cr F Na O P
F K Mn O P
Cr F K O P
Al F K O P
Ba Ca F O P
As Cl Hg Hg O
F Ge Ho Li O
Bi Cl K N O
C Cl K O Os
C Cl Cs O Os
F Fe Na O P
F K O S Zr
Cl K N O Pd
