elements,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,element
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,X
H,0.3830628239704996,0.0329832480148366,0.0325553926010501,0.0321619612659738,0.0320636800184328,0.0296740497223493,0.0340518363516855,0.0256776550012172,0.0365887401779993,0.0840175972967314,0.0344700172068457,0.0827935797119726,0.0899041895530764,0.0508357933975557,0.0985215064153657,0.066272917892415,0.1047934737796104,0.1105685378758467,0.0845072842809413,0.0686135823889009,0.0640555679620597,0.0876650583558623,0.0059241821378001,0.0789214089289698,0.0493421908528915,0.0456371076029414,0.047174524628562,0.040657020380527,0.0389999287819633,0.04015824647596,0.0351970739049932,0.0343535750022515,0.0353049463252182,0.063322899712138,0.0309138948893327,0.0308970888643585,0.0318309849275401,
He,0.0030595238095238,0.0005,0.0005,0.0005,0.0060238095238095,0.0480714285714285,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.1411190476190476,0.0996309523809523,0.0557857142857142,0.0110238095238095,0.0072619047619047,0.0785238095238095,0.0498095238095238,0.0005,0.0005,0.0005,0.0013095238095238,0.0126904761904761,0.0188809523809523,0.0005,0.0005,0.0005,0.731142857142857,0.0848809523809523,0.1029642857142857,0.3881666666666666,
Li,0.110292346572428,0.0564057083925818,0.0808987145733279,0.083544183901893,0.0769504730595382,0.0750769249721913,0.0900757071254557,0.1002699501597944,0.0728395962098896,0.1435549403747832,0.2195080391963579,0.1367163050670834,0.1871938382586866,0.1703196636490308,0.0692302152702476,0.0918176116124819,0.1029530777028416,0.1166697523476953,0.1970708814957653,0.136521111689917,0.0633614611344969,0.0735203478958682,0.057003952722204,0.1180865656722051,0.0284779098089466,0.0406566939332937,0.0480114393118112,0.0354782301096774,0.0540602974925025,0.0616899066552146,0.0228234826192862,0.0327985625184798,0.0426521639658163,0.1397502428653844,0.0328543441226584,0.0506228652484266,0.0681979810494584,
Be,0.0208101732399557,0.0100890849612974,0.0378396378547732,0.0469134721710284,0.0077101455952819,0.0102245669001106,0.075234818466642,0.0889198995576853,0.0281994793586435,0.0913364126428308,0.4417631081828226,0.0514506081828234,0.1707886795060823,0.1705098368964251,0.0338003133063029,0.0479969360486544,0.0580414670106892,0.0924722862145228,0.0513250322521193,0.0446947567268706,0.0504268337633615,0.0454769627718392,0.0323163011426465,0.0680002764467378,0.0415418125691117,0.0462301188720973,0.1087497235532623,0.0580514421304827,0.0576620208256541,0.1638799069295989,0.0156021701068927,0.0249088186509399,0.0386936048654626,0.2129483505344641,0.0196385458901585,0.035949110762993,0.1315764375230377,
B,0.0979422178230675,0.0308988825425661,0.0927363427879038,0.1364955719982911,0.0342760487657109,0.0132941700381506,0.2584597008574875,0.1548730861873695,0.0497722265492564,0.0659624359057529,0.2080875558007548,0.0553200835839373,0.1011865512068777,0.0983494876066384,0.0736686661185706,0.0666719312289464,0.0745035896381829,0.1802856025039118,0.0963661629273819,0.115409591960361,0.0883015927103798,0.1028628473349007,0.0161885758998442,0.0991027725492695,0.0416790672349485,0.0527979760282089,0.0778979522295017,0.040179088870136,0.0447016201149521,0.0627373325977327,0.0351115852823014,0.0335932710961092,0.0510502801756744,0.0887338962087885,0.0289797656909193,0.0282624366269297,0.0420249724151331,
C,0.1791139624575034,0.0696661803657466,0.1566322084368784,0.1968495455838512,0.0737314825695547,0.1235254423713128,0.2998706529633063,0.3236983114801706,0.0936862483577903,0.0997646771612226,0.2443224944828732,0.0904571348160207,0.1367517415174653,0.1086927625966387,0.077738630781856,0.0771821895175281,0.1041423220467826,0.1013405818219568,0.1009025843084967,0.0807909421115913,0.0784737185980496,0.1056535537767116,0.0135702793948616,0.0908032643463804,0.0666522065096573,0.0605496044569674,0.058918700983098,0.0491745694973536,0.0482821046743601,0.0471544709523774,0.0449995111529931,0.0419366496588603,0.0407005306810205,0.0857681572583319,0.0406551431170062,0.0378976488339309,0.0372473371939668,
N,0.1843774046114587,0.0653242704162794,0.1794459432733739,0.2488037528339432,0.0981159495441561,0.0940306413101111,0.2408577806184179,0.2057809536443155,0.0854464835270809,0.1053236963966968,0.1855713967006058,0.1094460071873004,0.1381196794655361,0.1184075539047768,0.0682083618735182,0.0748666767160245,0.0994153405527905,0.1027617046934495,0.1005809862042303,0.073805997057542,0.0676520392166273,0.0896258381168249,0.0166874294534755,0.0829825599343924,0.0427371545029143,0.048699082292215,0.0535382820413827,0.0370304724808223,0.0436933782740781,0.0481196830833009,0.0317774444069237,0.0364872365057124,0.0411183529496849,0.0858938823500987,0.030890502146541,0.0370992607688933,0.0429803639477071,
O,0.1784890999431045,0.0585921185318427,0.1270655579562747,0.2334364842058482,0.246371632381815,0.1204174480682334,0.1249867181843752,0.1167385277839174,0.1028311415169605,0.0877845696799689,0.0973779136700227,0.104155144753544,0.1124226036135587,0.0972360173596004,0.0548566825794255,0.0538287891099378,0.0740344973860589,0.0807409199164132,0.0672657131911956,0.0549798056315496,0.0597981902879345,0.0753422177650919,0.0051202050798998,0.0860256053952562,0.0542002709534651,0.0411251143112832,0.0600785898392743,0.0529445878796946,0.0429405850966576,0.0635960938930378,0.0424475994560478,0.0370574453566191,0.0557143531488299,0.11238525355307,0.037873026472644,0.0349663817209238,0.0542110543267934,
F,0.2153189980496978,0.048265993572968,0.0708379263323074,0.1119087266980561,0.1524775542941129,0.0898423501989888,0.0676324411604528,0.0642142549457923,0.0614881052425683,0.0609240926316411,0.0598240006659529,0.0649348853864351,0.0717927825434278,0.0637782754847972,0.0588017518406303,0.0602511323935874,0.0690576424014621,0.0888271626471265,0.06881161568913,0.0621889405975607,0.0614748164650242,0.0725809853013407,0.0055740112367272,0.0797672356382839,0.0484234914191742,0.0429813743056287,0.0642680139111267,0.0528485182424999,0.0448882603685989,0.0726251327952766,0.0436609531662057,0.0386818727173712,0.0656328851327376,0.1317733257223761,0.0408623646280905,0.0374957545150365,0.0684214631529387,
Ne,0.1067481481481481,0.050337037037037,0.0669592592592592,0.0549555555555555,0.0234407407407407,0.0050999999999999,0.0324888888888888,0.057637037037037,0.140574074074074,0.145574074074074,0.0599851851851852,0.1362444444444444,0.1151222222222222,0.0869185185185185,0.0631629629629629,0.0642222222222222,0.0693148148148148,0.042361111111111,0.0376333333333333,0.0311685185185185,0.0330481481481481,0.0355333333333333,0.0145981481481481,0.102774074074074,0.0214851851851851,0.0197777777777777,0.0164925925925925,0.0200185185185185,0.0322296296296296,0.0274851851851851,0.0155407407407407,0.0222,0.0222629629629629,0.3523666666666666,0.0223314814814814,0.0712055555555555,0.2152407407407408,
Na,0.1027888031799887,0.0698414407634487,0.0696229964933577,0.0590551614814295,0.0573819152002259,0.0679278277264451,0.0732762577458199,0.0880870294461378,0.0944890297503667,0.125898101372226,0.0931614534129614,0.1362233399516376,0.141285216482789,0.1192515391574405,0.0718093566361857,0.1032524438377602,0.1088661453412908,0.1405829984148033,0.2068375778585468,0.1640988943685602,0.092587936127963,0.1098112280434832,0.033406029334058,0.1330400821417651,0.0320353766032047,0.0568932297087366,0.0567494515875895,0.0362617448321122,0.0596720513826354,0.0544660584759701,0.0230122652234491,0.0355023237474565,0.0346597801546751,0.1139132407570432,0.0304860775303023,0.0507474280659022,0.0519820264839123,
Mg,0.0339970595701474,0.0307881268686195,0.0360681693179903,0.0280130873808318,0.0233329666610264,0.0433388263665601,0.0316651999774367,0.0473717175777071,0.0561131889208545,0.1147645752242297,0.136029245642236,0.1294719883510979,0.1404073482540709,0.1154525476673954,0.0284010443109393,0.0676207092288572,0.06447534833869,0.1458659601173318,0.4455462994302523,0.2492338487899777,0.0655755380210956,0.1006072058159821,0.0554357195238895,0.1439702078749876,0.0204407401139511,0.0372893714390489,0.033634607519604,0.0335784643481705,0.0588280412647363,0.0502291278840188,0.0145486792745531,0.0251876092965542,0.027118837084674,0.2126920446211934,0.0375294783381291,0.063793355474698,0.091234412901221,
Al,0.037705398346655,0.0253983886718716,0.0486915016351679,0.0503956031976677,0.0273682889716538,0.0316840627271032,0.0532875828942518,0.0743790686318964,0.033468663699123,0.1051055743550113,0.4309566167787341,0.067334267123906,0.1768257539971057,0.1694781329487758,0.03464944245094,0.0609082757994121,0.0689138410701239,0.1122848723655486,0.1860721713753797,0.1159474847837898,0.0588791969476678,0.0615669535792083,0.0557367289698344,0.0952298146802257,0.0254220214843718,0.0483981604287732,0.0613878327125662,0.0314180788971619,0.054813675281608,0.0782070074037001,0.0211067927870621,0.0359175792605332,0.0526653910792091,0.2306958655069269,0.0320071152797934,0.0554870707667104,0.1307062545421526,
