phases,target
Ag Al,0
Ag Al Ba,0
Ag Al Ba Sr,0
Ag Al Ca,0
Ag Al Ca Ge,0
Ag Al Ca Zn,0
Ag Al Ce,0
Ag Al Co,0
Ag Al Cu,0
Ag Al Dy,0
Ag Al Eu,0
Ag Al Fe,0
Ag Al Fe La,0
Ag Al Gd,0
Ag Al Ge,0
Ag Al Ge Pr,0
Ag Al Hf,0
Ag Al Ho,0
Ag Al La,0
Ag Al Li,0
Ag Al Mg,0
Ag Al Mn,0
Ag Al Nd,0
Ag Al Pr,0
Ag Al Sc,0
Ag Al Sm,0
Ag Al Sn,0
Ag Al Sr,0
Ag Al Tb,0
Ag Al Th,0
Ag Al Ti,0
Ag Al Y,0
Ag Al Yb,0
Ag Al Zr,0
Ag Au,0
Ag Au Cd,0
Ag Au Cu,0
Ag Au Cu Pd,0
Ag Au Gd Mg,0
Ag Au Hg,0
Ag Au Mn,0
Ag Au Pd,0
Ag Au Sb,0
Ag Au Sn,0
Ag Au U,0
Ag Au Zn,0
Ag Ba,0
Ag Ba Bi,0
Ag Ba Ga,0
Ag Ba Ge,0
Ag Ba Sb,0
Ag Ba Sn,0
Ag Ba Sr,0
Ag Be,0
Ag Bi,0
Ag Bi Ca,0
Ag Bi Cu,0
Ag Bi Eu,0
Ag Bi K,0
Ag Bi Li,0
Ag Bi Sr,0
Ag Bi Tl,0
Ag Bi Yb,0
Ag Ca,0
Ag Ca Cd,0
Ag Ca Ce Sb,0
Ag Ca Cu,0
Ag Ca Ga,0
Ag Ca Ge,0
Ag Ca Ge Mg,0
Ag Ca Ge Mn,0
Ag Ca Hg,0
Ag Ca In,0
Ag Ca La Sb,0
Ag Ca La Sb Sr,0
Ag Ca Mg,0
Ag Ca Mn Sb,0
Ag Ca Nd Sb,0
Ag Ca Pd,0
Ag Ca Pr Sb,0
Ag Ca Pt,0
Ag Ca Sb,0
Ag Ca Sb Sm,0
Ag Ca Sb Zn,0
Ag Ca Sr,0
Ag Ca Zn,0
Ag Cd,0
Ag Cd Ce,0
Ag Cd Eu,0
Ag Cd Eu Sb,0
Ag Cd In,0
Ag Cd Mg,0
Ag Cd Sb,0
Ag Cd Yb,0
Ag Cd Zn,0
Ag Ce,0
Ag Ce Cu,0
Ag Ce Cu In,0
Ag Ce Ga,0
Ag Ce Ge,0
Ag Ce In,0
Ag Ce In Pd,0
Ag Ce Mg,0
Ag Ce Pb,0
Ag Ce Pd,0
Ag Ce Sb,0
Ag Ce Sn,0
Ag Ce Zn,0
Ag Co Sm,0
Ag Cr Nb,0
Ag Cs Ge Na,0
Ag Cu,0
Ag Cu Dy,0
Ag Cu Er,0
Ag Cu Ga,0
Ag Cu Ga In,0
Ag Cu Gd,0
Ag Cu Ho,0
Ag Cu La,0
Ag Cu Mg,0
Ag Cu Nd,0
Ag Cu Pr,0
Ag Cu Sm,0
Ag Cu Sr,0
Ag Cu Tb,0
Ag Cu Ti,0
Ag Cu Tm,0
Ag Cu U,0
Ag Cu Y,0
Ag Cu Yb,0
Ag Cu Zn,0
Ag Cu Zr,0
Ag Dy,0
Ag Dy Ga,0
Ag Dy Ge,0
Ag Dy In,0
Ag Dy Pb,0
Ag Dy Sb,0
Ag Dy Sn,0
Ag Er,0
Ag Er Ga,0
Ag Er Ge,0
Ag Er In,0
Ag Er Pb,0
Ag Er Pd,0
Ag Er Sn,0
