phases,target,natom
Ag Al,0,2
Ag Al Ba,0,3
Ag Al Ba Sr,0,4
Ag Al Ca,0,3
Ag Al Ca Ge,0,4
Ag Al Ca Zn,0,4
Ag Al Ce,0,3
Ag Al Co,0,3
Ag Al Cu,0,3
Ag Al Dy,0,3
Ag Al Eu,0,3
Ag Al Fe,0,3
Ag Al Fe La,0,4
Ag Al Gd,0,3
Ag Al Ge,0,3
Ag Al Ge Pr,0,4
Ag Al Hf,0,3
Ag Al Ho,0,3
Ag Al La,0,3
Ag Al Li,0,3
Ag Al Mg,0,3
Ag Al Mn,0,3
Ag Al Nd,0,3
Ag Al Pr,0,3
Ag Al Sc,0,3
Ag Al Sm,0,3
Ag Al Sn,0,3
Ag Al Sr,0,3
Ag Al Tb,0,3
Ag Al Th,0,3
Ag Al Ti,0,3
Ag Al Y,0,3
Ag Al Yb,0,3
Ag Al Zr,0,3
Ag Au,0,2
Ag Au Cd,0,3
Ag Au Cu,0,3
Ag Au Cu Pd,0,4
Ag Au Gd Mg,0,4
Ag Au Hg,0,3
Ag Au Mn,0,3
Ag Au Pd,0,3
Ag Au Sb,0,3
Ag Au Sn,0,3
Ag Au U,0,3
Ag Au Zn,0,3
Ag Ba,0,2
Ag Ba Bi,0,3
Ag Ba Ga,0,3
Ag Ba Ge,0,3
Ag Ba Sb,0,3
Ag Ba Sn,0,3
Ag Ba Sr,0,3
Ag Be,0,2
Ag Bi,0,2
Ag Bi Ca,0,3
Ag Bi Cu,0,3
Ag Bi Eu,0,3
Ag Bi K,0,3
Ag Bi Li,0,3
Ag Bi Sr,0,3
Ag Bi Tl,0,3
Ag Bi Yb,0,3
Ag Ca,0,2
Ag Ca Cd,0,3
Ag Ca Ce Sb,0,4
Ag Ca Cu,0,3
Ag Ca Ga,0,3
Ag Ca Ge,0,3
Ag Ca Ge Mg,0,4
Ag Ca Ge Mn,0,4
Ag Ca Hg,0,3
Ag Ca In,0,3
Ag Ca La Sb,0,4
Ag Ca Mg,0,3
Ag Ca Mn Sb,0,4
Ag Ca Nd Sb,0,4
Ag Ca Pd,0,3
Ag Ca Pr Sb,0,4
Ag Ca Pt,0,3
Ag Ca Sb,0,3
Ag Ca Sb Sm,0,4
Ag Ca Sb Zn,0,4
Ag Ca Sr,0,3
Ag Ca Zn,0,3
Ag Cd,0,2
Ag Cd Ce,0,3
Ag Cd Eu,0,3
Ag Cd Eu Sb,0,4
