Cl Cs O Re
C I Mo O
Bi Ce O S
Ba Cl Cu O
C Cu N S
F K O Ta
Cd Cl O P
C N Pb S
Cl Fe O P
F Nb O Zr
B Ca Cl O
Cu F O P
O S S Tl
Cl Cu O Sr
Bi Cl In S
Cd I P S
F O Se Xe
F O Te U
As Cl Cu O
As Cl Co O
Cl Mn Mn O
C N Na S
Ca Cl Cu O
Br Ca Cu O
Br C O Re
Ba Br Cu O
Cl N O Sb
B Cl Li O
Br Cu O Sr
Cd I O V
Br Cd O P
As Br Cd O
Br Cd O V
Ag Br N O
Ag I O W
F Li O S
Br Cu P S
F K O P
F O W Xe
Bi Br Cu S
Cl K O W
As As Cd I
F O P Rb
Ag N O Te
K N O Se
C F Hg O
F O P Sn
F K O U
Bi Cl Cu S
Cl O P Sr
F Na O P
Ca O S Sb
Br K Mo O
Cl Mo Mo Se
Ce Ce O S
C Cl Mn O
Ga La O S
N O S S
Cs F O Sb
F O Rb Sb
Ag O S Si
Ca Cl O W
Cd F O P
C Cr O S
Cl N S Sb
C F O Tl
Cl F Sb Sb
Al Ca F O
Cs F I O
Ca Cl O P
Cl Mn O P
F Mn O P
Cl Mg O P
F Li Nb O
Br Cl Tl Tl
As F N S
Cl F K Sb
F Na O Ta
F Hg Ni S
C Cs N Se
K O S Sb
B F Mg O
B Cl Cr O
C Cl O Pb
N O Si Sm
F Nb O Se
F Mg O Si
B Fe I O
As Cs F O
Cl F O Sb
Cl Cr Cs O
Ag Cl N O
Cl K O Ru
Ag I N O
F Nb O Tl
Cl Cu O Se
Ba Cl O Re
Ba Cl O P
As F K O
As F O Rb
Cl Cr O Rb
Ca Cl O Si
F K O V
Cl Fe O Pb
B Cl Mg O
Br Cl Cs W
Br Cl Cs Mo
Cl O Si Yb
Ca F O P
Bi Cl N S
F Ge Mg O
F Na O S
F Nb O Rb
Cs F Nb O
F Nb O Sc
F K O Sb
F Na O Sb
F O Rb Ta
Cs F Mo O
Ce N O Si
La N O Si
F Mo O Rb
Ag Ge I S
Ba F O P
C N S Se
C N Se Se
Cl N Sb V
As F O S
F Li O Ta
Cl O Re Re
Cs F O V
C Hg N S
F O S Xe
C N P S
As Eu O Ta
C Fe O Se
Cl Cl O Sn
As F I S
Hg I Na O
Cl Cu N S
Ce Cr O S
Cr La O S
Cl Fe N S
B I Ni O
La O Se Se
Cl Cs O U
O Rb Re S
Cs F O U
Br Cl Cu Rb
B Mg O S
F K O Xe
Fe I N O
Co I N O
Ca Cl Cr O
Cl Mo O P
Cl K O Os
Na O S S
C I O Re
Cl F I Sb
Ag La O S
As La O S
Cr F K O
F Fe O Sr
F K Nb O
Cl O Pb V
Cl O S Zr
B Cl N N
F N P S
Cu S Se Ta
B Br Eu O
Cl Cu Hg Se
Cl O P Sn
Cl Hg Hg O
Ag C N S
B Ba F O
F K O S
Cs F O P
As I K O
As Br K O
B Br Ca O
Cs F O Ta
Ag C N O
Br Cs O U
F Fe O P
K N O Os
F O P Pb
Cs O P S
Cl O Pr W
Cl Cs O Os
B F N S
C Fe O S
C N S Zn
Al Cl K O
Ag N O S
F Na Nb O
F O U Zr
C N O S
I S Sb Sn
Cs F O Ti
F Na O V
F N O Xe
F Hg S Si
C Cl O Ru
C I O Ru
Br P S S
C K N Se
C K N O
Cl O P Sb
Cl Nb O P
