Phase fields,     scores,     Norm. scores,
Ga Ni Zr        ,  6.656,      0.0,
Ga Ni Ti        ,  6.666,    0.001,
Ga Ni V         ,  6.701,    0.002,
Ag Cd In        ,  6.703,    0.003,
Ag Ga Ti        ,  6.709,    0.003,
In Ni Zr        ,  6.765,    0.006,
In Ni Ti        ,  6.775,    0.006,
Ga Ti Zr        ,  6.777,    0.007,
Ni Ti Zr        ,   6.79,    0.007,
Ag In Zr        ,  6.806,    0.008,
Ga V Zr         ,  6.811,    0.008,
Ga Ti V         ,  6.821,    0.009,
Ni V Zr         ,  6.824,    0.009,
Ni Ti V         ,  6.834,     0.01,
Ga Mn Ni        ,  6.871,    0.012,
Ga Nb Ni        ,  6.911,    0.014,
Ag Ga Mg        ,  6.912,    0.014,
Ag Cd Mg        ,  6.932,    0.015,
Cu Ga Ni        ,  6.969,    0.017,
In Mn Ni        ,  6.976,    0.017,
In Mg Ni        ,  6.976,    0.017,
Ga Mn Zr        ,  6.978,    0.017,
Cd In Mg        ,  6.983,    0.018,
Ga Mn Ti        ,  6.988,    0.018,
Mn Ni Zr        ,  6.991,    0.018,
Mg Ni Ti        ,  7.001,    0.019,
Ag In Mg        ,  7.017,    0.019,
Ga Nb Zr        ,  7.018,     0.02,
Ga Mn V         ,  7.021,     0.02,
Al Ga Ni        ,  7.027,     0.02,
Ga Nb Ti        ,  7.028,     0.02,
Nb Ni Ti        ,  7.041,    0.021,
Ga Ni Sc        ,  7.044,    0.021,
Ga Nb V         ,  7.061,    0.022,
Cd Ni Sc        ,  7.063,    0.022,
Cu In Ni        ,  7.073,    0.023,
Nb Ni V         ,  7.073,    0.023,
Cu Ga Zr        ,  7.075,    0.023,
Cu Ga Ti        ,  7.085,    0.023,
Cu Ni Zr        ,  7.087,    0.023,
Ga Ni Zn        ,  7.089,    0.023,
In Mn Ti        ,  7.092,    0.024,
Cd Cu Zr        ,  7.094,    0.024,
Cu Ni Ti        ,  7.097,    0.024,
Mn Ti Zr        ,  7.106,    0.024,
Cu Ga V         ,  7.117,    0.025,
Ag Cu Zr        ,  7.127,    0.025,
Cu Ni V         ,  7.129,    0.026,
Al In Ni        ,   7.13,    0.026,
Al Ga Zr        ,  7.132,    0.026,
Ag Cu Ti        ,  7.137,    0.026,
Mn V Zr         ,  7.138,    0.026,
Al Ni Zr        ,  7.144,    0.026,
Nb Ti Zr        ,  7.146,    0.026,
In Ni Sc        ,  7.146,    0.026,
Mn Ti V         ,  7.148,    0.027,
Ag Cd Zn        ,  7.148,    0.027,
Ga Sc Zr        ,  7.149,    0.027,
Al Ni Ti        ,  7.154,    0.027,
Ga Sc Ti        ,  7.158,    0.027,
Ga Mo Ni        ,  7.163,    0.027,
Al Ga V         ,  7.173,    0.028,
Cu In Zr        ,  7.177,    0.028,
Nb V Zr         ,  7.178,    0.028,
Ag Al Zr        ,  7.184,    0.029,
Al Ni V         ,  7.186,    0.029,
Ag In Sc        ,  7.186,    0.029,
Cu In Ti        ,  7.187,    0.029,
Ga Sc V         ,   7.19,    0.029,
Ag Al Ti        ,  7.193,    0.029,
Ga Zn Zr        ,  7.194,    0.029,
Cr Ga Ni        ,  7.195,    0.029,
Mg Mn Ni        ,  7.196,    0.029,
Cu Ti Zr        ,  7.201,    0.029,
