Ba Mn Sn
Ag Sn Sr
Cu Ni Sn
Ag Mg Zn
Ag Bi K
Al Ir Nb
Cu Mg Ni
Bi Ca Mn
Bi Ca Zn
Al Sn Sr
Al Ba Sn
Au Na Sn
Cd K Pb
Co Ga Y
Li Na Sn
Cu Li Sn
Au Mg Sn
Mg Pt Sn
Co Ga Zr
Ga Mn Y
Ni Pt Ti
Li Ni Sn
Ag Ba Sn
Al Pb Sr
Ba Mg Pb
Ba Sn Zn
Li Sn Y
Al Bi Ca
Cu Fe Pt
Ba Mg Sn
Bi Sr Zn
Fe Ni Pt
Ca Mg Sn
Ba Ga Pt
In Li Mg
In Li Sn
In Mg Ni
In Mn Ni
In Na Sn
In Nb Sn
Au Ir Os
K Na Tl
Ni Sn Ti
Mn Sc Sn
Ni Sn Zr
Pb Sr Zn
Pb Zn Zr
Ni Sc Sn
Sn Sr Zn
Ag Ca In
Al Ni Y
Fe V Y
Au Mn Sn
Al Fe Mo
Ca Mg Ni
Cr Fe Zr
In Ni Zr
Al Fe Y
Bi Co Hf
Co Sn Y
Ag Al Y
Cu Hf In
Hf In Ni
In Ni Ti
Cu In Ti
Au Cr Sn
Ni Pb Y
Au Ga Rb
Cu Sn Ti
Al Cu Fe
Ba Bi In
Mn Sn Zr
Hf Mn Sn
Ag Sr Zn
Ca Cu Ga
Mn Ni Sn
Al Cr Fe
Au Li Sn
Al Fe Ti
Cr Ni Sn
Mn Ti V
Cr Fe Y
Al Ta V
Au In Na
Co In Zr
Au Co Sn
Al Fe Zr
Ag Al Mg
Ag Ba Bi
Ag Ba Ga
Bi Ca Cu
Ag Bi Sr
Ag Ca Ga
Ag Ga Sr
Ag Al Sr
Ag Al Ba
Ag Al Ca
Al Cu Sr
Al Ba Cu
Al Au Ca
Ag Al Li
Ag Al Sc
Ag Au Cd
Ag Au Zn
Ag Bi Li
Ag Ca Mg
Ag Cd Mg
Ag Cd Zn
Ag Cu Y
Al Au Hf
Al Au Mn
Al Au Sc
Al Au Ti
Al Au V
Al Au Zr
Al Ba Fe
Al Be Cr
Al Be Cu
Al Be Fe
Al Be Mn
Al Be Ni
Al Ca Cd
Al Ca Co
Al Ca Cr
Al Ca Cu
Al Ca Mn
Al Ca Ni
Al Ca Zn
Al Co Cr
Al Co Cu
Al Co Fe
Al Co Hf
Al Co Mn
Al Co Mo
Al Co Nb
Al Co Ni
Al Co Sc
Al Co Sr
Al Co Ta
Al Co Ti
Al Co V
Al Co Y
Al Co Zr
Al Cr Cu
Al Cr Mg
Al Cr Mn
Al Cr Nb
Al Cr Ni
Al Cr Y
Al Cr Zr
Al Cu Hf
Al Cu Li
Al Cu Mg
Al Cu Mn
Al Cu Mo
Al Cu Ni
Al Cu Sc
Al Cu Ti
Al Cu W
Al Cu Y
Al Cu Zn
Al Cu Zr
Al Fe Mn
Al Fe Ni
Al Fe V
Al Ga Li
Al Ga Nb
Al Ga Ni
Al Ga Sc
Al Ga Sr
Al Ga V
Al Ga Zr
Al Hf Mo
Al Hf Ni
Al Hf W
Al Hf Zn
Al In Li
Al In Nb
Al In Ni
Al Ir Mn
Al Li Mg
Al Li Sn
Al Mg Y
Al Mg Zn
Al Mn Ni
Al Mn Pt
Al Mn V
Al Mn Y
Al Mn Zn
Al Mo Nb
Al Mo Ni
Al Mo Ti
Al Mo Zr
Al Nb Ni
Al Nb Sn
Al Nb Ta
Al Nb V
Al Nb W
Al Nb Zn
Al Nb Zr
Al Ni Pt
Al Ni Sc
Al Ni Sn
Al Ni Ta
Al Ni Ti
Al Ni V
Al Ni W
Al Ni Zn
Al Ni Zr
Al Pt Zr
Al Sn V
Al Ta Ti
Al Ta Zn
Al Ti V
Al W Zr
Al Zn Zr
Ag Ga Li
Ag Ga Mg
Ag Ga Y
Ag Hg Ti
Ag In Li
Ag In Sc
Ag In Y
Ag Li Mg
Ag Li Pb
Ag Li Sn
Ag Li Tl
Au Bi Ca
Au Bi Li
Au Cd Mg
Au Cd Sn
Au Cd Zn
Au Cr Nb
Au Cu Ga
Au Cu Ni
Au Cu Pt
Au Cu Zn
Au Fe Nb
Au Ga Li
Au Hf In
Au Hg Mg
Au Hg Mn
Au In Li
Au In Sc
Au In Ti
Au In Y
Au In Zr
Au Ir Nb
Au K Sn
Au Li Mg
Au Li Pb
Au Li Tl
Au Nb Os
Au Nb Pt
Au Pb Y
Au Pt Ti
Au Rb Sn
Au Sc Sn
Ba Bi Cd
Ba Bi Pb
Ba Bi Zn
Ba Ca Sn
Ba Cu Sn
Ba Ga Sn
Ba Ni Sn
Ba Pb Tl
Ba Pt Sn
Be Co Mn
Be Cr Ni
Be Cu Mg
Be Cu Ta
Be Cu Ti
Be Cu Zn
Be Ga Ti
Be Mo Nb
Be Nb Ti
Be Ti Zr
Bi Ca Cd
Bi Ca Li
Bi Cd Sr
Bi Cu Mg
Bi Cu Mn
Bi Cu Sr
Bi Li Mg
Bi Li Sr
Bi Mn Ni
Bi Mn Ti
Bi Mn Zn
Bi Ni Sc
Bi Ni Y
Bi Pb Pt
Ca Cd Pb
Ca Cd Sn
Ca Cd Tl
Ca Ga Ni
Ca In Tl
Ca Li Sn
Ca Pb Sr
Ca Pb Tl
Cd Cu Sr
Cd Cu Zr
Cd Hg Ti
Cd In Li
Cd In Mg
In Ni Sc
In Ni Sn
In Ni Y
In Pb Sn
In Pb Tl
In Pb Y
In Pt Sc
In Pt Y
In Pt Zr
In Sn Y
Bi Mn Na
Ag Ca Cu
Ca Cu Zn
Ga Na Sn
Ga Sn Sr
Ca Mn Sn
Mn Sn Sr
Cr Ni Zr
Bi Mg Ni
Co V Zr
Ni V Zr
Ni Ti Zr
Cr Nb V
Ga Li Y
Ag Ga Ti
Ag Ga Hf
Al Os Ti
Al Ir Ti
Al Pt Ti
Cu Sc Zn
Au Ba Tl
Cd Na Tl
Au Ba In
Al Mn Sc
Li Pb Zr
Fe Hf Ta
Co Hf Ta
Mg Ni Sn
Mg Y Zn
Cu Ni Ti
Bi Mn Sr
Bi Ca Mg
Ba Bi Mg
Bi Li Zn
Li Sn Zn
Cd Li Mg
Cd Li Pb
Cd Li Tl
Cd Li Zn
Cd Na Pb
Cd Na Sn
Cd Pt Zn
Co Cr Ga
Co Cr Mo
Co Cr Pt
Co Cr W
Co Cr Zr
Co Cu Y
Co Fe Ga
Co Fe In
Co Fe Pt
Co Fe Sn
Co Fe V
Co Fe Y
Co Fe Zr
Co Ga Hf
Co Ga Mn
Co Ga Nb
Co Ga Ni
Co Ga Sc
Co Ga Ta
Co Ga Ti
Co Ga V
Co Hf Sn
Co In Sn
Co Ir V
Co Mg Ni
Co Mg Zn
Co Mn Pt
Co Mn Sn
Co Mn Y
Co Mn Zr
Co Mo Zr
Co Nb Pt
Co Nb Sn
Co Nb Zr
Co Ni Pt
Co Ni Sn
Co Ni Ti
Co Ni V
Co Ni Y
Co Ni Zr
Co Pt Ta
Co Sc Sn
Co Sn Ti
Co Sn V
Co Sn Zr
Co Ta Ti
Co Ta Zr
Co Ti Zr
Cr Fe Ga
Cr Fe Mo
Cr Fe V
Cr Ga Ni
Cr Ga V
Cr Mo Nb
Cr Mo Ni
Cr Mo V
Cr Mo W
Cr Mo Zr
Cr Nb Ti
Cr Nb Zr
Cr Ni Ti
Cr Ni W
Cr Ta Zr
Cr Ti Zr
Cr V Zr
Cr W Zr
Cu Fe Ti
Cu Fe Y
Cu Ga Li
Cu Ga Mg
Cu Ga Mn
Cu Ga Ni
Cu Ga Pt
Cu Ga Sc
Cu Ga Sr
Cu Ga Ti
Cu Ga Y
Cu Ga Zr
Cu Hf Hg
Cu Hg Ti
Cu Hg Zr
Cu In Mg
Cu In Mn
Cu In Ni
Cu In Sc
Cu In Y
Cu In Zr
Cu Li Zn
Cu Mg Sn
Cu Mg Zn
Cu Mn Sn
Cu Ni V
Cu Ni Y
Cu Ni Zn
Cu Pt Zn
Cu Sn Sr
Cu Ta V
Cu Ti Zn
Cu Zn Zr
Fe Ga Hf
Fe Ga Nb
Fe Ga Ni
Fe Ga Sc
Fe Ga Ti
Fe Ga V
Fe Ga Zr
Fe Mn Ni
Fe Mn Pt
Fe Mn Y
Fe Mn Zr
Fe Mo Y
Fe Mo Zr
Fe Nb Pt
Fe Nb Sn
Fe Nb Zr
Fe Ni Ti
Fe Ni V
Fe Ni Y
Fe Ni Zr
Fe Sc Y
Fe Sc Zr
Fe Sn Ti
Fe Sn V
Fe Ta Zr
Fe Ti V
Fe Ti Y
Fe Ti Zr
Fe V Zr
Fe Y Zr
Ga K Li
Ga Hf Mn
Ga Hf Nb
Ga Hf Ni
Ga Hf Sc
Ga Hf Ti
Ga Hf Zn
Ga Ir Mn
Ga K Na
Ga Ni Zr
Ga Li Mg
Ga Li Na
Ga Mg Na
Ga Mn Ni
Ga Mn Pt
Ga Mn Sc
Ga Mn Ti
Ga Mn V
Ga Mn Zr
Ga Mo Ni
Ga Na Rb
Ga Nb Ni
Ga Nb Pt
Ga Nb Sn
Ga Nb V
Ga Ni Pt
Ga Ni Sc
Ga Ni Sn
Ga Ni Ta
Ga Ni Ti
Ga Ni V
Ga Ni Y
Ga Ni Zn
Ga Pt V
Ga Sn V
Ga Ti V
Ga Ti Y
Ga Ti Zn
Ga Ti Zr
Ga V Zr
Ga Zn Zr
Hf In Pt
Hf Mo Ti
Hf Mo Zr
Hf Nb Sn
Hf Nb V
Hf Ni Sn
Hf Pt Sn
Hf Ta V
Hf Ti V
Hf Ti W
Hf V Zr
Hf Zn Zr
Hg Li Mg
Hg Li Tl
Hg Na Tl
Hg Ti Zn
Ag Al Ti
Ag Au Cu
Ag Bi Tl
Ag Cd In
Ag Mg Y
Ir Li Sn
Ir Mn Sn
Ir Nb V
Ir Ni Ta
Al Cr Ti
Ir Sn Ti
Ir Sn Zr
Al Ca Li
Al Co Ga
Li Mg Pb
Li Mg Sn
Li Mg Tl
Li Mg Zn
Li Pt Sn
Mg Ni Zn
Mg Sn Sr
Al Li Zn
Mn Ni Zr
Mn Pt Sn
Mn Sc Y
Mn Sn W
Mn Ta V
Mn V Zr
Mo Nb Sn
Mo Nb Zr
Mo Ni V
Mo Ni Zr
Mo Ta W
Mo Ti Zr
Mo V Zr
Mo W Zr
Al Ir Li
Nb Ni Sn
Nb Ni Ti
Nb Sn Ta
Nb Sn Ti
Nb Sn V
Nb Sn Zr
Nb Ta V
Nb Ta W
Nb Zn Zr
Ni Pt Sn
Ni Sn Sr
Ni Sn V
Ni Sn Y
Ni Ti Zn
Ni Zn Zr
Al Li Pt
Al Mg Pt
Al Mn Ti
Al Nb Ti
Pt Sn Zr
Pt Sc Sn
Pt Sn Ti
Ti W Zr
Ti Zn Zr
V W Zr
Y Zn Zr
Al Sn Zr
Au Ba Bi
Au Bi Sr
Au Ca Ga
Au Cu Fe
Au Cu In
Ba Bi Cu
Ba Bi Mn
Ba Cd Pb
Ba Hg Sn
Ba Pb Zn
Bi Hf Li
Bi Li Ti
Bi Li Zr
Ca Cu In
Ca Ga Pt
Ca Hg Pb
Ca Hg Sn
Ca In Ni
Ca In Pt
